rank_sum,mean_rank,combination_count,probability,n_universe,class_size
83,27.666666666666668,533,0.00261074864319442,108,3
84,28.0,547,0.0026793236544603144,108,3
85,28.333333333333332,560,0.0027430004506357884,108,3
86,28.666666666666668,574,0.002811575461901683,108,3
87,29.0,588,0.0028801504731675778,108,3
88,29.333333333333332,602,0.0029487254844334726,108,3
89,29.666666666666668,616,0.003017300495699367,108,3
90,30.0,631,0.003090773722055683,108,3
91,30.333333333333332,645,0.0031593487333215777,108,3
92,30.666666666666668,660,0.0032328219596778934,108,3
93,31.0,675,0.003306295186034209,108,3
94,31.333333333333332,690,0.003379768412390525,108,3
95,31.666666666666668,705,0.0034532416387468407,108,3
96,32.0,721,0.0035316130801935773,108,3
97,32.333333333333336,736,0.003605086306549893,108,3
98,32.666666666666664,752,0.00368345774799663,108,3
99,33.0,768,0.0037618291894433668,108,3
100,33.333333333333336,784,0.003840200630890104,108,3
101,33.666666666666664,800,0.003918572072336841,108,3
102,34.0,817,0.004001841728873998,108,3
103,34.333333333333336,833,0.004080213170320735,108,3
104,34.666666666666664,850,0.004163482826857893,108,3
105,35.0,867,0.004246752483395051,108,3
106,35.333333333333336,884,0.004330022139932208,108,3
107,35.666666666666664,901,0.004413291796469367,108,3
108,36.0,919,0.004501459668096945,108,3
109,36.333333333333336,936,0.0045847293246341035,108,3
110,36.666666666666664,954,0.004672897196261682,108,3
111,37.0,972,0.004761065067889261,108,3
112,37.333333333333336,989,0.004844334724426419,108,3
113,37.666666666666664,1006,0.004927604380963577,108,3
114,38.0,1023,0.0050108740375007345,108,3
115,38.333333333333336,1039,0.005089245478947471,108,3
116,38.666666666666664,1055,0.005167616920394209,108,3
117,39.0,1071,0.005245988361840945,108,3
118,39.333333333333336,1086,0.005319461588197261,108,3
119,39.666666666666664,1101,0.005392934814553577,108,3
120,40.0,1116,0.0054664080409098925,108,3
121,40.333333333333336,1130,0.005534983052175787,108,3
122,40.666666666666664,1144,0.005603558063441682,108,3
123,41.0,1158,0.005672133074707576,108,3
124,41.333333333333336,1171,0.00573580987088305,108,3
125,41.666666666666664,1184,0.005799486667058524,108,3
126,42.0,1197,0.005863163463233997,108,3
127,42.333333333333336,1209,0.0059219420443190505,108,3
128,42.666666666666664,1221,0.005980720625404103,108,3
129,43.0,1233,0.006039499206489155,108,3
130,43.333333333333336,1244,0.006093379572483787,108,3
131,43.666666666666664,1255,0.006147259938478419,108,3
132,44.0,1266,0.00620114030447305,108,3
133,44.333333333333336,1276,0.0062501224553772605,108,3
134,44.666666666666664,1286,0.006299104606281471,108,3
135,45.0,1296,0.0063480867571856815,108,3
136,45.333333333333336,1305,0.006392170692999471,108,3
137,45.666666666666664,1314,0.006436254628813261,108,3
138,46.0,1323,0.0064803385646270495,108,3
139,46.333333333333336,1331,0.006519524285350418,108,3
140,46.666666666666664,1339,0.006558710006073787,108,3
141,47.0,1347,0.006597895726797155,108,3
142,47.333333333333336,1354,0.006632183232430103,108,3
143,47.666666666666664,1361,0.00666647073806305,108,3
144,48.0,1368,0.006700758243695997,108,3
145,48.333333333333336,1374,0.006730147534238524,108,3
146,48.666666666666664,1380,0.00675953682478105,108,3
147,49.0,1386,0.006788926115323576,108,3
148,49.333333333333336,1391,0.006813417190775681,108,3
149,49.666666666666664,1396,0.0068379082662277865,108,3
150,50.0,1401,0.006862399341679892,108,3
151,50.333333333333336,1405,0.006881992202041576,108,3
152,50.666666666666664,1409,0.0069015850624032605,108,3
153,51.0,1413,0.006921177922764944,108,3
154,51.333333333333336,1416,0.0069358725680362075,108,3
155,51.666666666666664,1419,0.006950567213307471,108,3
156,52.0,1422,0.006965261858578734,108,3
157,52.333333333333336,1424,0.006975058288759576,108,3
158,52.666666666666664,1426,0.006984854718940418,108,3
159,53.0,1428,0.006994651149121261,108,3
160,53.333333333333336,1429,0.0069995493642116815,108,3
161,53.666666666666664,1430,0.007004447579302102,108,3
162,54.0,1431,0.007009345794392523,108,3
163,54.333333333333336,1431,0.007009345794392523,108,3
164,54.666666666666664,1431,0.007009345794392523,108,3
165,55.0,1431,0.007009345794392523,108,3
166,55.333333333333336,1430,0.007004447579302102,108,3
167,55.666666666666664,1429,0.0069995493642116815,108,3
168,56.0,1428,0.006994651149121261,108,3
169,56.333333333333336,1426,0.006984854718940418,108,3
170,56.666666666666664,1424,0.006975058288759576,108,3
171,57.0,1422,0.006965261858578734,108,3
172,57.333333333333336,1419,0.006950567213307471,108,3
173,57.666666666666664,1416,0.0069358725680362075,108,3
174,58.0,1413,0.006921177922764944,108,3
175,58.333333333333336,1409,0.0069015850624032605,108,3
176,58.666666666666664,1405,0.006881992202041576,108,3
177,59.0,1401,0.006862399341679892,108,3
178,59.333333333333336,1396,0.0068379082662277865,108,3
179,59.666666666666664,1391,0.006813417190775681,108,3
180,60.0,1386,0.006788926115323576,108,3
181,60.333333333333336,1380,0.00675953682478105,108,3
182,60.666666666666664,1374,0.006730147534238524,108,3
183,61.0,1368,0.006700758243695997,108,3
184,61.333333333333336,1361,0.00666647073806305,108,3
185,61.666666666666664,1354,0.006632183232430103,108,3
186,62.0,1347,0.006597895726797155,108,3
187,62.333333333333336,1339,0.006558710006073787,108,3
188,62.666666666666664,1331,0.006519524285350418,108,3
189,63.0,1323,0.0064803385646270495,108,3
190,63.333333333333336,1314,0.006436254628813261,108,3
191,63.666666666666664,1305,0.006392170692999471,108,3
192,64.0,1296,0.0063480867571856815,108,3
193,64.33333333333333,1286,0.006299104606281471,108,3
194,64.66666666666667,1276,0.0062501224553772605,108,3
195,65.0,1266,0.00620114030447305,108,3
196,65.33333333333333,1255,0.006147259938478419,108,3
197,65.66666666666667,1244,0.006093379572483787,108,3
198,66.0,1233,0.006039499206489155,108,3
199,66.33333333333333,1221,0.005980720625404103,108,3
