weight_C_ACC,weight_residual,drug,score,rank,is_primary_weight
0.1,0.9,Neratinib,0.031775700934568,108,False
0.15,0.85,Irinotecan,0.930841121495,1,False
0.15,0.85,Celecoxib,0.92336448598085,2,False
0.15,0.85,Crizotinib,0.9004672897198001,3,False
0.15,0.85,Olaparib,0.8873831775702999,4,False
0.15,0.85,Chlorambucil,0.8864485981308999,5,False
0.15,0.85,Axitinib,0.86799065420525,6,False
0.15,0.85,Melphalan,0.86495327102815,7,False
0.15,0.85,Actinomycin D,0.8626168224300998,8,False
0.15,0.85,Homoharringtonine,0.8626168224296,9,False
0.15,0.85,Brigatinib,0.8602803738315499,10,False
0.15,0.85,Afatinib,0.8476635514019499,11,False
0.15,0.85,Mitomycin,0.8373831775705,12,False
0.15,0.85,Daunorubicin,0.8322429906541999,13,False
0.15,0.85,Binimetinib,0.8275700934575779,14,False
0.15,0.85,Mitotane,0.82429906542085,15,False
0.15,0.85,Cobimetinib,0.8172897196258999,16,False
0.15,0.85,Ibrutinib,0.8140186915891,17,False
0.15,0.85,Romidepsin,0.81355140186905,18,False
0.15,0.85,Cytarabine,0.81028037383175,19,False
0.15,0.85,Docetaxel,0.7971962616818999,20,False
0.15,0.85,Belinostat,0.79018691588795,21,False
0.15,0.85,Vandetanib,0.7887850467292,22,False
0.15,0.85,Ixazomib,0.7761682242987,23,False
0.15,0.85,Osimertinib,0.7420560747663499,24,False
0.15,0.85,Ribociclib,0.73177570093495,25,False
0.15,0.85,Abemaciclib,0.72803738317775,26,False
0.15,0.85,Bosutinib,0.7226635514016,27,False
0.15,0.85,Trametinib,0.7177570093457,28,False
0.15,0.85,Carmustine,0.69158878504685,29,False
0.15,0.85,Tivozanib,0.68971962616835,30,False
0.15,0.85,Lapatinib,0.6829439252339,31,False
0.15,0.85,Carfilzomib,0.6789719626164,32,False
0.15,0.85,Tucatinib,0.6761682242988001,33,False
0.15,0.85,Fluorouracil,0.6747663551405,34,False
0.15,0.85,Fulvestrant,0.6672897196259999,35,False
0.15,0.85,Panobinostat,0.66168224299085,36,False
0.15,0.85,Nilotinib,0.6612149532713,37,False
0.15,0.85,Ceritinib,0.6602803738317,38,False
0.15,0.85,Idarubicin,0.6429906542055,39,False
0.15,0.85,Paclitaxel,0.6331775700931,40,False
0.15,0.85,Palbociclib,0.6228971962617,41,False
0.15,0.85,Mercaptopurine,0.61869158878465,42,False
0.15,0.85,Selinexor,0.6074766355138499,43,False
0.15,0.85,Darolutamide,0.6023364485978999,44,False
0.15,0.85,Acalabrutinib,0.5705607476632,45,False
0.15,0.85,Estramustine,0.55233644859845,46,False
0.15,0.85,Everolimus,0.5214953271028501,47,False
0.15,0.85,Erlotinib,0.51542056074745,48,False
0.15,0.85,Tamoxifen,0.51355140186945,49,False
0.15,0.85,Selumetinib,0.51028037383185,50,False
0.15,0.85,Sirolimus,0.502803738318,51,False
0.15,0.85,Vorinostat,0.49859813084118,52,False
0.15,0.85,Dasatinib,0.49672897196230004,53,False
0.15,0.85,Doxorubicin,0.49532710280365,54,False
0.15,0.85,Decitabine,0.4845794392527,55,False
0.15,0.85,Dacomitinib,0.477102803738415,56,False
0.15,0.85,Dacarbazine,0.473364485981005,57,False
0.15,0.85,Epirubicin,0.46962616822435,58,False
0.15,0.85,Lomustine,0.46448598130825,59,False
0.15,0.85,Hydroxyurea,0.4574766355136,60,False
0.15,0.85,Duvelisib,0.4542056074763499,61,False
0.15,0.85,Imatinib,0.4514018691591,62,False
0.15,0.85,Allopurinol,0.43551401869164996,63,False
0.15,0.85,Etoposide,0.4210280373832,64,False
0.15,0.85,Fludarabine,0.4205607476635,65,False
0.15,0.85,Topotecan,0.4107476635518,66,False
0.15,0.85,Carboplatin,0.40560747663585,67,False
0.15,0.85,Azacitidine,0.39345794392489997,68,False
0.15,0.85,Ixabepilone,0.39112149532685,69,False
0.15,0.85,Cyclophosphamide,0.38504672897215,70,False
0.15,0.85,Dexrazoxane,0.37663551401863,71,False
0.15,0.85,Asciminib,0.37289719626139994,72,False
0.15,0.85,Sunitinib,0.3630841121497,73,False
0.15,0.85,Gemcitabine,0.35887850467279997,74,False
0.15,0.85,Valrubicin,0.34859813084153995,75,False
0.15,0.85,Lorlatinib,0.33831775700914996,76,False
0.15,0.85,Gilteritinib,0.32990654205625,77,False
0.15,0.85,Temsirolimus,0.28551401869145,78,False
0.15,0.85,Thiotepa,0.2808411214952,79,False
0.15,0.85,Encorafenib,0.2794392523364,80,False
0.15,0.85,Pemetrexed,0.26635514018705,81,False
0.15,0.85,Cabozantinib,0.2642523364489,82,False
0.15,0.85,Erdafitinib,0.26028037383185,83,False
0.15,0.85,Mitoxantrone,0.2560747663555,84,False
0.15,0.85,Idelalisib,0.256074766354955,85,False
0.15,0.85,Venetoclax,0.254205607477,86,False
0.15,0.85,Abiraterone,0.2383177570096,87,False
0.15,0.85,Clofarabine,0.2275700934576,88,False
0.15,0.85,Vemurafenib,0.21682242990699999,89,False
0.15,0.85,Vinorelbine,0.1995327102801,90,False
0.15,0.85,Raloxifene,0.19906542056055,91,False
0.15,0.85,Dabrafenib,0.19579439252327002,92,False
0.15,0.85,Fruquintinib,0.19205607476595,93,False
0.15,0.85,Trifluridine,0.185046728971885,94,False
0.15,0.85,Vinblastine,0.18224299065424998,95,False
0.15,0.85,Tioguanine,0.18130841121496,96,False
0.15,0.85,Pralatrexate,0.17383177570095998,97,False
0.15,0.85,umbralisib,0.1649532710277,98,False
0.15,0.85,Zoledronate,0.140654205607565,99,False
0.15,0.85,Oxaliplatin,0.13925233644855,100,False
0.15,0.85,Methotrexate,0.127570093458,101,False
0.15,0.85,Cladribine,0.117289719626195,102,False
0.15,0.85,Sonidegib,0.11635514018694501,103,False
0.15,0.85,Cisplatin,0.11121495327125,104,False
0.15,0.85,Lenvatinib,0.10747663551419,105,False
0.15,0.85,Bleomycin,0.08037383177567,106,False
0.15,0.85,Teniposide,0.058411214953284996,107,False
0.15,0.85,Neratinib,0.042990654205592,108,False
0.2,0.8,Irinotecan,0.9233644859810001,1,False
0.2,0.8,Celecoxib,0.9009345794388001,2,False
0.2,0.8,Crizotinib,0.8859813084114001,3,False
0.2,0.8,Olaparib,0.8747663551404001,4,False
0.2,0.8,Actinomycin D,0.8542056074768001,5,False
0.2,0.8,Brigatinib,0.8542056074764001,6,False
0.2,0.8,Chlorambucil,0.8485981308412001,7,False
0.2,0.8,Axitinib,0.8457943925230001,8,False
0.2,0.8,Homoharringtonine,0.8448598130838001,9,False
0.2,0.8,Mitomycin,0.8392523364490001,10,False
0.2,0.8,Daunorubicin,0.8355140186916,11,False
0.2,0.8,Melphalan,0.8261682242992,12,False
0.2,0.8,Cytarabine,0.818691588785,13,False
0.2,0.8,Mitotane,0.8093457943928,14,False
0.2,0.8,Afatinib,0.8093457943926001,15,False
0.2,0.8,Ibrutinib,0.8018691588788,16,False
0.2,0.8,Belinostat,0.7981308411216,17,False
0.2,0.8,Romidepsin,0.7981308411214,18,False
0.2,0.8,Docetaxel,0.7981308411212,19,False
0.2,0.8,Cobimetinib,0.7906542056072,20,False
0.2,0.8,Ixazomib,0.7887850467286001,21,False
0.2,0.8,Binimetinib,0.7794392523361041,22,False
0.2,0.8,Vandetanib,0.7495327102806001,23,False
0.2,0.8,Abemaciclib,0.7401869158880001,24,False
0.2,0.8,Osimertinib,0.7214953271028001,25,False
0.2,0.8,Bosutinib,0.7112149532708001,26,False
0.2,0.8,Ribociclib,0.7046728971966,27,False
0.2,0.8,Fluorouracil,0.68785046729,28,False
0.2,0.8,Tivozanib,0.6766355140188001,29,False
0.2,0.8,Trametinib,0.6766355140186,30,False
0.2,0.8,Lapatinib,0.6738317757012,31,False
0.2,0.8,Carmustine,0.6728971962618001,32,False
0.2,0.8,Ceritinib,0.6654205607476,33,False
0.2,0.8,Nilotinib,0.6635514018694,34,False
0.2,0.8,Tucatinib,0.6616822429904,35,False
0.2,0.8,Panobinostat,0.6579439252338,36,False
0.2,0.8,Fulvestrant,0.656074766355,37,False
0.2,0.8,Idarubicin,0.648598130841,38,False
0.2,0.8,Carfilzomib,0.6467289719622,39,False
0.2,0.8,Paclitaxel,0.6448598130838,40,False
0.2,0.8,Mercaptopurine,0.6317757009342001,41,False
0.2,0.8,Palbociclib,0.6280373831776,42,False
0.2,0.8,Selinexor,0.5887850467288,43,False
0.2,0.8,Darolutamide,0.5757009345791999,44,False
0.2,0.8,Acalabrutinib,0.5738317757006001,45,False
0.2,0.8,Estramustine,0.5308411214956,46,False
0.2,0.8,Erlotinib,0.5252336448596,47,False
0.2,0.8,Doxorubicin,0.5233644859812,48,False
0.2,0.8,Tamoxifen,0.5196261682246001,49,False
0.2,0.8,Selumetinib,0.5028037383178,50,False
0.2,0.8,Sirolimus,0.49906542056100006,51,False
0.2,0.8,Everolimus,0.49906542056080005,52,False
0.2,0.8,Epirubicin,0.49532710280380005,53,False
0.2,0.8,Decitabine,0.49345794392560005,54,False
0.2,0.8,Dasatinib,0.48785046728940007,55,False
0.2,0.8,Hydroxyurea,0.48224299065380005,56,False
0.2,0.8,Vorinostat,0.47476635514024007,57,False
0.2,0.8,Lomustine,0.46355140186900007,58,False
0.2,0.8,Allopurinol,0.45607476635520006,59,False
0.2,0.8,Dacomitinib,0.45233644859822003,60,False
0.2,0.8,Dacarbazine,0.45046728971934,61,False
0.2,0.8,Imatinib,0.4429906542058,62,False
0.2,0.8,Etoposide,0.4429906542056,63,False
0.2,0.8,Duvelisib,0.43738317756979994,64,False
0.2,0.8,Ixabepilone,0.4186915887848,65,False
0.2,0.8,Fludarabine,0.41121495327100005,66,False
0.2,0.8,Azacitidine,0.4093457943922,67,False
0.2,0.8,Topotecan,0.4074766355144,68,False
0.2,0.8,Cyclophosphamide,0.4074766355142,69,False
