setting_id,w_C_ACC,w_residual,w_B_neighbor,w_external,drug,score,rank,median_rank,q1_rank,q3_rank,minimum_rank,maximum_rank,top10_rate,top20_rate
1,0.0,0.1,0.3,0.6,Dasatinib,0.4795,68,72.0,62.5,79.0,53,89,0.0,0.0
1,0.0,0.1,0.3,0.6,Tioguanine,0.4262,90,68.0,34.0,90.0,1,103,0.08374384236453201,0.15270935960591134
1,0.0,0.1,0.3,0.6,Pemetrexed,0.4382,86,75.0,52.0,87.0,23,95,0.0,0.0
1,0.0,0.1,0.3,0.6,Azacitidine,0.4345,88,77.0,68.0,86.0,42,93,0.0,0.0
1,0.0,0.1,0.3,0.6,Temsirolimus,0.489,62,72.0,59.0,79.0,43,87,0.0,0.0
1,0.0,0.1,0.3,0.6,Lorlatinib,0.48029999999999995,67,74.0,71.0,76.0,54,81,0.0,0.0
1,0.0,0.1,0.3,0.6,Carboplatin,0.5404,33,72.0,63.0,83.0,33,95,0.0,0.0
1,0.0,0.1,0.3,0.6,Vorinostat,0.5091,49,78.0,60.0,94.0,44,101,0.0,0.0
1,0.0,0.1,0.3,0.6,Dexrazoxane,0.5749,20,70.0,47.5,90.0,16,102,0.0,0.034482758620689655
1,0.0,0.1,0.3,0.6,Oxaliplatin,0.4405,83,73.0,42.5,92.0,6,106,0.024630541871921183,0.10344827586206896
1,0.0,0.1,0.3,0.6,Gilteritinib,0.4595,75,77.0,72.0,81.0,53,88,0.0,0.0
1,0.0,0.1,0.3,0.6,Trifluridine,0.4133,95,81.0,49.5,95.0,14,103,0.0,0.059113300492610835
1,0.0,0.1,0.3,0.6,Dacarbazine,0.5042,53,83.0,64.0,96.0,49,102,0.0,0.0
1,0.0,0.1,0.3,0.6,Erdafitinib,0.41259999999999997,96,81.0,63.5,93.0,34,97,0.0,0.0
1,0.0,0.1,0.3,0.6,Venetoclax,0.5217,44,74.0,65.0,82.0,33,92,0.0,0.0
1,0.0,0.1,0.3,0.6,Methotrexate,0.4158,92,83.0,48.0,97.0,6,108,0.024630541871921183,0.08374384236453201
1,0.0,0.1,0.3,0.6,Thiotepa,0.4726,72,82.0,77.0,85.0,56,92,0.0,0.0
1,0.0,0.1,0.3,0.6,Vemurafenib,0.5405,32,78.0,62.5,88.0,24,97,0.0,0.0
1,0.0,0.1,0.3,0.6,Everolimus,0.4153,93,93.0,76.0,101.0,45,105,0.0,0.0
1,0.0,0.1,0.3,0.6,Pralatrexate,0.40599999999999997,98,89.0,61.5,99.5,27,107,0.0,0.0
1,0.0,0.1,0.3,0.6,Sonidegib,0.5502,30,76.0,51.0,91.0,9,105,0.0049261083743842365,0.06403940886699508
