Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
59,NCGC00381562-02,Tazemetostat,-2.351841342336365,-2.398303787007736,-1.9625039231630719,-2.694716316838286,262.405,321.085,249.194,,,,0,EZH2 Inhibitor,EZH2
60,NCGC00178377-07,Amygdalin,-2.3268081732428314,-2.127586607803657,-1.9068177048720722,-2.946020207052764,284.149,326.673,227.44,0.022448,0.015764,0.116508,3,"Nitric oxide synthase, inducible Inhibitor",
61,NCGC00346617-03,AZD-5438,-2.3149236266923148,-2.110666784103403,-2.81041329494331,-2.023690801030232,285.508,235.999,307.281,,,,0,CDK1/2 Inhibitor,CDK1
62,NCGC00347280-04,IKK-2 Inhibitor VIII,-2.3068126810963627,-2.0440706568240326,-2.4792556857757724,-2.3971117006892837,290.857,269.23,274.956,,,,0,IKK beta Inhibitor,IKBKB
63,NCGC00094087-07,Mizoribine,-2.3002167249700904,-1.8613639513043563,-2.954173027417533,-2.0851131961883818,305.532,221.573,301.964,0.324661,1.344108,,2,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitor,IMPDH1
64,NCGC00378595-03,RO-4987655,-2.2890351265651288,-2.3434980004525316,-2.034991674030776,-2.4886157052120788,266.807,313.811,267.035,,,,0,MEK Inhibitor,MAP2K1
65,NCGC00378635-03,Triptonide,-2.286271070713968,-2.6134557173713158,-2.46852303418318,-1.7768344605874087,245.124,270.307,328.65,,,,0,Immunosuppressants,
66,NCGC00161290-05,"16,16-dimethyl PGE2",-2.285491413494267,-1.6213987695540155,-2.103124579266202,-3.1319508916625844,324.806,306.974,211.345,0.005016,,,1,prostaglandin,
67,NCGC00378324-03,Bruceantin,-2.278600834699905,-2.5370986321956988,-2.3705140941524037,-1.9281897777516126,251.257,280.142,315.548,,,,0,MYC Expression Inhibitor;Apoptosis Inducers,MYC
68,NCGC00345791-06,ASP-3026,-2.2580933089843063,-2.458288857344622,-2.160664347414418,-2.155326722193879,257.587,301.2,295.886,,0.011108,0.001521,2,ALK Inhibitor,ALK
69,NCGC00015199-24,Chlorambucil,-2.230428020903821,-1.9347080877415903,-1.0917739644310813,-3.664802010538792,299.641,408.461,165.219,,0.001243,1.329823,2,DNA Alkylating Agent,
70,NCGC00090797-28,Digoxin,-2.2162681459424354,-2.49206625373814,-1.6868830524593386,-2.469855131629827,254.874,348.743,268.659,,,,0,Steroid,
71,NCGC00242514-13,Sepantronium bromide,-2.2110788461076436,-2.601852129668124,-2.396224624429923,-1.635159784224884,246.056,277.562,340.914,,,,0,Survivin Inhibitor,BIRC5
72,NCGC00319019-01,Nemorubicin,-2.2016990875410727,-2.1350442784412236,-2.1490348168586557,-2.3210181673233388,283.55,302.367,281.543,,,,0,DNA Topoisomerase II Inhibitor,TOP2A
73,NCGC00263124-09,Nutlin-3,-2.1870688422184745,-2.0591727511201396,-2.261314097725637,-2.2407196778096474,289.644,291.1,288.494,,,,0,HDM2/HDMX Inhibitor,MDM2
74,NCGC00241114-02,CPI-1189,-2.17937029667855,-1.5481168841237722,-2.7024191024559157,-2.2875749034559623,330.692,246.836,284.438,,,,0,p38 MAPK Inhibitor,MAPK14
75,NCGC00344550-03,Stanozolol,-2.1656255177547448,-1.4933359979713652,-3.0302283634942877,-1.973312191798581,335.092,213.941,311.642,46.1,,,1,Synthetic Steroid,
76,NCGC00165873-03,PS-1145,-2.1618355981577295,-1.0332014546939396,-1.1544956999220535,-4.297809639857196,372.05,402.167,110.423,,0.298576,1.924177,2,IKK beta Inhibitor,IKBKB
77,NCGC00263553-13,StemRegenin 1,-2.155499049102761,-1.489663188558874,-1.9230213181399969,-3.053812640609411,335.387,325.047,218.109,,,0.013675,1,Aryl Hydrocarbon Receptor (AhR) Antagonist,AHR
78,NCGC00408915-01,Acalisib,-2.134446980592097,-1.3865755209811623,-2.3758355760005414,-2.6409298447945875,343.667,279.608,253.85,0.253628,,0.036573,2,PI3Kdelta Inhibitor,PIK3CD
79,NCGC00018294-13,Miconazole nitrate,-2.1330617136094765,-2.3678630445889546,-2.093209084062275,-1.9381130121772001,264.85,307.969,314.689,,,0.001907,1,Aromatase Inhibitor,CYP19A1
80,NCGC00386449-03,MLN-7243,-2.1241673121568097,-1.94632412564618,-2.046740788448293,-2.379437022375955,298.708,312.632,276.486,,,,0,Ubiquitin-Activating Enzyme E1 Inhibitor,UBA1
81,NCGC00510909-01,Acolbifene,-2.118437641826036,-1.9859780170996841,-1.840448661597545,-2.528886246780879,295.523,333.333,263.549,,,0.139713,1,Selective Estrogen Receptor Modulators (SERM),ESR1
82,NCGC00351601-07,Otenabant,-2.1002606741615746,-1.8633808839308763,-1.8766427104223322,-2.560758428131515,305.37,329.701,260.79,0.43721,,0.126471,2,Cannabinoid CB1 Antagonist,CNR1
83,NCGC00480876-01,T-00127-HEV1,-2.096120074002642,-1.73514380952865,-2.467386987496499,-2.085829424982778,315.67,270.421,301.902,0.028677,2.153743,0.024245,3,PI4Kbeta Inhibitor,PI4KB
84,NCGC00346500-08,PIK-75,-2.0936246540977463,-2.8532216958992835,-1.8567220321181614,-1.5709302342757943,225.866,331.7,346.474,,,,0,PI3K Inhibitor,PIK3CA
85,NCGC00162440-05,Leptomycin B,-2.084152400134472,-2.7961250722867974,-1.7347165971617002,-1.7216155309549175,230.452,343.943,333.43,,,,0,Nuclear export Inhibitor,
86,NCGC00186024-12,SB-525334,-2.0790701170432246,-2.01869714637435,-1.8677137820778917,-2.3507994226774316,292.895,330.597,278.965,,,0.137955,1,TGF-bR1 (ALK5) Inhibitor,TGBR1
87,NCGC00346531-02,Oligomycin A,-2.0745649252567,-3.258139595975362,-1.1577842561203406,-1.8077709236743984,193.343,401.837,325.972,,,,0,ATP synthase Inhibitor,
88,NCGC00179599-13,Cefoperazone (sodium salt),-2.0717375589951574,-1.8997728226180324,-1.8526661461402734,-2.4627737082271666,302.447,332.107,269.272,0.05282,0.310186,,2,Bacterial penicillin-binding protein Inhibitor,
