Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
1010,NCGC00346456-07,Macitentan,-0.007292719719130554,-0.9188463548507894,0.49046004110491276,0.40650815458848494,381.235,567.235,517.65,,,0.00928,1,Endothelin ETA/ETB Receptor Antagonist,EDNRA
1011,NCGC00354729-02,AST-487,-0.006645732675720564,-0.23180689108981356,0.08034718721303948,0.1315225058496124,436.418,526.081,493.846,,,,0,Flt3 Inhibitor,FLT3
1012,NCGC00390260-01,Efaproxiral,-0.003603968168339059,0.6055438541525288,-1.0446280269338162,0.42827226827627024,503.674,413.192,519.534,,0.300498,10.040669,2,Chemosensitizer,
1013,NCGC00347905-02,AZ-10606120,-0.0020874787241175843,0.22829030158341648,0.1886901659638882,-0.42324290371965745,473.373,536.953,445.823,,,,0,P2X7 Receptor Antagonist,P2RX7
1014,NCGC00484080-01,LX-7101,-0.0012718476010781337,-0.3461370905301672,-0.06471800241868544,0.40703955014561827,427.235,511.524,517.696,,,34.635254,1,LIMK1/LIMK2 Inhibitor,LIMK1
1015,NCGC00161641-05,Sinomenine,-0.001124527056652785,0.024505405096461257,0.009663159593487505,-0.03754214585990712,457.005,518.988,479.211,0.024918,23.104699,46.1,3,Antiinflammatory opioid,
1016,NCGC00390649-02,Bay-65-1942 hydrochloride,-0.00034047230248340776,-0.06313156254599205,-0.09617852338230105,0.15828866902084288,449.966,508.367,496.163,,,,0,Inhibitor of nuclear factor kappa B kinase beta subunit Inhibitor,NFKB
1017,NCGC00263131-05,PF-3845,0.0011479179175195864,-0.6058358414967733,0.409611385236108,0.19966821001322402,406.376,559.122,499.745,,,34.373604,1,Fatty Acid Amide Hydrolase (FAAH) Inhibitor,FAAH
1018,NCGC00263112-02,GSK-461364A,0.0024311338600007857,0.20393770764839156,0.22173517309577004,-0.41837947916415924,471.417,540.269,446.244,,,,0,Polo-like Kinase-1 (Plk-1) Inhibitor,PLK1
1019,NCGC00345842-03,GSK-25,0.0034321931133871933,0.46464492492825804,-0.5164659708452394,0.062117625257142914,492.357,466.192,487.838,,,37.72919,1,ROCK Inhibitor,ROCK1
1020,NCGC00013226-25,Trifluoperazine hydrochloride,0.004339023544082363,-0.1758432358045701,0.21970224744592015,-0.03084194100910297,440.913,540.065,479.791,,,,0,CaMK-II Inhibitor,DRD2
1021,NCGC00346714-02,Ipatasertib,0.005062195595639474,0.3999287780600273,0.3728293824243553,-0.7575715736974642,487.159,555.431,416.882,,46.1,9.684381,2,AKT Inhibitor,AKT1
1022,NCGC00389718-01,BMS-599626,0.0050681982829281534,-0.26961815273637335,0.09484673045094212,0.1899760171342157,433.381,527.536,498.906,,,,0,EGFR Inhibitor,EGFR
1023,NCGC00347065-03,KUC107887N,0.005815063889304202,-0.07007877492622906,0.10014828165545427,-0.012624315061312598,449.408,528.068,481.368,,,,0,p97 ATPase Inhibitor,VCP
1024,NCGC00390558-02,ALW-II-41-27,0.006457126936159847,0.5709820950709196,0.034227677862512004,-0.585838392124952,500.898,521.453,431.748,46.1,,,1,RET Inhibitor,RET
1025,NCGC00263142-04,Tiplasinin,0.007562143007223761,0.237304247395767,-0.2881604481095926,0.07354262973549691,474.097,489.102,488.827,15.542629,,42.741351,2,PAI Inhibitor,SERPINE1
1026,NCGC00015122-14,Bupropion hydrochloride,0.007823082462846043,-0.354316872848834,0.076032202868014,0.30175391736935814,426.578,525.648,508.582,0.105335,,,1,Dopamine Transporter (DAT) Inhibitor,SLC6A3
1027,NCGC00507871-01,BAY-1217389,0.008758695815437858,0.3959322634111816,-0.5878077097044491,0.21815153373958104,486.838,459.033,501.345,,,,0,MPS1 Inhibitor,TTK
1028,NCGC00160514-14,Idebenone,0.009036017955471973,0.06439585037653252,-0.5680963031583508,0.5308085066482342,460.209,461.011,528.41,,,,0,Free Radical Scavenger,
1029,NCGC00242057-03,GW-768505A,0.011583991112637452,0.17465483395965048,-0.001996266927713876,-0.13790659369402425,469.065,517.818,470.523,,,16.536307,1,Tie-2 kinase Inhibitor,TEK
1030,NCGC00386413-01,Vactosertib,0.013051110297405097,0.3420726921622463,-0.07553037658578157,-0.22738898468424942,482.512,510.439,462.777,,,,0,ALK5 Inhibitor,TGFBR1
1031,NCGC00386362-01,ARQ-621,0.013237335297970004,-0.3302630837473677,0.34673020459612897,0.023244885045148725,428.51,552.812,484.473,,,,0,Kinesin-Like Spindle Protein Inhibitor,KIF11
1032,NCGC00345805-01,STX-0119,0.014005425158171159,-0.9382188682265048,0.5765803522127891,0.40365479148822914,379.679,575.877,517.403,,,,0,STAT-3 Inhibitor,STAT3
1033,NCGC00189073-04,Selumetinib (AZD6244),0.014296222726839697,0.0936662738638756,-0.24823936892674633,0.19746176324338982,462.56,493.108,499.554,23.646718,46.1,,2,,MAP2K1
1034,NCGC00510495-01,Amiselimod hydrochloride,0.01462611864065754,-0.11340547579222418,0.34734805454853457,-0.19006422283433777,445.928,552.874,466.008,,,,0,Lysophospholipid edg1 (S1P1) Receptor Ligands,
1035,NCGC00509912-01,BLU-554,0.018479976753481713,0.0374411643492682,0.3538155484051664,-0.33581678249398944,458.044,553.523,453.391,,0.082972,,1,FGFR4 Inhibitor,FGFR4
1036,NCGC00482791-01,Lorlatinib,0.019820537629001617,0.09814834636725456,-0.32627780404428697,0.28759107056403727,462.92,485.277,507.356,14.526994,,,1,ALK Inhibitor,ALK
1037,NCGC00507841-02,Crenigacestat,0.020266366444417455,0.2156159965599735,-0.07425481539371874,-0.08056208183300238,472.355,510.567,475.487,0.332854,0.506882,0.463058,3,Notch Signaling Inhibitor,
1038,NCGC00016094-10,17_-hydroxy Wortmannin,0.020274178199282716,-0.10981981778952102,0.3107553928512276,-0.14011304046385845,446.216,549.202,470.332,,4.050216,,1,PI3K Inhibitor,PIK3CA
1039,NCGC00346612-06,LY-2140023,0.02037508822725519,-0.3328153750340137,0.14354725815103467,0.2503933815647446,428.305,532.423,504.136,,,,0,mgluR2/3 Agonist,GRM2
1040,NCGC00345881-05,Conivaptan hydrochloride,0.021148671572692224,-0.22583079441864162,0.23925420884301038,0.05002260029370791,436.898,542.027,486.791,,,,0,Vasopressin (AVP) V1a/V2 Antagonist,AVPR1A
1041,NCGC00015834-27,Primidone,0.02321493797086216,-0.8596456472019947,0.4808136095899369,0.4484768515246442,385.99,566.267,521.283,0.172117,,,1,Anticonvulsant agent,
1042,NCGC00387189-01,AL-8697,0.023443333390367416,0.33528733240018654,-0.1127608188791202,-0.1521965133499641,481.967,506.703,469.286,0.001708,,,1,p38 MAPK Inhibitor,MAPK14
1043,NCGC00522550-01,EMD-534085,0.02350928205611935,0.023135882942650902,0.5691163261748591,-0.5217243629491519,456.895,575.128,437.298,,37.600867,,1,Kinesin-like Spindle Protein KIF11 (KSP; Eg5) Inhibitor,KIF11
1044,NCGC00160163-01,Diosgenin,0.02404319789943307,0.185150353738396,0.08658547866797224,-0.19960623870806904,469.908,526.707,465.182,,,,0,Cyclooxygenase up-regulator,PTGS2
1045,NCGC00346735-03,Cinchonine dihydrochloride,0.024252019365296983,0.0018086879474072963,0.0352840019746891,0.03566336817379455,455.182,521.559,485.548,17.593488,,1.647846,2,P-Glycoprotein (MDR-1) Inhibitor,ABCBA
1046,NCGC00163107-07,CITCO,0.024982333514687833,0.43107918195850997,0.31104438718380434,-0.6671765685982508,489.661,549.231,424.707,,,6.323163,1,Constitutive androstane receptor Agonist,NR1I3
1047,NCGC00263154-08,AZD-6482,0.02632563527525662,-0.7931615717352097,0.16807191513280814,0.7040665624281714,391.33,534.884,543.408,0.058127,,46.1,2,PI3Kb/d Inhibitor,PIK3CB
1048,NCGC00510692-02,TPX-0005,0.0277900201725164,0.841674373872201,-0.4322490362036442,-0.3260552771510076,522.64,474.643,454.236,,,,0,ALK Inhibitor,ALK
1049,NCGC00355875-04,GSK-2837808A,0.02792806311312736,0.7468536400229434,-1.046242409067521,0.38317295838395976,515.024,413.03,515.63,0.001944,0.341485,,2,LDHA Inhibitor,LDHA
1050,NCGC00015830-08,Phenelzine,0.028527296250318388,-0.06714052739623644,0.11648144410694827,0.03624097204024333,449.644,529.707,485.598,,,,0,MAO Inhibitor,MAOA
1051,NCGC00263187-07,TAK-733,0.029013768723384514,-0.29987214213417945,-0.20460122470765413,0.5915146730119871,430.951,497.487,533.665,,,,0,MEK Inhibitor,MAP2K1
1052,NCGC00250380-10,AZ-628,0.030477315881437306,-0.1271006973303263,-0.18742100990205598,0.4059536548766942,444.828,499.211,517.602,7.263443,,19.79839,2,Raf kinase B/C Inhibitor,BRAF
1053,NCGC00242505-01,Deacetyl cortivazol,0.032117269831632884,-0.2502580895620566,0.44348351407846787,-0.09687361502151264,434.936,562.521,474.075,,,,0,Glucocorticoid Receptor (GR) Agonist,NRC31
1054,NCGC00094374-12,Seliciclib,0.03456041793947592,-1.2489883453288315,0.639800353794411,0.7128692453528482,354.718,582.221,544.17,0.038239,,40.270678,2,CDK Inhibitor,CDK1
1055,NCGC00346704-07,Cabazitaxel,0.0373029394195426,0.8033526539683127,0.47160565223473133,-1.1630494879444162,519.562,565.343,381.782,0.001639,27.237233,,2,Tubulin depolymerization Inhibitor,TUBB
1056,NCGC00346832-02,Terameprocol,0.03803832890720472,-0.038903470624950455,0.18180412859111042,-0.02878567124454581,451.912,536.262,479.969,,0.296844,46.1,2,Antimitotic Agent,
1057,NCGC00018117-32,Theophyllamine,0.03862974768977874,-0.09729491518285734,0.3680260973104923,-0.15484193905829874,447.222,554.949,469.057,,,,0,Adenosine Receptor Antagonist,ADORA1
1058,NCGC00481604-01,LY-3009120,0.0406301852656244,-0.011301374124975607,0.22970743054616322,-0.09651550062431441,454.129,541.069,474.106,,2.684894,17.585798,2,Raf Kinase Inhibitor,BRAF
1059,NCGC00344588-08,I-BET151,0.04241087622577747,0.4327973097514715,-0.032290845239209234,-0.27327383583492987,489.799,514.778,458.805,0.001356,5.294738,10.888524,3,Brd4 Inhibitor,BRD4
1060,NCGC00346896-03,MCOPPB,0.04314654917290147,0.1898938804711382,0.4392980789170116,-0.4997523118694454,470.289,562.101,439.2,,,,0,"ORL1 (OP4, NOP) Agonist",OPRL1
1061,NCGC00346553-10,BS-181,0.04406477177704162,0.3511862395857835,-0.7319062631203139,0.5129143388656553,483.244,444.573,526.861,,,,0,CDK 7 Inhibitor,CDK7
1062,NCGC00079434-04,KL001,0.044373826457852934,0.2785766650310466,-0.03394508866016645,-0.11151009699732135,477.412,514.612,472.808,,,,0,Cryptochrome Activator,CRY
1063,NCGC00510497-01,Eribulin mesylate,0.04480913367203095,1.2425086078896457,-0.5691326966269024,-0.5389485102466505,554.835,460.907,435.807,,,0.024543,1,Tubulin Polymerization Inhibitor,TUBB
1064,NCGC00379024-02,Epothilone D,0.04640874362476242,0.30838244717851554,0.4881779824097372,-0.6573341987139655,479.806,567.006,425.559,0.001727,0.056189,0.040708,3,Tubulin depolymerization Inhibitor,TUBB
1065,NCGC00274064-02,Betamethasone valerate,0.046470351454911636,0.004896337894179227,0.37012878021303375,-0.23561406374247806,455.43,555.16,462.065,,46.1,,1,Glucocorticoid steroid,NRC31
1066,NCGC00015439-20,Flumazenil,0.04666040494681815,0.2903172049496199,-0.7176259569622965,0.567289966853131,478.355,446.006,531.568,0.001167,0.101609,,2,GABA(A) BZ Site Receptor Antagonist,GABRA1
1067,NCGC00507875-01,XMD8-87,0.047118126760815095,0.3027425059450976,-0.26884765443601366,0.10745952877336135,479.353,491.04,491.763,,,,0,TNK2 Inhibitor,TNK2
1068,NCGC00263144-09,WZ-4002,0.04733964059138143,-0.15868685827774817,0.07707856165837834,0.22362721839351413,442.291,525.753,501.819,,,,0,EGFR Inhibitor,EGFR
1069,NCGC00346726-01,Cyclocytidine hydrochloride,0.04799486256308786,0.40804630937170205,-0.1394977773033777,-0.12456394437906078,487.811,504.02,471.678,0.006337,,46.1,2,antiviral,
1070,NCGC00378614-02,Flumatinib mesylate,0.04889191942967436,-0.03534271302504396,0.059021398533236694,0.12299707278083033,452.198,523.941,493.108,,,,0,Bcr-Abl Inhibitor,ABL1
1071,NCGC00185990-14,Ketorolac,0.04893798186176544,-0.09301204590185101,0.11067166148997423,0.1291543299971731,447.566,529.124,493.641,,,0.001155,1,non-steroidal antiinflammatory,
1072,NCGC00167403-06,Pluripotin,0.04914364475937194,0.16133311846349696,-0.35235705122888666,0.3384548670435055,467.995,482.66,511.759,,32.455178,,1,Dual RASGAP/Erk Inhibitor,RASAL1
1073,NCGC00263114-01,SCH-900435,0.0502016422289661,0.4015597544432016,-0.04007376157515662,-0.21088106618114666,487.29,513.997,464.206,,,,0,Glycine Transporter 1 (GlyT-1) Inhibitor,SLC6A9
1074,NCGC00510190-02,BMS-687453,0.051333806011813095,0.16008809832366924,0.3445976257281481,-0.35068430601637807,467.895,552.598,452.104,35.318926,1.129251,,2,PPARalpha Agonist,PPARA
1075,NCGC00344510-06,NPS-2143,0.05264093662174055,0.06384804151500865,0.1204576075103321,-0.02638283916011912,460.165,530.106,480.177,,,,0,Calcium-Sensing Receptor (CaSR) Antagonist,CASR
1076,NCGC00015508-23,Hydrochlorothiazide,0.05403312814662279,0.31307617310566516,0.452940604478998,-0.6039173931447948,480.183,563.47,430.183,,,46.1,1,Hypertension treatment,
1077,NCGC00390633-02,Evofosfamide,0.05435191938057501,-0.7624842754898616,0.5640041160847938,0.3615359175467928,393.794,574.615,513.757,,,,0,DNA Alkylating Drugs,
1078,NCGC00510489-01,BMS-986020,0.05484820000510521,0.3770328576886007,-0.7171775174807117,0.5046892598074266,485.32,446.051,526.149,,,,0,Lysophosphatidic Acid Receptor 1 (LPAR1; EDG2) Antagonist,
1079,NCGC00346941-01,ITK Inhibitor,0.05550006642885343,0.13623351244457554,0.08458244898356063,-0.054315762141575866,465.979,526.506,477.759,46.1,,,1,ITK Inhibitor,ITK
1080,NCGC00346536-06,PIK-93,0.05579053717508322,-0.8662069033388852,0.47525296001828626,0.5583255548458486,385.463,565.709,530.792,,36.675709,,1,PI3K Inhibitor,PIK3CA
1081,NCGC00356119-03,GSK-2801,0.05650871005753414,0.3769830568830074,-0.7234556702228966,0.5159987435124916,485.316,445.421,527.128,,,21.442252,1,BAZ2B Inhibitor,BAZ2B
1082,NCGC00509932-01,Derazantinib,0.057367950384783754,0.5090423431145042,-0.1554921188132295,-0.1814463731469235,495.923,502.415,466.754,,,,0,FGFR Inhibitor,FGFR1
1083,NCGC00274065-06,Desonide,0.057629679205015216,0.16808112762136135,-0.47544870626296437,0.48025661625664867,468.537,470.308,524.034,,0.282464,,1,Corticosteroid,
1084,NCGC00347957-09,UNC-669,0.05947129632028636,0.42899999832499847,-0.7804473456713978,0.5298612363072585,489.494,439.702,528.328,,,,0,L3MBTL3 methyllysine (Kme) reader domain Inhibitor,L3MBTL3
1085,NCGC00090504-14,Isoliquiritigenin,0.06375837792473288,0.12423151829663905,-0.044817254758140815,0.11186087023570039,465.015,513.521,492.144,,45.648407,,1,Histone Deacetylase/SIRT1 Activator,SIRT1
1086,NCGC00509987-01,Avacopan,0.06447710506829747,-0.6831764925828537,0.4287547684388662,0.44785303934888,400.164,561.043,521.229,0.082208,,,1,C5a Anaphylatoxin Chemotactic Receptor 1 Antagonist,
1087,NCGC00510478-01,ARV-771,0.06685842924077236,0.23066829005048728,-0.4002005612530618,0.3701075589248916,473.564,477.859,514.499,,,32.172287,1,Brd4 Inhibitor,BRD4
1088,NCGC00507883-01,CPI-1205,0.06907349034137636,-0.019692809867412984,0.3753207128776033,-0.14840743198606127,453.455,555.681,469.614,,,,0,EZH2 Inhibitor,EZH2
1089,NCGC00345803-02,AVN944,0.06924830926913102,0.012889367191871337,0.12415474190295195,0.07070081871256978,456.072,530.477,488.581,,,,0,,IMPDH1
1090,NCGC00164789-05,Fulvestrant,0.07050099664154043,-0.8011546010329018,0.45892976288860615,0.553727828068917,390.688,564.071,530.394,,,,0,Estrogen Receptor Antagonist,ESR1
1091,NCGC00263232-01,GLS-968,0.07241916807369114,0.6407654739082471,-0.8020023367528997,0.378494367065726,506.503,437.539,515.225,,1.366301,,1,Glutaminase Inhibitor,GLS
1092,NCGC00510481-01,GSK-682753A,0.07329308521826107,-0.2834005256842627,0.5880006110104787,-0.08472082967143281,432.274,577.023,475.127,,,46.1,1,EBI2/GPR183 Agonist,GPR183
1093,NCGC00263149-06,AEE-788,0.07330637931309346,-0.04139351090460519,0.1546386613288942,0.10667398751499138,451.712,533.536,491.695,,,,0,EGFR Inhibitor,EGFR
1094,NCGC00346697-02,842166X,0.07368133512203567,-0.7019638464928499,0.4355311872717002,0.48747666458725675,398.655,561.723,524.659,,,0.071294,1,Cannabinoid CB2 Agonist,CNR2
1095,NCGC00346459-07,LY-2874455,0.07378911775285493,0.3258625299416928,0.006633701762337063,-0.11112887844546507,481.21,518.684,472.841,,,,0,FGFR Inhibitor,FGFR1
1096,NCGC00378943-01,DB-07268,0.0740493281811752,0.11871607907720369,0.3453649555077485,-0.24193305004142657,464.572,552.675,461.518,,,4.206212,1,SAPK1 (JNK) Inhibitor,MAPK8
1097,NCGC00016311-32,Phentolamine mesilate,0.07430960370983349,0.3041369285017039,-0.4970734545971572,0.4158653372249538,479.465,468.138,518.46,,0.380105,,1,alpha-Adrenoceptor Antagonist,ADRA1A
1098,NCGC00164617-14,Adapalene,0.07468605294920215,0.2702101296914066,-0.001089422642731521,-0.04506254820106865,476.74,517.909,478.56,0.003394,,,1,topical retinoid,
1099,NCGC00181783-05,Iguratimod,0.07562608820596728,0.27480425400736946,-0.10486828400323023,0.05694229461376261,477.109,507.495,487.39,0.001191,,,1,NF-kappaB (NFKB) Activation Inhibitor,NFKB1
1100,NCGC00015718-24,Naftopidil,0.07571212953991303,0.037304212133887585,-0.025165640142919627,0.21499781662877115,458.033,515.493,501.072,,,,0,alpha1-Adrenoceptor Antagonist,ADRA1A
1101,NCGC00510264-02,GSK-3326595,0.07720465918670207,-0.062372100260697574,0.3996161674576777,-0.10563008963687394,450.027,558.119,473.317,,1.352362,,1,PRMT5 Inhibitor,PRMT5
1102,NCGC00094810-08,Warfarin sodium,0.07853805471115831,0.4517091656754504,-0.8034971350248483,0.5874021334828728,491.318,437.389,533.309,,0.260233,0.012062,2,"Vitamin K Epoxide Reductase (VKER, VKOR) Inhibitor",VKORC1
1103,NCGC00386423-05,AT-13148,0.08058112540455692,0.09721458126238411,0.11287399761064551,0.03165479734064115,462.845,529.345,485.201,,,,0,AKT Inhibitor,AKT1
1104,NCGC00096095-02,8-Cl-Ado,0.08082003312523649,0.19299398061930884,0.242961308557443,-0.19349518980104238,470.538,542.399,465.711,,46.1,46.1,2,Telomerase Inhibitor,TERT
1105,NCGC00246187-03,PYRONARIDINE TETRAPHOSPHATE,0.08173415530830533,0.27585007092482455,0.1034468031755548,-0.13409440817546336,477.193,528.399,470.853,,,,0,,
1106,NCGC00274062-01,Zosuquidar trihydrochloride,0.08187637426889063,0.7501155927892906,-0.5926309254619376,0.08814445547931889,515.286,458.549,490.091,,,,0,P-Glycoprotein (MDR-1) Inhibitor,ABCBA
1107,NCGC00167519-07,Ramatroban,0.08328512064162148,-0.12713804793452094,0.21544705503177236,0.16154635482761304,444.825,539.638,496.445,,,,0,prostaglandin D2 CRTH2 Inhibitor,PTGDR2
1108,NCGC00015442-19,Fluorouracil,0.08453527250362158,0.34437597942092707,-0.13165506903655264,0.040884907126490316,482.697,504.807,486.0,0.18439,,0.001163,2,Pyrimidine Antagonist,TYMS
1109,NCGC00181098-02,Nelarabine,0.08719926616665342,0.07724445821955146,0.33927614388001043,-0.15492280359960162,461.241,552.064,469.05,,0.013853,,1,Purine Antagonist,HPRT1
1110,NCGC00378630-01,BMS-690514,0.08896467341177501,-0.6989259973516706,0.16353769370789636,0.8022823238790993,398.899,534.429,551.91,,,,0,VEGFR-3 Inhibitor,FLT4
1111,NCGC00092381-04,ABT-702,0.0890507056774246,0.4639850642541488,0.07361062966745642,-0.27044357688933146,492.304,525.405,459.05,,,4.452702,1,Adenosine Kinase Inhibitor,ADK
1112,NCGC00509991-01,Pipequaline,0.08976649869519096,-4.639206093559967e-05,0.4289241789096864,-0.15957829076317795,455.033,561.06,468.647,,,,0,GABA(A) Receptor Agonist,
1113,NCGC00183656-11,Elesclomol (STA-4783),0.09000066371710098,-0.6627706124910818,0.4924630707893244,0.4403095328530604,401.803,567.436,520.576,,37.263391,,1,Copper Chelator,HSPA2
1114,NCGC00165736-13,Acadesine,0.09046359551039738,-0.4567571299538351,0.009075205606520151,0.7190727108785071,418.35,518.929,544.707,0.002903,,,1,AMPK Activator,PRKAA1
1115,NCGC00347938-05,BAF-312,0.09195691908624272,0.09137543680659278,0.07865308250483011,0.10584223794730528,462.376,525.911,491.623,,,27.434545,1,Lysophospholipid edg8 (S1P5) Receptor Ligands; Lysophospholipid edg1 (S1P1) Receptor Agonist,S1PR1
1116,NCGC00174736-02,Uridine triacetate,0.09239802142848266,0.5239576843896366,0.028427860567350714,-0.27519148067153937,497.121,520.871,458.639,0.001493,16.640118,,2,Pyrimidine Antagonist,TYMS
1117,NCGC00015443-22,Flecainide acetate,0.09409242371460702,-0.30125411448938855,0.09096025494387537,0.4925711306893342,430.84,527.146,525.1,,,,0,Sodium Channel Protein Type 5 Subunit alpha (Nav1.5) Channel Blocker,SCN5A
1118,NCGC00351480-16,GSK-343,0.09435749812466923,0.29032965515101783,-0.21684860521582172,0.20959144443881159,478.356,496.258,500.604,,,,0,EZH2 Inhibitor,EZH2
1119,NCGC00510688-01,LGH-447,0.09675596236811725,-0.02739948453294448,0.25770998484067137,0.05995738679662483,452.836,543.879,487.651,,,,0,Pim-1 Kinase Inhibitor,PIM1
1120,NCGC00346532-01,VX-222,0.09723993322359244,0.5193884604764705,-0.3961347099533609,0.16846604914766775,496.754,478.267,497.044,,,,0,,
1121,NCGC00390775-03,Atractylenolide I,0.09759439067536461,-0.9384803224558681,0.7520696693395786,0.4791938251423833,379.658,593.487,523.942,0.151186,,,1,TNF-alpha Production Inhibitor,TNF
1122,NCGC00508883-01,AZ-9482,0.10134092070367373,-0.06233474965650292,-0.39429112541795736,0.7606486371854815,450.03,478.452,548.306,,0.163874,46.1,2,PARP Inhibitor,PARP1
1123,NCGC00378976-03,Idasanutlin,0.10134779816634573,0.17058361810241476,-0.5311448898757767,0.6646046662723991,468.738,464.719,539.992,,0.27071,,1,MDM2 (hdm2) Inhibitor,MDM2
1124,NCGC00346705-02,PMSF,0.10151760792973659,0.6882131914370713,-0.7862870242538114,0.4026266566059499,510.314,439.116,517.314,,1.702689,,1,Serine Protease Inhibitor,
1125,NCGC00015155-14,Bepridil,0.10185464092384144,-0.960193473694459,0.6458592694567096,0.6198981270092737,377.914,582.829,536.122,,,,0,Calcium Channel Blocker,KCNT1
1126,NCGC00013917-09,NSC-87877,0.1024053273677682,0.5654293052472888,-0.806257529167047,0.5480442060230627,500.452,437.112,529.902,,0.058518,46.1,2,Protein Tyrosine Phosphatase SHP-2 (PTP2C) Inhibitor,
1127,NCGC00024762-06,Tesmilifene hydrochloride,0.102564612226779,-0.008400477199177622,0.08062621622380345,0.23546809765571117,454.362,526.109,502.844,,,,0,Estrogen Receptor Antagonist,ESR1
1128,NCGC00016497-13,Ethionamide,0.10286424071658491,-1.389750322337722,0.899237541873845,0.7991055026136319,343.412,608.255,551.635,0.1394,0.002004,,2,Cell Wall Biosynthesis Inhibitor,
1129,NCGC00263211-04,JK-184,0.10414434283533795,0.4756135523601374,-0.21115840646060302,0.04797788260647945,493.238,496.829,486.614,,46.1,8.453118,2,Alcohol dehydrogenase 7 Inhibitor,ADH7
1130,NCGC00024667-19,Methyldopa,0.10430792266967524,0.2500159030234054,-0.41235825386491176,0.4752661188505321,475.118,476.639,523.602,,,,0,,DDC
1131,NCGC00022398-13,Fluocinonide,0.10460918755647323,-0.2054124641254718,0.10223103391437019,0.4170089928805213,438.538,528.277,518.559,,,,0,Glucocorticoid steroid,NRC31
1132,NCGC00181170-09,Bendamustine,0.10497990479839502,0.2435417982963029,-0.5923518964511736,0.6637498125500557,474.598,458.577,539.918,,0.112813,46.1,2,DNA Alkylating Drugs,XRCC1
1133,NCGC00402345-02,Decernotinib,0.10567851649972067,-1.0365007580644823,0.7024822279981304,0.6510540795655139,371.785,588.511,538.819,0.126708,,0.00711,2,Jak2/3 Inhibitor,JAK2
1134,NCGC00386882-01,ML264,0.10573803782737508,0.2992439993521824,0.22042971593826838,-0.20245960180832553,479.072,540.138,464.935,0.001994,2.107815,,2,In vivo Inhibitor of KLF5 and EGR1 expression,
1135,NCGC00184994-11,Cidofovir,0.10719944245917952,0.1263356023329479,0.03867221139110671,0.15659051365348395,465.184,521.899,496.016,,,,0,DNA Polymerase Inhibitor,
1136,NCGC00168759-10,PTC-124,0.10833427901561345,0.27387048890249904,0.4098106916723688,-0.35867834352802747,477.034,559.142,451.412,,4.150085,,1,CFTR-G542X nonsense allele Inhibitor,CFTR
1137,NCGC00025091-11,U-73122,0.10840139179025314,0.5040249119509994,-0.5771846766517998,0.39836394007155984,495.52,460.099,516.945,,,,0,Phospholipase C Inhibitor,PLCG1
1138,NCGC00092375-02,JNJ-16259685,0.1085156502660826,0.05644017168303505,-0.16477979874293822,0.433886577858151,459.57,501.483,520.02,33.740501,,38.478932,2,mgluR1 Antagonist,GRM1
1139,NCGC00378902-02,Toceranib,0.10998952937973486,0.8351753687423026,0.07137839758134688,-0.5765851781844449,522.118,525.181,432.549,,,,0,VEGFR Inhibitor,FLT1
1140,NCGC00167793-02,PD-198306,0.11002540491848772,-0.12056434159623182,0.36183763246462447,0.08880292388707053,445.353,554.328,490.148,,,,0,ERK1/2 Inhibitor,ERK
1141,NCGC00024928-14,Tamoxifen,0.11089549870341514,0.13800144104313045,-0.6285758412413995,0.8232608963085145,466.121,454.942,553.726,84.302748,,69.768765,2,Selective Estrogen Receptor Modulators (SERM),ESR1
1142,NCGC00090905-16,Busulfan,0.11089809157044483,0.094699640579932,-0.042734502499224884,0.2807291366306274,462.643,513.73,506.762,,,,0,DNA Alkylating Agent,
1143,NCGC00346431-02,Omigapil,0.11208250045205043,-0.4517147983875343,0.05711802206695491,0.7308442776767307,418.755,523.75,545.726,,,,0,Glyceraldehyde 3-phosphate Dehydrogenase (GAPDH) Inhibitor,GAPDH
1144,NCGC00015693-19,Mitoxantrone,0.11225864476818107,0.03903479012824785,-0.06253559694164025,0.3602767411179356,458.172,511.743,513.648,,,,0,DNA Topoisomerase II Inhibitor,TOP2A
1145,NCGC00415059-02,AZD-3965,0.11240518948127647,-0.3050389757144636,0.3338350781701174,0.30841946598817555,430.536,551.518,509.159,,,,0,MCT2 Inhibitor,SLC16A7
1146,NCGC00163492-01,Cerulenin,0.1144852378359759,0.23957018405025315,0.3613792276612275,-0.25749369820355295,474.279,554.282,460.171,,,,0,Fatty Acid Synthase (FAS) Inhibitor,FAS
1147,NCGC00346576-01,A-966492,0.11596201774345659,-0.021871595112111144,0.5807657873742466,-0.21100813903176566,453.28,576.297,464.195,,4.379512,,1,PARP Inhibitor,PARP1
1148,NCGC00345796-09,GSK-2636771,0.11608355457793926,-0.14194133739706877,0.06374496107259424,0.4264470400582923,443.636,524.415,519.376,0.026699,,,1,PI3Kbeta Inhibitor,PIK3CB
1149,NCGC00015810-26,Papaverine hydrochloride,0.11620838390645276,-0.8845585001999422,0.6463475702255471,0.5868360816937533,383.989,582.878,533.26,,,46.1,1,Phosphodiesterase X (PDE10) Inhibitor,PDE10A
