drugA,drugB,published_Bindex,recovered_BACC_lambda0,abs_diff
Uracil mustard,Ifosfamide,0.388235294117647,0.388235,2.941176470150353e-07
Tioguanine,Dacarbazine,0.387499999999999,0.3875,9.992007221626409e-16
Raloxifene,Actinomycin D,0.386904761904761,0.386905,2.3809523902462715e-07
Vandetanib,Erlotinib,0.386363636363636,0.386364,3.6363636396474774e-07
Melphalan,Idarubicin,0.386363636363636,0.386364,3.6363636396474774e-07
Irinotecan,Trifluridine,0.386363636363636,0.386364,3.6363636396474774e-07
Zanubrutinib,Neratinib,0.386363636363636,0.386364,3.6363636396474774e-07
Crizotinib,Lomustine,0.383442265795206,0.383442,2.6579520601144324e-07
Imatinib,Tamoxifen,0.383333333333333,0.383333,3.333333330468591e-07
Imatinib,Vorinostat,0.383333333333333,0.383333,3.333333330468591e-07
Hydroxyurea,Cytarabine,0.38095238095238,0.380952,3.809523799747083e-07
Raloxifene,Lomustine,0.379629629629629,0.37963,3.7037037103893056e-07
Pralsetinib,Erlotinib,0.377503852080123,0.377504,1.4791987701379128e-07
Everolimus,Pralsetinib,0.377503852080123,0.377504,1.4791987701379128e-07
Carboplatin,Arsenic trioxide,0.376623376623376,0.376623,3.766233760416071e-07
Gemcitabine,Clofarabine,0.375,0.375,0.0
Melphalan,Daunorubicin,0.375,0.375,0.0
Trifluridine,Daunorubicin,0.375,0.375,0.0
Gemcitabine,Pemetrexed,0.375,0.375,0.0
Gemcitabine,Pralatrexate,0.375,0.375,0.0
Melphalan,Mitomycin,0.375,0.375,0.0
Mitomycin,Trifluridine,0.375,0.375,0.0
Carmustine,Crizotinib,0.373225152129817,0.373225,1.5212981702150685e-07
Sunitinib,Palbociclib,0.371794871794871,0.371795,1.2820512901301484e-07
Carmustine,Raloxifene,0.370689655172413,0.37069,3.448275870399087e-07
Tamoxifen,Lomustine,0.37037037037037,0.37037,3.7037037003972983e-07
Melphalan,Uracil mustard,0.366666666666666,0.366667,3.333333340460598e-07
Tamoxifen,Ixabepilone,0.366161616161616,0.366162,3.8383838396605086e-07
Oxaliplatin,Pipobroman,0.365591397849462,0.365591,3.978494619860662e-07
Ceritinib,Palbociclib,0.365384615384615,0.365385,3.846153850406431e-07
Nitrogen mustard,Daunorubicin,0.364583333333333,0.364583,3.3333333299134793e-07
Zanubrutinib,Erlotinib,0.363636363636363,0.363636,3.63636362965547e-07
Abiraterone,Pralsetinib,0.362016514558887,0.362017,4.854411129739944e-07
Methotrexate,Daunorubicin,0.361111111111111,0.361111,1.1111111097861226e-07
Docetaxel,Lomustine,0.361111111111111,0.361111,1.1111111097861226e-07
Methotrexate,Mitomycin,0.361111111111111,0.361111,1.1111111097861226e-07
Binimetinib,Vemurafenib,0.355731225296442,0.355731,2.252964420024206e-07
Imatinib,Lomustine,0.355555555555555,0.355556,4.444444449691609e-07
Selumetinib,Venetoclax,0.355555555555555,0.355556,4.444444449691609e-07
Everolimus,Selpercatinib,0.353808353808353,0.353808,3.5380835300413693e-07
Carmustine,Imatinib,0.351724137931034,0.351724,1.3793103403880735e-07
Cobimetinib,Venetoclax,0.351724137931034,0.351724,1.3793103403880735e-07
Abemaciclib,Sirolimus,0.35,0.35,0.0
Fedratinib,Belinostat,0.35,0.35,0.0
Belinostat,Pralatrexate,0.35,0.35,0.0
Valrubicin,Daunorubicin,0.348484848484848,0.348485,1.515151519804192e-07
Mitomycin,Idarubicin,0.348484848484848,0.348485,1.515151519804192e-07
Imatinib,Oxaliplatin,0.348387096774193,0.348387,9.677419299247703e-08
Actinomycin D,Tamoxifen,0.347222222222222,0.347222,2.2222222201273567e-07
Zoledronate,Selpercatinib,0.346621621621621,0.346622,3.7837837896237403e-07
Methotrexate,Oxaliplatin,0.34647550776583,0.346476,4.922341699797883e-07
Melphalan,Nitrogen mustard,0.34375,0.34375,0.0
Uracil mustard,Etoposide,0.342857142857142,0.342857,1.4285714200479305e-07
Paclitaxel,Lomustine,0.342592592592592,0.342593,4.0740740797629016e-07
Etoposide,Daunorubicin,0.339285714285714,0.339286,2.857142859524764e-07
Ifosfamide,Chlorambucil,0.338235294117647,0.338235,2.941176470150353e-07
Crizotinib,tepotinib,0.338235294117647,0.338235,2.941176470150353e-07
Dabrafenib,Ixazomib,0.3375,0.3375,0.0
Dabrafenib,Venetoclax,0.3375,0.3375,0.0
Zoledronate,Pralsetinib,0.334745762711864,0.334746,2.372881359735679e-07
Duvelisib,Avapritinib,0.333333333333333,0.333333,3.3333333299134793e-07
Cisplatin,Chlorambucil,0.333333333333333,0.333333,3.3333333299134793e-07
Mitoxantrone,Chlorambucil,0.333333333333333,0.333333,3.3333333299134793e-07
Cisplatin,Melphalan,0.333333333333333,0.333333,3.3333333299134793e-07
Cisplatin,Topotecan,0.333333333333333,0.333333,3.3333333299134793e-07
Thiotepa,Cladribine,0.333333333333333,0.333333,3.3333333299134793e-07
Triethylenemelamine,Cladribine,0.333333333333333,0.333333,3.3333333299134793e-07
Duvelisib,Tucatinib,0.333333333333333,0.333333,3.3333333299134793e-07
Duvelisib,Vandetanib,0.333333333333333,0.333333,3.3333333299134793e-07
Mitoxantrone,Topotecan,0.333333333333333,0.333333,3.3333333299134793e-07
Neratinib,Osimertinib,0.333333333333333,0.333333,3.3333333299134793e-07
Thiotepa,Pipobroman,0.333333333333333,0.333333,3.3333333299134793e-07
Pipobroman,Triethylenemelamine,0.333333333333333,0.333333,3.3333333299134793e-07
Pralatrexate,Trifluridine,0.333333333333333,0.333333,3.3333333299134793e-07
Topotecan,Trifluridine,0.333333333333333,0.333333,3.3333333299134793e-07
Tucatinib,Vandetanib,0.333333333333333,0.333333,3.3333333299134793e-07
Nitrogen mustard,Oxaliplatin,0.331653225806451,0.331653,2.258064510374247e-07
Fruquintinib,Erdafitinib,0.330645161290322,0.330645,1.6129032198719528e-07
Dasatinib,Brigatinib,0.33,0.33,0.0
Vemurafenib,Selumetinib,0.329966329966329,0.329966,3.299663290379229e-07
Palbociclib,Dexrazoxane,0.329059829059829,0.32906,1.709401710181524e-07
Fludarabine,Allopurinol,0.326923076923076,0.326923,7.692307596451897e-08
Ribociclib,Palbociclib,0.326923076923076,0.326923,7.692307596451897e-08
Teniposide,Uracil mustard,0.325,0.325,0.0
Abiraterone,Lenvatinib,0.324786324786324,0.324786,3.247863240019022e-07
