variant,drug,rank_descending,top_quartile,observed_C_ACC_percentile,null_mean_C_ACC_percentile,null_sd_C_ACC_percentile,z_degree_matched,empirical_p_upper,q_bh_108,null_draws
column_gene_rank,Irinotecan,88,no,0.18691588785,0.316212149152,0.172283732943,-0.750484442685,0.736826317368,0.938319354878,10000
column_gene_rank,Ibrutinib,89,no,0.177570093458,0.124617756682,0.130928059742,0.404438413586,0.206379362064,0.891558844116,10000
column_gene_rank,Homoharringtonine,90,no,0.168224299065,0.37727943832,0.18715557393,-1.11701262679,0.985201479852,1,10000
column_gene_rank,Cisplatin,91,no,0.158878504673,0.341467756427,0.200775442758,-0.909420242069,0.838816118388,0.983979021453,10000
column_gene_rank,Binimetinib,92,no,0.14953271028,0.1591962616,0.0896620960415,-0.1077774416,0.422557744226,0.919921567165,10000
column_gene_rank,Allopurinol,93,no,0.140186915888,0.0600252332767,0.0572567242412,1.40003962283,0.104589541046,0.891558844116,10000
column_gene_rank,Abiraterone,94,no,0.130841121495,0.168976635265,0.114677914976,-0.332544533771,0.488751124888,0.919921567165,10000
column_gene_rank,Bosutinib,95,no,0.116822429907,0.226990653893,0.168898006877,-0.652276637384,0.786421357864,0.938319354878,10000
column_gene_rank,Lapatinib,95,no,0.116822429907,0.226990653893,0.168898006877,-0.652276637384,0.786421357864,0.938319354878,10000
column_gene_rank,Idelalisib,97,no,0.102803738318,0.0971233641965,0.0798700432261,0.0711202084259,0.300469953005,0.919921567165,10000
column_gene_rank,Fruquintinib,98,no,0.0934579439252,0.234827102505,0.166780497701,-0.847636027765,0.847315268473,0.983979021453,10000
column_gene_rank,Axitinib,99,no,0.0794392523364,0.101717757519,0.117625775375,-0.189401558557,0.469753024698,0.919921567165,10000
column_gene_rank,Cabozantinib,99,no,0.0794392523364,0.101717757519,0.117625775375,-0.189401558557,0.469753024698,0.919921567165,10000
column_gene_rank,Ribociclib,101,no,0.0654205607477,0.323020093167,0.169951261648,-1.51572592002,0.979502049795,1,10000
column_gene_rank,Topotecan,102,no,0.0560747663551,0.332074298685,0.210682454967,-1.31002618312,0.985501449855,1,10000
column_gene_rank,Duvelisib,103,no,0.0467289719626,0.0613443919986,0.0671527105521,-0.217644528655,0.436456354365,0.919921567165,10000
column_gene_rank,Dacomitinib,104,no,0.0373831775701,0.0229560744055,0.0350646657757,0.411442768539,0.143385661434,0.891558844116,10000
column_gene_rank,Fludarabine,105,no,0.0280373831776,0.185364485671,0.150289092515,-1.0468298122,0.961303869613,1,10000
column_gene_rank,Selinexor,106,no,0.018691588785,0.0466948593903,0.0704634447654,-0.397415577659,0.419758024198,0.919921567165,10000
column_gene_rank,Tivozanib,107,no,0.00934579439252,0.051028036694,0.048826860666,-0.853674427005,0.986601339866,1,10000
column_gene_rank,Vandetanib,108,no,0,0.0141803736303,0.0351118549365,-0.403862845068,1,1,10000
column_minmax,umbralisib,1,yes,1,0.654785046649,0.219532518988,1.5725003063,0.004699530047,0.507549245075,10000
column_minmax,Encorafenib,2,yes,0.990654205607,0.297768224454,0.246885239062,2.80651035998,0.026397360264,0.536346365363,10000
column_minmax,Tamoxifen,3,yes,0.981308411215,0.508808410731,0.236261349993,1.99990392207,0.00989901009899,0.534546545345,10000
column_minmax,Trametinib,4,yes,0.971962616822,0.192678504291,0.250504678655,3.11085651859,0.02899710029,0.536346365363,10000
column_minmax,Binimetinib,5,yes,0.96261682243,0.225813083956,0.238017993714,3.09557998946,0.020797920208,0.536346365363,10000
