drug,observed_C_ACC_pct,null_mean_C_ACC_pct,null_sd_C_ACC_pct,z_degree_matched,empirical_p_upper,q_bh_108,null_draws,monte_carlo_se
Cisplatin,0.158878504673,0.207855140187,0.183914164939,-0.266301595259,0.537246275372,1,10000,0.00498585856383
Ixabepilone,0.859813084112,0.82538317757,0.139390193626,0.247003793068,0.549945005499,1,10000,0.00497474369542
Panobinostat,0.598130841121,0.577699065421,0.163096720322,0.125273982583,0.560343965603,1,10000,0.00496320433206
Bosutinib,0.528037383178,0.528669158879,0.173269818958,-0.00364619588533,0.570642935706,1,10000,0.00494959672223
Lapatinib,0.528037383178,0.528669158879,0.173269818958,-0.00364619588533,0.570642935706,1,10000,0.00494959672223
Tucatinib,0.429906542056,0.45984953271,0.165769837245,-0.180629909227,0.596540345965,1,10000,0.00490566912879
Chlorambucil,0.242990654206,0.320382242991,0.204783567585,-0.37791893997,0.600239976002,1,10000,0.00489824411821
Osimertinib,0.392523364486,0.436619626168,0.167978597967,-0.26251119021,0.615938406159,1,10000,0.00486348262579
Vinorelbine,0.588785046729,0.612097196262,0.156322134853,-0.149128909701,0.636836316368,1,10000,0.00480887406004
Carmustine,0.373831775701,0.526124299065,0.262332084935,-0.580533347274,0.642835716428,1,10000,0.00479139854961
Homoharringtonine,0.560747663551,0.602954205607,0.1577123276,-0.26761726682,0.663333666633,1,10000,0.00472546064808
Afatinib,0.196261682243,0.313240186916,0.214515402419,-0.545315177156,0.684131586841,1,10000,0.00464837553703
Gilteritinib,0.504672897196,0.574865420561,0.159864873172,-0.439074087831,0.689731026897,1,10000,0.00462580522027
Erlotinib,0.682242990654,0.749776635514,0.18068240405,-0.373769904241,0.69103089691,1,10000,0.00462045287651
Topotecan,0.355140186916,0.436313084112,0.160010072309,-0.507298672044,0.699830016998,1,10000,0.00458308803767
Ceritinib,0.747663551402,0.824326168224,0.139514467027,-0.549495822591,0.787621237876,1,10000,0.0040897102317
Brigatinib,0.757009345794,0.862671962617,0.114604120783,-0.921979210698,0.860813918608,1,10000,0.00346123295958
Temsirolimus,0.579439252336,0.723536448598,0.123284292398,-1.16882040249,0.864813518648,1,10000,0.00341905552267
Acalabrutinib,0.626168224299,0.753089719626,0.111871162407,-1.1345327303,0.869513048695,1,10000,0.00336821558051
