drug,n_assoc,mean_target_STRING_degree,mean_target_STRING_strength,mean_target_STRING_PageRank,C_ACC_pct,ADRS_comp
Imatinib,5,328.4,411.9332,0.000130878001313,0.308411214953,0.392523364486
Topotecan,2,157,179.02,6.88807075748e-05,0.355140186916,0.38785046729
Everolimus,11,277.454545455,332.840545455,0.000127783305857,0.140186915888,0.364485981308
Lorlatinib,2,249,273.348,0.000102117463513,0.401869158879,0.364485981308
Vinorelbine,1,174,210.434,9.07174536796e-05,0.588785046729,0.359813084112
Cabozantinib,1,40,45.122,3.1273487443e-05,0.490654205607,0.357476635514
Fludarabine,4,136,174.9355,6.72348461674e-05,0.261682242991,0.355140186916
Duvelisib,6,147,168.571333333,7.29510924428e-05,0.168224299065,0.336448598131
Vorinostat,18,298.166666667,351.686222222,0.000128209767976,0.0934579439252,0.331775700935
Carboplatin,7,261.714285714,314.216,0.000114096948026,0.214953271028,0.327102803738
Clofarabine,2,313,367.607,0.000145013728056,0.457943925234,0.322429906542
Dacarbazine,15,273.066666667,331.611066667,0.000116210870466,0.0841121495327,0.31308411215
Dacomitinib,9,117,140.475111111,5.98989787789e-05,0.0560747663551,0.303738317757
Thiotepa,3,252,296.930666667,0.000100289073417,0.336448598131,0.303738317757
Venetoclax,5,434.8,517.3552,0.000185190100961,0.317757009346,0.280373831776
Dexrazoxane,18,229.888888889,274.371777778,0.000100991209577,0.0747663551402,0.252336448598
Fruquintinib,31,231.870967742,277.597741935,0.000109106765914,0.327102803738,0.247663551402
Mitoxantrone,6,251.833333333,303.608333333,0.000110401348394,0.224299065421,0.242990654206
Vemurafenib,22,212.636363636,250.802090909,9.62668839135e-05,0.280373831776,0.242990654206
Cladribine,3,295,366.067333333,0.00012815439389,0.411214953271,0.238317757009
Valrubicin,11,214.090909091,251.462363636,9.58391803917e-05,0.0467289719626,0.224299065421
umbralisib,5,281.2,361.8508,0.00011649340582,0.252336448598,0.200934579439
Sonidegib,4,177.5,212.3275,8.99077420698e-05,0.299065420561,0.191588785047
Idelalisib,9,160.222222222,180.692222222,7.69080195379e-05,0.0654205607477,0.177570093458
Vinblastine,9,247.666666667,290.543555556,0.000106451574807,0.102803738318,0.14953271028
Abiraterone,39,224,269.558820513,0.000111388235592,0,0.140186915888
Cisplatin,6,186.166666667,210.114,8.30407376587e-05,0.158878504673,0.130841121495
Neratinib,6,183.666666667,215.159666667,8.4108562366e-05,0.233644859813,0.121495327103
Teniposide,8,271.625,316.41125,0.000118681724234,0.177570093458,0.107476635514
Zoledronate,20,263.3,314.1664,0.000123690728662,0.0373831775701,0.0981308411215
Bleomycin,16,273.25,331.7785,0.000123155486266,0.11214953271,0.0934579439252
Lenvatinib,18,246.888888889,291.476666667,0.000112458794075,0.0280373831776,0.0747663551402
