drug,n_d,n_seed,n_nonseed,seed_hits,L_count,L_weighted,C_seed,C_nonseed,obs_C_ACC_pct,z_matched,ADRS_comp,MIPE
cyclophosphamide,16,1,15,TERT,0.05263157894736842,0.0016165908408581787,0.28443324999999997,0.016984166666666665,0.766355140187,1.11671547291,0.542056074766,0.6911
brigatinib,8,1,7,EGFR,0.09090909090909091,0.0011568072120946187,0.15351525,0.022307700000000003,0.757009345794,-0.921979210698,0.817757009346,-0.9792
ceritinib,12,1,11,BRCA2,0.06666666666666667,0.0011701038467163958,0.18591475,0.024166357142857146,0.747663551402,-0.549495822591,0.696261682243,-0.3842
idarubicin,11,1,10,BRCA1,0.07142857142857142,0.001253682692910424,0.19235075000000001,0.017423769230769232,0.738317757009,2.1242545143,0.682242990654,-0.6296
erdafitinib,10,1,9,EGFR,0.07692307692307693,0.0009788368717723696,0.15351525,0.025501,0.728971962617,-1.26262439342,0.453271028037,0.632
actinomycin d,12,1,11,BRCA1,0.06666666666666667,0.0011701038467163958,0.19235075000000001,0.01777007142857143,0.719626168224,0.36818596663,0.803738317757,-2.8229
palbociclib,26,1,25,RB1,0.034482758620689655,0.0011045376828917703,0.28937725000000003,0.01869642857142857,0.710280373832,0.841801221191,0.658878504673,-0.1616
nilotinib,14,1,13,CHEK2,0.058823529411764705,0.001006633456366311,0.18140125,0.018992625,0.700934579439,0.665736132803,0.677570093458,-0.3599
raloxifene,14,1,13,CHEK2,0.058823529411764705,0.001006633456366311,0.18140125,0.018744875,0.691588785047,1.17469771056,0.401869158879,0.8449
erlotinib,11,1,10,EGFR,0.07142857142857142,0.0009089199523600575,0.15351525,0.01977953846153846,0.682242990654,-0.373769904241,0.584112149533,0.133
olaparib,1,0,1,,0.0,0.0,,0.0497855,0.672897196262,-3.70681801619,0.799065420561,-0.3604
azacitidine,1,0,1,,0.0,0.0,,0.047163750000000004,0.663551401869,-5.2513721367,0.504672897196,0.151
crizotinib,17,1,16,BRCA1,0.05,0.0008775778850372967,0.19235075000000001,0.01633357894736842,0.654205607477,1.55325152091,0.799065420561,-1.2895
encorafenib,15,1,14,ATR,0.05555555555555555,0.0009507093754570715,0.1778955,0.015171529411764705,0.644859813084,1.72396357813,0.429906542056,0.5514
decitabine,1,0,1,,0.0,0.0,,0.0445945,0.635514018692,-2.11017416599,0.546728971963,0.4223
acalabrutinib,1,0,1,,0.0,0.0,,0.044529,0.626168224299,-1.1345327303,0.593457943925,0.2519
tamoxifen,18,1,17,CHEK2,0.047619047619047616,0.0008148937503917755,0.18140125,0.01783275,0.616822429907,0.461158807636,0.556074766355,0.1109
ibrutinib,13,1,12,EGFR,0.0625,0.0007953049583150503,0.15351525,0.0159668,0.607476635514,1.4159406759,0.728971962617,-0.5326
panobinostat,1,0,1,,0.0,0.0,,0.043244500000000005,0.598130841121,0.125273982583,0.635514018692,-1.1114
vinorelbine,1,0,1,,0.0,0.0,,0.041759250000000005,0.588785046729,-0.149128909701,0.359813084112,0.3621
temsirolimus,1,0,1,,0.0,0.0,,0.041716,0.579439252336,-1.16882040249,0.406542056075,0.2014
mitotane,1,0,1,,0.0,0.0,,0.041092500000000004,0.570093457944,-1.29869814923,0.719626168224,-0.3745
homoharringtonine,1,0,1,,0.0,0.0,,0.0410695,0.560747663551,-0.26761726682,0.738317757009,-2.7065
romidepsin,1,0,1,,0.0,0.0,,0.04087525,0.551401869159,-2.78221198863,0.705607476636,-2.6178
celecoxib,2,0,2,,0.0,0.0,,0.0406768,0.542056074766,-1.39130853529,0.766355140187,-2.4449
bosutinib,1,0,1,,0.0,0.0,,0.040280750000000004,0.528037383178,-0.00364619588533,0.642523364486,-0.6036
lapatinib,1,0,1,,0.0,0.0,,0.040280750000000004,0.528037383178,-0.00364619588533,0.619158878505,-0.3811
sunitinib,3,0,3,,0.0,0.0,,0.04022800000000001,0.514018691589,-7.19412209438,0.42523364486,0.2381
gilteritinib,1,0,1,,0.0,0.0,,0.040065250000000004,0.504672897196,-0.439074087831,0.401869158879,0.2527
axitinib,1,0,1,,0.0,0.0,,0.039897,0.490654205607,0.185842718114,0.71261682243,-0.5256
cabozantinib,1,0,1,,0.0,0.0,,0.039897,0.490654205607,0.185842718114,0.357476635514,0.44
fulvestrant,2,0,2,,0.0,0.0,,0.0394698,0.476635514019,0.252059054986,0.588785046729,0.0705
tivozanib,1,0,1,,0.0,0.0,,0.0394195,0.467289719626,0.253879525099,0.598130841121,-0.4032
clofarabine,2,0,2,,0.0,0.0,,0.039141800000000004,0.457943925234,-1.65660822668,0.322429906542,0.3988
lomustine,27,1,26,MED12,0.03333333333333333,0.0007678806494076345,0.21839075,0.013423862068965516,0.448598130841,0.83013206665,0.457943925234,0.3135
sirolimus,2,0,2,,0.0,0.0,,0.0367748,0.439252336449,-2.43549689241,0.476635514019,-0.4373
tucatinib,2,0,2,,0.0,0.0,,0.035955600000000004,0.429906542056,-0.180629909227,0.57476635514,-0.2803
asciminib,3,0,3,,0.0,0.0,,0.03508733333333333,0.420560747664,-1.28751124473,0.392523364486,0.3949
cladribine,3,0,3,,0.0,0.0,,0.0346595,0.411214953271,-1.92107980133,0.238317757009,0.9149
lorlatinib,2,0,2,,0.0,0.0,,0.0342604,0.401869158879,-1.22211610328,0.364485981308,0.5225
osimertinib,2,0,2,,0.0,0.0,,0.033761400000000004,0.392523364486,-0.26251119021,0.598130841121,-0.8323
selumetinib,27,1,26,PTCH1,0.03333333333333333,0.0006289308176100628,0.18682200000000002,0.014421551724137931,0.383177570093,0.0837394356169,0.457943925234,0.0143
carmustine,29,1,28,PTCH1,0.03125,0.0005896226415094338,0.18682200000000002,0.015254806451612904,0.373831775701,-0.580533347274,0.560747663551,-0.0535
cobimetinib,29,1,28,PTCH1,0.03125,0.0005896226415094338,0.18682200000000002,0.014316741935483872,0.364485981308,0.37791020748,0.630841121495,-1.7656
topotecan,2,0,2,,0.0,0.0,,0.0322456,0.355140186916,-0.507298672044,0.38785046729,-0.2061
dasatinib,25,1,24,EGFR,0.03571428571428571,0.00045445997618002873,0.15351525,0.01622440740740741,0.345794392523,-1.49744011003,0.434579439252,-0.3592
thiotepa,3,0,3,,0.0,0.0,,0.031351333333333335,0.336448598131,-1.80557613158,0.303738317757,0.7165
fruquintinib,31,1,30,IL7R,0.029411764705882353,0.0005678445138476627,0.1880495,0.011244454545454547,0.327102803738,0.0852505027731,0.247663551402,1.1097
venetoclax,5,0,5,,0.0,0.0,,0.028318000000000003,0.317757009346,-4.21238241304,0.280373831776,0.3971
imatinib,5,0,5,,0.0,0.0,,0.027964625,0.308411214953,-3.34257923827,0.392523364486,0.2184
sonidegib,4,0,4,,0.0,0.0,,0.027770714285714287,0.299065420561,0.170325470878,0.191588785047,1.0346
selinexor,3,0,3,,0.0,0.0,,0.027528,0.289719626168,1.1263180207,0.476635514019,-0.7151
vemurafenib,22,1,21,KDR,0.04,0.0004563405002193944,0.131648,0.012834499999999999,0.280373831776,0.263535718824,0.242990654206,0.4686
ribociclib,8,0,8,,0.0,0.0,,0.02668590909090909,0.271028037383,-2.7378913152,0.542056074766,-0.3824
fludarabine,4,0,4,,0.0,0.0,,0.025308285714285717,0.261682242991,0.189168973221,0.355140186916,0.3666
umbralisib,5,0,5,,0.0,0.0,,0.024279125000000002,0.252336448598,-2.46296877271,0.200934579439,0.9088
chlorambucil,6,0,6,,0.0,0.0,,0.02388533333333333,0.242990654206,-0.37791893997,0.621495327103,-2.2304
neratinib,6,0,6,,0.0,0.0,,0.02378466666666667,0.233644859813,0.0504223752971,0.121495327103,0.8567
mitoxantrone,6,0,6,,0.0,0.0,,0.02350044444444445,0.224299065421,-1.39366769669,0.242990654206,0.1123
carboplatin,7,0,7,,0.0,0.0,,0.0234809,0.214953271028,-1.42494317755,0.327102803738,0.4503
melphalan,6,0,6,,0.0,0.0,,0.023037333333333337,0.205607476636,-1.52776266829,0.593457943925,-1.8659
afatinib,9,0,9,,0.0,0.0,,0.023031416666666665,0.196261682243,-0.545315177156,0.579439252336,-2.822
estramustine,7,0,7,,0.0,0.0,,0.0228227,0.18691588785,-1.84615960594,0.401869158879,0.1622
teniposide,8,0,8,,0.0,0.0,,0.022798181818181818,0.177570093458,-1.41667554484,0.107476635514,0.7109
duvelisib,6,0,6,,0.0,0.0,,0.021918111111111114,0.168224299065,0.351081893253,0.336448598131,0.1752
cisplatin,6,0,6,,0.0,0.0,,0.02131155555555556,0.158878504673,-0.266301595259,0.130841121495,0.6178
darolutamide,8,0,8,,0.0,0.0,,0.021132181818181817,0.14953271028,-1.69362941134,0.415887850467,-0.019
everolimus,11,0,11,,0.0,0.0,,0.020827142857142857,0.140186915888,-1.38045385939,0.364485981308,-0.4925
carfilzomib,9,0,9,,0.0,0.0,,0.01994691666666667,0.130841121495,-0.852139442284,0.453271028037,-1.9783
vandetanib,6,0,6,,0.0,0.0,,0.019703222222222223,0.121495327103,0.467279555834,0.514018691589,-0.8589
bleomycin,16,0,16,,0.0,0.0,,0.019543052631578947,0.11214953271,-1.3466038028,0.0934579439252,0.7185
vinblastine,9,0,9,,0.0,0.0,,0.019471583333333334,0.102803738318,-1.2726927092,0.14953271028,0.1934
vorinostat,18,0,18,,0.0,0.0,,0.01916138095238095,0.0934579439252,-2.10018162514,0.331775700935,-0.3489
dacarbazine,15,0,15,,0.0,0.0,,0.018756944444444444,0.0841121495327,-1.84294144507,0.31308411215,0.3347
dexrazoxane,18,0,18,,0.0,0.0,,0.018564333333333332,0.0747663551402,-0.836500577535,0.252336448598,0.4695
idelalisib,9,0,9,,0.0,0.0,,0.017706583333333335,0.0654205607477,-0.143937710522,0.177570093458,0.5326
dacomitinib,9,0,9,,0.0,0.0,,0.01770241666666667,0.0560747663551,0.00345675732464,0.303738317757,-0.3424
valrubicin,11,0,11,,0.0,0.0,,0.01631442857142857,0.0467289719626,-0.904327328642,0.224299065421,-0.0427
zoledronate,20,0,20,,0.0,0.0,,0.015039173913043479,0.0373831775701,-1.1734250837,0.0981308411215,1.6917
lenvatinib,18,0,18,,0.0,0.0,,0.014713857142857143,0.0280373831776,-1.07022722325,0.0747663551402,0.9829
trametinib,22,0,22,,0.0,0.0,,0.013884120000000002,0.018691588785,-0.542099443178,0.429906542056,-1.3912
binimetinib,23,0,23,,0.0,0.0,,0.013653115384615385,0.00934579439252,-0.722093622911,0.490654205607,-3.3689
abiraterone,39,0,39,,0.0,0.0,,0.01094192857142857,0.0,-0.795701915135,0.140186915888,0.6171
