drug_a,drug_b,intersection_n,union_n,jaccard,n_a,n_b,shared_genes
chlorambucil,neratinib,0,12,0.0,6,6,
chlorambucil,nilotinib,0,20,0.0,6,14,
chlorambucil,olaparib,0,7,0.0,6,1,
chlorambucil,osimertinib,0,8,0.0,6,2,
chlorambucil,paclitaxel,0,16,0.0,6,10,
chlorambucil,palbociclib,0,32,0.0,6,26,
chlorambucil,panobinostat,0,7,0.0,6,1,
chlorambucil,pemetrexed,0,8,0.0,6,2,
chlorambucil,pralatrexate,0,8,0.0,6,2,
chlorambucil,raloxifene,0,20,0.0,6,14,
chlorambucil,ribociclib,0,14,0.0,6,8,
chlorambucil,romidepsin,0,7,0.0,6,1,
chlorambucil,selinexor,0,9,0.0,6,3,
chlorambucil,selumetinib,0,33,0.0,6,27,
chlorambucil,sirolimus,0,8,0.0,6,2,
chlorambucil,sonidegib,0,10,0.0,6,4,
chlorambucil,sunitinib,0,9,0.0,6,3,
chlorambucil,tamoxifen,0,24,0.0,6,18,
chlorambucil,temsirolimus,0,7,0.0,6,1,
chlorambucil,tivozanib,0,7,0.0,6,1,
chlorambucil,trametinib,0,28,0.0,6,22,
chlorambucil,tucatinib,0,8,0.0,6,2,
chlorambucil,umbralisib,0,11,0.0,6,5,
chlorambucil,vandetanib,0,12,0.0,6,6,
chlorambucil,vemurafenib,0,28,0.0,6,22,
chlorambucil,venetoclax,0,11,0.0,6,5,
chlorambucil,vinblastine,0,15,0.0,6,9,
chlorambucil,vinorelbine,0,7,0.0,6,1,
chlorambucil,vorinostat,0,24,0.0,6,18,
chlorambucil,zoledronate,0,26,0.0,6,20,
cisplatin,cladribine,0,9,0.0,6,3,
cisplatin,clofarabine,0,8,0.0,6,2,
cisplatin,cobimetinib,0,35,0.0,6,29,
cisplatin,cyclophosphamide,0,22,0.0,6,16,
cisplatin,cytarabine,0,15,0.0,6,9,
cisplatin,dabrafenib,0,46,0.0,6,40,
cisplatin,dacarbazine,0,21,0.0,6,15,
cisplatin,dacomitinib,0,15,0.0,6,9,
cisplatin,darolutamide,0,14,0.0,6,8,
cisplatin,dasatinib,0,31,0.0,6,25,
cisplatin,daunorubicin,0,18,0.0,6,12,
cisplatin,decitabine,0,7,0.0,6,1,
cisplatin,dexrazoxane,0,24,0.0,6,18,
cisplatin,docetaxel,0,18,0.0,6,12,
cisplatin,doxorubicin,0,7,0.0,6,1,
cisplatin,duvelisib,0,12,0.0,6,6,
cisplatin,encorafenib,0,21,0.0,6,15,
cisplatin,epirubicin,0,10,0.0,6,4,
cisplatin,erdafitinib,0,16,0.0,6,10,
cisplatin,erlotinib,0,17,0.0,6,11,
cisplatin,estramustine,0,13,0.0,6,7,
cisplatin,etoposide,0,13,0.0,6,7,
cisplatin,everolimus,0,17,0.0,6,11,
cisplatin,fludarabine,0,10,0.0,6,4,
cisplatin,fluorouracil,0,18,0.0,6,12,
cisplatin,fruquintinib,0,37,0.0,6,31,
cisplatin,fulvestrant,0,8,0.0,6,2,
cisplatin,gilteritinib,0,7,0.0,6,1,
cisplatin,homoharringtonine,0,7,0.0,6,1,
cisplatin,hydroxyurea,0,13,0.0,6,7,
cisplatin,ibrutinib,0,19,0.0,6,13,
cisplatin,idelalisib,0,15,0.0,6,9,
cisplatin,irinotecan,0,17,0.0,6,11,
cisplatin,ixabepilone,0,17,0.0,6,11,
cisplatin,ixazomib,0,11,0.0,6,5,
cisplatin,lapatinib,0,7,0.0,6,1,
cisplatin,lenvatinib,0,24,0.0,6,18,
cisplatin,lorlatinib,0,8,0.0,6,2,
cisplatin,mercaptopurine,0,33,0.0,6,27,
cisplatin,methotrexate,0,33,0.0,6,27,
cisplatin,mitotane,0,7,0.0,6,1,
cisplatin,mitoxantrone,0,12,0.0,6,6,
cisplatin,neratinib,0,12,0.0,6,6,
cisplatin,olaparib,0,7,0.0,6,1,
cisplatin,osimertinib,0,8,0.0,6,2,
cisplatin,oxaliplatin,0,37,0.0,6,31,
cisplatin,paclitaxel,0,16,0.0,6,10,
cisplatin,palbociclib,0,32,0.0,6,26,
cisplatin,panobinostat,0,7,0.0,6,1,
cisplatin,pemetrexed,0,8,0.0,6,2,
cisplatin,pralatrexate,0,8,0.0,6,2,
cisplatin,ribociclib,0,14,0.0,6,8,
cisplatin,romidepsin,0,7,0.0,6,1,
cisplatin,selumetinib,0,33,0.0,6,27,
cisplatin,sirolimus,0,8,0.0,6,2,
cisplatin,sonidegib,0,10,0.0,6,4,
cisplatin,sunitinib,0,9,0.0,6,3,
cisplatin,tamoxifen,0,24,0.0,6,18,
cisplatin,temsirolimus,0,7,0.0,6,1,
cisplatin,teniposide,0,14,0.0,6,8,
cisplatin,tioguanine,0,22,0.0,6,16,
cisplatin,tivozanib,0,7,0.0,6,1,
cisplatin,trametinib,0,28,0.0,6,22,
cisplatin,trifluridine,0,12,0.0,6,6,
cisplatin,tucatinib,0,8,0.0,6,2,
cisplatin,umbralisib,0,11,0.0,6,5,
cisplatin,valrubicin,0,17,0.0,6,11,
cisplatin,vandetanib,0,12,0.0,6,6,
cisplatin,vemurafenib,0,28,0.0,6,22,
cisplatin,venetoclax,0,11,0.0,6,5,
cisplatin,vinblastine,0,15,0.0,6,9,
cisplatin,vinorelbine,0,7,0.0,6,1,
cisplatin,vorinostat,0,24,0.0,6,18,
cisplatin,zoledronate,0,26,0.0,6,20,
cladribine,clofarabine,0,5,0.0,3,2,
cladribine,cobimetinib,0,32,0.0,3,29,
cladribine,crizotinib,0,20,0.0,3,17,
cladribine,cyclophosphamide,0,19,0.0,3,16,
cladribine,dacarbazine,0,18,0.0,3,15,
cladribine,dacomitinib,0,12,0.0,3,9,
cladribine,darolutamide,0,11,0.0,3,8,
cladribine,dasatinib,0,28,0.0,3,25,
cladribine,daunorubicin,0,15,0.0,3,12,
cladribine,decitabine,0,4,0.0,3,1,
cladribine,dexrazoxane,0,21,0.0,3,18,
cladribine,docetaxel,0,15,0.0,3,12,
cladribine,doxorubicin,0,4,0.0,3,1,
cladribine,duvelisib,0,9,0.0,3,6,
cladribine,encorafenib,0,18,0.0,3,15,
cladribine,epirubicin,0,7,0.0,3,4,
cladribine,erdafitinib,0,13,0.0,3,10,
cladribine,erlotinib,0,14,0.0,3,11,
cladribine,estramustine,0,10,0.0,3,7,
cladribine,etoposide,0,10,0.0,3,7,
cladribine,everolimus,0,14,0.0,3,11,
cladribine,fludarabine,0,7,0.0,3,4,
cladribine,fluorouracil,0,15,0.0,3,12,
cladribine,fruquintinib,0,34,0.0,3,31,
cladribine,fulvestrant,0,5,0.0,3,2,
cladribine,gilteritinib,0,4,0.0,3,1,
cladribine,homoharringtonine,0,4,0.0,3,1,
cladribine,ibrutinib,0,16,0.0,3,13,
cladribine,idarubicin,0,14,0.0,3,11,
cladribine,idelalisib,0,12,0.0,3,9,
cladribine,imatinib,0,8,0.0,3,5,
cladribine,irinotecan,0,14,0.0,3,11,
cladribine,ixabepilone,0,14,0.0,3,11,
cladribine,ixazomib,0,8,0.0,3,5,
cladribine,lapatinib,0,4,0.0,3,1,
cladribine,lenvatinib,0,21,0.0,3,18,
cladribine,lomustine,0,30,0.0,3,27,
cladribine,lorlatinib,0,5,0.0,3,2,
cladribine,melphalan,0,9,0.0,3,6,
cladribine,mercaptopurine,0,30,0.0,3,27,
cladribine,methotrexate,0,30,0.0,3,27,
cladribine,mitomycin,0,15,0.0,3,12,
cladribine,mitotane,0,4,0.0,3,1,
cladribine,mitoxantrone,0,9,0.0,3,6,
cladribine,neratinib,0,9,0.0,3,6,
cladribine,nilotinib,0,17,0.0,3,14,
cladribine,olaparib,0,4,0.0,3,1,
cladribine,osimertinib,0,5,0.0,3,2,
cladribine,oxaliplatin,0,34,0.0,3,31,
cladribine,paclitaxel,0,13,0.0,3,10,
cladribine,palbociclib,0,29,0.0,3,26,
cladribine,panobinostat,0,4,0.0,3,1,
cladribine,pemetrexed,0,5,0.0,3,2,
cladribine,pralatrexate,0,5,0.0,3,2,
cladribine,raloxifene,0,17,0.0,3,14,
cladribine,ribociclib,0,11,0.0,3,8,
cladribine,romidepsin,0,4,0.0,3,1,
cladribine,selinexor,0,6,0.0,3,3,
cladribine,selumetinib,0,30,0.0,3,27,
cladribine,sirolimus,0,5,0.0,3,2,
cladribine,sonidegib,0,7,0.0,3,4,
cladribine,sunitinib,0,6,0.0,3,3,
cladribine,tamoxifen,0,21,0.0,3,18,
cladribine,temsirolimus,0,4,0.0,3,1,
cladribine,teniposide,0,11,0.0,3,8,
cladribine,tioguanine,0,19,0.0,3,16,
cladribine,tivozanib,0,4,0.0,3,1,
cladribine,topotecan,0,5,0.0,3,2,
cladribine,trametinib,0,25,0.0,3,22,
cladribine,tucatinib,0,5,0.0,3,2,
cladribine,umbralisib,0,8,0.0,3,5,
cladribine,valrubicin,0,14,0.0,3,11,
cladribine,vandetanib,0,9,0.0,3,6,
cladribine,vemurafenib,0,25,0.0,3,22,
cladribine,venetoclax,0,8,0.0,3,5,
cladribine,vinblastine,0,12,0.0,3,9,
cladribine,vinorelbine,0,4,0.0,3,1,
cladribine,vorinostat,0,21,0.0,3,18,
cladribine,zoledronate,0,23,0.0,3,20,
clofarabine,cobimetinib,0,31,0.0,2,29,
clofarabine,crizotinib,0,19,0.0,2,17,
clofarabine,cyclophosphamide,0,18,0.0,2,16,
clofarabine,dabrafenib,0,42,0.0,2,40,
clofarabine,dacarbazine,0,17,0.0,2,15,
clofarabine,dacomitinib,0,11,0.0,2,9,
clofarabine,darolutamide,0,10,0.0,2,8,
clofarabine,dasatinib,0,27,0.0,2,25,
clofarabine,daunorubicin,0,14,0.0,2,12,
clofarabine,decitabine,0,3,0.0,2,1,
clofarabine,dexrazoxane,0,20,0.0,2,18,
clofarabine,docetaxel,0,14,0.0,2,12,
clofarabine,doxorubicin,0,3,0.0,2,1,
clofarabine,duvelisib,0,8,0.0,2,6,
clofarabine,encorafenib,0,17,0.0,2,15,
clofarabine,epirubicin,0,6,0.0,2,4,
clofarabine,erdafitinib,0,12,0.0,2,10,
clofarabine,erlotinib,0,13,0.0,2,11,
clofarabine,estramustine,0,9,0.0,2,7,
clofarabine,etoposide,0,9,0.0,2,7,
clofarabine,everolimus,0,13,0.0,2,11,
clofarabine,fludarabine,0,6,0.0,2,4,
clofarabine,fluorouracil,0,14,0.0,2,12,
clofarabine,fruquintinib,0,33,0.0,2,31,
clofarabine,fulvestrant,0,4,0.0,2,2,
clofarabine,gilteritinib,0,3,0.0,2,1,
clofarabine,homoharringtonine,0,3,0.0,2,1,
clofarabine,hydroxyurea,0,9,0.0,2,7,
clofarabine,ibrutinib,0,15,0.0,2,13,
clofarabine,idarubicin,0,13,0.0,2,11,
clofarabine,idelalisib,0,11,0.0,2,9,
clofarabine,imatinib,0,7,0.0,2,5,
clofarabine,irinotecan,0,13,0.0,2,11,
clofarabine,ixabepilone,0,13,0.0,2,11,
clofarabine,ixazomib,0,7,0.0,2,5,
clofarabine,lapatinib,0,3,0.0,2,1,
clofarabine,lenvatinib,0,20,0.0,2,18,
clofarabine,lomustine,0,29,0.0,2,27,
clofarabine,lorlatinib,0,4,0.0,2,2,
clofarabine,melphalan,0,8,0.0,2,6,
clofarabine,mercaptopurine,0,29,0.0,2,27,
clofarabine,mitomycin,0,14,0.0,2,12,
clofarabine,mitotane,0,3,0.0,2,1,
clofarabine,mitoxantrone,0,8,0.0,2,6,
clofarabine,neratinib,0,8,0.0,2,6,
clofarabine,nilotinib,0,16,0.0,2,14,
clofarabine,olaparib,0,3,0.0,2,1,
clofarabine,osimertinib,0,4,0.0,2,2,
clofarabine,oxaliplatin,0,33,0.0,2,31,
clofarabine,paclitaxel,0,12,0.0,2,10,
clofarabine,palbociclib,0,28,0.0,2,26,
clofarabine,panobinostat,0,3,0.0,2,1,
clofarabine,pemetrexed,0,4,0.0,2,2,
clofarabine,pralatrexate,0,4,0.0,2,2,
clofarabine,raloxifene,0,16,0.0,2,14,
clofarabine,ribociclib,0,10,0.0,2,8,
clofarabine,romidepsin,0,3,0.0,2,1,
clofarabine,selinexor,0,5,0.0,2,3,
clofarabine,selumetinib,0,29,0.0,2,27,
clofarabine,sirolimus,0,4,0.0,2,2,
clofarabine,sonidegib,0,6,0.0,2,4,
clofarabine,sunitinib,0,5,0.0,2,3,
clofarabine,tamoxifen,0,20,0.0,2,18,
clofarabine,temsirolimus,0,3,0.0,2,1,
clofarabine,teniposide,0,10,0.0,2,8,
clofarabine,thiotepa,0,5,0.0,2,3,
clofarabine,tioguanine,0,18,0.0,2,16,
clofarabine,tivozanib,0,3,0.0,2,1,
clofarabine,topotecan,0,4,0.0,2,2,
clofarabine,trametinib,0,24,0.0,2,22,
clofarabine,trifluridine,0,8,0.0,2,6,
clofarabine,tucatinib,0,4,0.0,2,2,
clofarabine,umbralisib,0,7,0.0,2,5,
clofarabine,valrubicin,0,13,0.0,2,11,
clofarabine,vandetanib,0,8,0.0,2,6,
clofarabine,vemurafenib,0,24,0.0,2,22,
clofarabine,venetoclax,0,7,0.0,2,5,
clofarabine,vinblastine,0,11,0.0,2,9,
clofarabine,vinorelbine,0,3,0.0,2,1,
clofarabine,vorinostat,0,20,0.0,2,18,
clofarabine,zoledronate,0,22,0.0,2,20,
cobimetinib,cyclophosphamide,0,45,0.0,29,16,
cobimetinib,cytarabine,0,38,0.0,29,9,
cobimetinib,dacomitinib,0,38,0.0,29,9,
cobimetinib,darolutamide,0,37,0.0,29,8,
cobimetinib,dasatinib,0,54,0.0,29,25,
cobimetinib,daunorubicin,0,41,0.0,29,12,
cobimetinib,decitabine,0,30,0.0,29,1,
cobimetinib,dexrazoxane,0,47,0.0,29,18,
cobimetinib,docetaxel,0,41,0.0,29,12,
cobimetinib,doxorubicin,0,30,0.0,29,1,
cobimetinib,duvelisib,0,35,0.0,29,6,
cobimetinib,epirubicin,0,33,0.0,29,4,
cobimetinib,erdafitinib,0,39,0.0,29,10,
cobimetinib,erlotinib,0,40,0.0,29,11,
cobimetinib,etoposide,0,36,0.0,29,7,
cobimetinib,everolimus,0,40,0.0,29,11,
cobimetinib,fludarabine,0,33,0.0,29,4,
cobimetinib,fluorouracil,0,41,0.0,29,12,
cobimetinib,fruquintinib,0,60,0.0,29,31,
cobimetinib,fulvestrant,0,31,0.0,29,2,
cobimetinib,gemcitabine,0,33,0.0,29,4,
cobimetinib,gilteritinib,0,30,0.0,29,1,
cobimetinib,homoharringtonine,0,30,0.0,29,1,
cobimetinib,hydroxyurea,0,36,0.0,29,7,
cobimetinib,ibrutinib,0,42,0.0,29,13,
cobimetinib,idarubicin,0,40,0.0,29,11,
cobimetinib,idelalisib,0,38,0.0,29,9,
cobimetinib,irinotecan,0,40,0.0,29,11,
cobimetinib,lapatinib,0,30,0.0,29,1,
cobimetinib,lenvatinib,0,47,0.0,29,18,
cobimetinib,lorlatinib,0,31,0.0,29,2,
cobimetinib,melphalan,0,35,0.0,29,6,
cobimetinib,mitomycin,0,41,0.0,29,12,
cobimetinib,mitotane,0,30,0.0,29,1,
cobimetinib,mitoxantrone,0,35,0.0,29,6,
cobimetinib,neratinib,0,35,0.0,29,6,
cobimetinib,olaparib,0,30,0.0,29,1,
cobimetinib,osimertinib,0,31,0.0,29,2,
cobimetinib,panobinostat,0,30,0.0,29,1,
cobimetinib,pemetrexed,0,31,0.0,29,2,
cobimetinib,pralatrexate,0,31,0.0,29,2,
cobimetinib,ribociclib,0,37,0.0,29,8,
cobimetinib,romidepsin,0,30,0.0,29,1,
cobimetinib,selinexor,0,32,0.0,29,3,
cobimetinib,sirolimus,0,31,0.0,29,2,
cobimetinib,sonidegib,0,33,0.0,29,4,
cobimetinib,temsirolimus,0,30,0.0,29,1,
cobimetinib,teniposide,0,37,0.0,29,8,
cobimetinib,thiotepa,0,32,0.0,29,3,
cobimetinib,tivozanib,0,30,0.0,29,1,
cobimetinib,topotecan,0,31,0.0,29,2,
cobimetinib,trifluridine,0,35,0.0,29,6,
cobimetinib,tucatinib,0,31,0.0,29,2,
cobimetinib,umbralisib,0,34,0.0,29,5,
cobimetinib,valrubicin,0,40,0.0,29,11,
cobimetinib,vandetanib,0,35,0.0,29,6,
cobimetinib,vinorelbine,0,30,0.0,29,1,
cobimetinib,zoledronate,0,49,0.0,29,20,
crizotinib,cyclophosphamide,0,33,0.0,17,16,
crizotinib,cytarabine,0,26,0.0,17,9,
crizotinib,dacomitinib,0,26,0.0,17,9,
crizotinib,dasatinib,0,42,0.0,17,25,
crizotinib,decitabine,0,18,0.0,17,1,
crizotinib,duvelisib,0,23,0.0,17,6,
crizotinib,epirubicin,0,21,0.0,17,4,
crizotinib,erdafitinib,0,27,0.0,17,10,
crizotinib,erlotinib,0,28,0.0,17,11,
crizotinib,estramustine,0,24,0.0,17,7,
crizotinib,everolimus,0,28,0.0,17,11,
crizotinib,fludarabine,0,21,0.0,17,4,
crizotinib,fluorouracil,0,29,0.0,17,12,
crizotinib,fruquintinib,0,48,0.0,17,31,
crizotinib,fulvestrant,0,19,0.0,17,2,
crizotinib,gemcitabine,0,21,0.0,17,4,
crizotinib,gilteritinib,0,18,0.0,17,1,
crizotinib,homoharringtonine,0,18,0.0,17,1,
crizotinib,hydroxyurea,0,24,0.0,17,7,
crizotinib,ibrutinib,0,30,0.0,17,13,
crizotinib,idelalisib,0,26,0.0,17,9,
crizotinib,irinotecan,0,28,0.0,17,11,
crizotinib,ixazomib,0,22,0.0,17,5,
crizotinib,lapatinib,0,18,0.0,17,1,
crizotinib,lenvatinib,0,35,0.0,17,18,
crizotinib,lorlatinib,0,19,0.0,17,2,
crizotinib,melphalan,0,23,0.0,17,6,
crizotinib,mitotane,0,18,0.0,17,1,
crizotinib,mitoxantrone,0,23,0.0,17,6,
crizotinib,neratinib,0,23,0.0,17,6,
crizotinib,olaparib,0,18,0.0,17,1,
crizotinib,osimertinib,0,19,0.0,17,2,
crizotinib,panobinostat,0,18,0.0,17,1,
crizotinib,pemetrexed,0,19,0.0,17,2,
crizotinib,pralatrexate,0,19,0.0,17,2,
crizotinib,romidepsin,0,18,0.0,17,1,
crizotinib,sirolimus,0,19,0.0,17,2,
crizotinib,sonidegib,0,21,0.0,17,4,
crizotinib,sunitinib,0,20,0.0,17,3,
crizotinib,temsirolimus,0,18,0.0,17,1,
crizotinib,teniposide,0,25,0.0,17,8,
crizotinib,thiotepa,0,20,0.0,17,3,
crizotinib,tivozanib,0,18,0.0,17,1,
crizotinib,topotecan,0,19,0.0,17,2,
crizotinib,trifluridine,0,23,0.0,17,6,
crizotinib,tucatinib,0,19,0.0,17,2,
crizotinib,umbralisib,0,22,0.0,17,5,
crizotinib,valrubicin,0,28,0.0,17,11,
crizotinib,vandetanib,0,23,0.0,17,6,
crizotinib,vinorelbine,0,18,0.0,17,1,
crizotinib,zoledronate,0,37,0.0,17,20,
cyclophosphamide,dabrafenib,0,56,0.0,16,40,
cyclophosphamide,dacomitinib,0,25,0.0,16,9,
cyclophosphamide,dasatinib,0,41,0.0,16,25,
cyclophosphamide,decitabine,0,17,0.0,16,1,
cyclophosphamide,dexrazoxane,0,34,0.0,16,18,
cyclophosphamide,doxorubicin,0,17,0.0,16,1,
cyclophosphamide,duvelisib,0,22,0.0,16,6,
cyclophosphamide,encorafenib,0,31,0.0,16,15,
cyclophosphamide,erdafitinib,0,26,0.0,16,10,
cyclophosphamide,erlotinib,0,27,0.0,16,11,
cyclophosphamide,estramustine,0,23,0.0,16,7,
cyclophosphamide,everolimus,0,27,0.0,16,11,
cyclophosphamide,fludarabine,0,20,0.0,16,4,
cyclophosphamide,fruquintinib,0,47,0.0,16,31,
cyclophosphamide,gilteritinib,0,17,0.0,16,1,
cyclophosphamide,homoharringtonine,0,17,0.0,16,1,
cyclophosphamide,ibrutinib,0,29,0.0,16,13,
cyclophosphamide,idarubicin,0,27,0.0,16,11,
cyclophosphamide,idelalisib,0,25,0.0,16,9,
cyclophosphamide,imatinib,0,21,0.0,16,5,
cyclophosphamide,ixazomib,0,21,0.0,16,5,
cyclophosphamide,lapatinib,0,17,0.0,16,1,
cyclophosphamide,lenvatinib,0,34,0.0,16,18,
cyclophosphamide,lorlatinib,0,18,0.0,16,2,
cyclophosphamide,melphalan,0,22,0.0,16,6,
cyclophosphamide,mitomycin,0,28,0.0,16,12,
cyclophosphamide,mitotane,0,17,0.0,16,1,
cyclophosphamide,neratinib,0,22,0.0,16,6,
cyclophosphamide,nilotinib,0,30,0.0,16,14,
cyclophosphamide,olaparib,0,17,0.0,16,1,
cyclophosphamide,osimertinib,0,18,0.0,16,2,
cyclophosphamide,panobinostat,0,17,0.0,16,1,
cyclophosphamide,ribociclib,0,24,0.0,16,8,
cyclophosphamide,romidepsin,0,17,0.0,16,1,
cyclophosphamide,selinexor,0,19,0.0,16,3,
cyclophosphamide,selumetinib,0,43,0.0,16,27,
cyclophosphamide,sirolimus,0,18,0.0,16,2,
cyclophosphamide,sonidegib,0,20,0.0,16,4,
cyclophosphamide,sunitinib,0,19,0.0,16,3,
cyclophosphamide,tamoxifen,0,34,0.0,16,18,
cyclophosphamide,temsirolimus,0,17,0.0,16,1,
cyclophosphamide,thiotepa,0,19,0.0,16,3,
cyclophosphamide,tivozanib,0,17,0.0,16,1,
cyclophosphamide,topotecan,0,18,0.0,16,2,
cyclophosphamide,trametinib,0,38,0.0,16,22,
cyclophosphamide,tucatinib,0,18,0.0,16,2,
cyclophosphamide,umbralisib,0,21,0.0,16,5,
cyclophosphamide,vandetanib,0,22,0.0,16,6,
cyclophosphamide,vemurafenib,0,38,0.0,16,22,
cyclophosphamide,vinblastine,0,25,0.0,16,9,
cyclophosphamide,vinorelbine,0,17,0.0,16,1,
cyclophosphamide,zoledronate,0,36,0.0,16,20,
cytarabine,dabrafenib,0,49,0.0,9,40,
cytarabine,dacarbazine,0,24,0.0,9,15,
cytarabine,dacomitinib,0,18,0.0,9,9,
cytarabine,darolutamide,0,17,0.0,9,8,
cytarabine,dasatinib,0,34,0.0,9,25,
cytarabine,decitabine,0,10,0.0,9,1,
cytarabine,doxorubicin,0,10,0.0,9,1,
cytarabine,duvelisib,0,15,0.0,9,6,
cytarabine,encorafenib,0,24,0.0,9,15,
cytarabine,erdafitinib,0,19,0.0,9,10,
cytarabine,erlotinib,0,20,0.0,9,11,
cytarabine,estramustine,0,16,0.0,9,7,
cytarabine,everolimus,0,20,0.0,9,11,
cytarabine,fludarabine,0,13,0.0,9,4,
cytarabine,fruquintinib,0,40,0.0,9,31,
cytarabine,fulvestrant,0,11,0.0,9,2,
cytarabine,gilteritinib,0,10,0.0,9,1,
cytarabine,homoharringtonine,0,10,0.0,9,1,
cytarabine,ibrutinib,0,22,0.0,9,13,
cytarabine,idelalisib,0,18,0.0,9,9,
cytarabine,imatinib,0,14,0.0,9,5,
cytarabine,ixabepilone,0,20,0.0,9,11,
cytarabine,ixazomib,0,14,0.0,9,5,
cytarabine,lapatinib,0,10,0.0,9,1,
cytarabine,lenvatinib,0,27,0.0,9,18,
cytarabine,lomustine,0,36,0.0,9,27,
cytarabine,lorlatinib,0,11,0.0,9,2,
cytarabine,mitotane,0,10,0.0,9,1,
cytarabine,neratinib,0,15,0.0,9,6,
cytarabine,nilotinib,0,23,0.0,9,14,
cytarabine,olaparib,0,10,0.0,9,1,
cytarabine,osimertinib,0,11,0.0,9,2,
cytarabine,palbociclib,0,35,0.0,9,26,
cytarabine,panobinostat,0,10,0.0,9,1,
cytarabine,raloxifene,0,23,0.0,9,14,
cytarabine,ribociclib,0,17,0.0,9,8,
cytarabine,romidepsin,0,10,0.0,9,1,
cytarabine,selinexor,0,12,0.0,9,3,
cytarabine,selumetinib,0,36,0.0,9,27,
cytarabine,sirolimus,0,11,0.0,9,2,
cytarabine,sonidegib,0,13,0.0,9,4,
cytarabine,sunitinib,0,12,0.0,9,3,
cytarabine,tamoxifen,0,27,0.0,9,18,
cytarabine,temsirolimus,0,10,0.0,9,1,
cytarabine,tivozanib,0,10,0.0,9,1,
cytarabine,trametinib,0,31,0.0,9,22,
cytarabine,tucatinib,0,11,0.0,9,2,
cytarabine,umbralisib,0,14,0.0,9,5,
cytarabine,vandetanib,0,15,0.0,9,6,
cytarabine,vemurafenib,0,31,0.0,9,22,
cytarabine,venetoclax,0,14,0.0,9,5,
cytarabine,vinblastine,0,18,0.0,9,9,
cytarabine,vinorelbine,0,10,0.0,9,1,
cytarabine,vorinostat,0,27,0.0,9,18,
cytarabine,zoledronate,0,29,0.0,9,20,
dabrafenib,dacomitinib,0,49,0.0,40,9,
dabrafenib,darolutamide,0,48,0.0,40,8,
dabrafenib,dasatinib,0,65,0.0,40,25,
dabrafenib,daunorubicin,0,52,0.0,40,12,
dabrafenib,decitabine,0,41,0.0,40,1,
dabrafenib,dexrazoxane,0,58,0.0,40,18,
dabrafenib,docetaxel,0,52,0.0,40,12,
dabrafenib,doxorubicin,0,41,0.0,40,1,
dabrafenib,duvelisib,0,46,0.0,40,6,
dabrafenib,epirubicin,0,44,0.0,40,4,
dabrafenib,erdafitinib,0,50,0.0,40,10,
dabrafenib,erlotinib,0,51,0.0,40,11,
dabrafenib,etoposide,0,47,0.0,40,7,
dabrafenib,everolimus,0,51,0.0,40,11,
dabrafenib,fludarabine,0,44,0.0,40,4,
dabrafenib,fruquintinib,0,71,0.0,40,31,
dabrafenib,fulvestrant,0,42,0.0,40,2,
dabrafenib,gemcitabine,0,44,0.0,40,4,
dabrafenib,gilteritinib,0,41,0.0,40,1,
dabrafenib,homoharringtonine,0,41,0.0,40,1,
dabrafenib,hydroxyurea,0,47,0.0,40,7,
dabrafenib,ibrutinib,0,53,0.0,40,13,
dabrafenib,idarubicin,0,51,0.0,40,11,
dabrafenib,idelalisib,0,49,0.0,40,9,
dabrafenib,irinotecan,0,51,0.0,40,11,
dabrafenib,lapatinib,0,41,0.0,40,1,
dabrafenib,lenvatinib,0,58,0.0,40,18,
dabrafenib,lomustine,0,67,0.0,40,27,
dabrafenib,lorlatinib,0,42,0.0,40,2,
dabrafenib,melphalan,0,46,0.0,40,6,
dabrafenib,mitomycin,0,52,0.0,40,12,
dabrafenib,mitotane,0,41,0.0,40,1,
dabrafenib,mitoxantrone,0,46,0.0,40,6,
dabrafenib,neratinib,0,46,0.0,40,6,
dabrafenib,olaparib,0,41,0.0,40,1,
dabrafenib,osimertinib,0,42,0.0,40,2,
dabrafenib,panobinostat,0,41,0.0,40,1,
dabrafenib,pemetrexed,0,42,0.0,40,2,
dabrafenib,pralatrexate,0,42,0.0,40,2,
dabrafenib,ribociclib,0,48,0.0,40,8,
dabrafenib,romidepsin,0,41,0.0,40,1,
dabrafenib,selinexor,0,43,0.0,40,3,
dabrafenib,sirolimus,0,42,0.0,40,2,
dabrafenib,sonidegib,0,44,0.0,40,4,
dabrafenib,temsirolimus,0,41,0.0,40,1,
dabrafenib,teniposide,0,48,0.0,40,8,
dabrafenib,thiotepa,0,43,0.0,40,3,
dabrafenib,tioguanine,0,56,0.0,40,16,
dabrafenib,tivozanib,0,41,0.0,40,1,
dabrafenib,topotecan,0,42,0.0,40,2,
dabrafenib,trifluridine,0,46,0.0,40,6,
dabrafenib,tucatinib,0,42,0.0,40,2,
dabrafenib,umbralisib,0,45,0.0,40,5,
dabrafenib,valrubicin,0,51,0.0,40,11,
dabrafenib,vandetanib,0,46,0.0,40,6,
dabrafenib,zoledronate,0,60,0.0,40,20,
dacarbazine,dacomitinib,0,24,0.0,15,9,
dacarbazine,dasatinib,0,40,0.0,15,25,
dacarbazine,daunorubicin,0,27,0.0,15,12,
dacarbazine,decitabine,0,16,0.0,15,1,
dacarbazine,dexrazoxane,0,33,0.0,15,18,
dacarbazine,docetaxel,0,27,0.0,15,12,
dacarbazine,doxorubicin,0,16,0.0,15,1,
