rank,drug,n_targets,ADRS_v3,C_ACC_pct,S_ACCselective_pct,S_Bneighbor_pct,S_external,ext_tier,ext_direction,activity_known,Primary_MOA,ADRS_v2_computational
91,Triethylenemelamine,3,0.424,0.410,,0.387,0.50,,,0,,92
92,Temsirolimus,1,0.417,0.501,0.234,0.549,0.50,preclinical_mixed,neutral,1,mTOR Inhibitor,88
93,Lorlatinib,2,0.413,0.417,0.327,0.492,0.50,,,1,ROS1/ALK Inhibitor,93
94,Oxaliplatin,31,0.412,0.794,0.019,0.462,0.50,,,1,DNA Alkylating Agent,91
95,Trifluridine,6,0.407,0.808,0.056,0.352,0.50,,,1,thymidylate synthase Inhibitor,95
96,Gilteritinib,1,0.406,0.466,0.299,0.432,0.50,,,1,,96
97,Methotrexate,27,0.403,0.837,0.000,0.386,0.50,,,1,Dihydrofolate Reductase (DHFR) Inhibitor,97
98,Thiotepa,3,0.391,0.424,0.271,0.470,0.50,,,1,Cytochrome P450 Oxidase Inhibitor,98
99,Ifosfamide,17,0.382,0.118,,0.691,0.50,,,0,,102
100,Vinblastine,9,0.379,0.231,0.196,0.829,0.50,,,1,Tubulin polymerization inhibitor,99
101,Pralatrexate,2,0.379,0.750,0.028,0.344,0.50,,,1,Dihydrofolate Reductase (DHFR) Inhibitors,101
102,Teniposide,8,0.374,0.471,0.037,0.723,0.50,,,1,DNA Topoisomerase II Inhibitor,100
103,Uracil mustard,5,0.369,0.189,,0.541,0.50,,,0,,107
104,Clofarabine,2,0.366,0.571,0.187,0.270,0.50,,,1,DNA Polymerase Inhibitor,105
105,Sonidegib,4,0.363,0.324,0.084,0.806,0.50,,,1,Smo Receptor Antagonist,103
106,Vemurafenib,22,0.360,0.221,0.206,0.733,0.50,,,1,Raf kinase B Inhibitor,104
107,Mitoxantrone,6,0.358,0.284,0.262,0.531,0.50,,,1,DNA Topoisomerase II Inhibitor,106
108,Selpercatinib,37,0.347,0.396,,0.158,0.50,,,0,,111
109,Cisplatin,6,0.345,0.149,0.103,0.795,0.70,clinical_firstline_modest,positive,1,DNA Alkylating Agent,112
110,Vinorelbine,1,0.338,0.499,0.131,0.339,0.50,,,1,,108
111,Fludarabine,4,0.337,0.226,0.449,0.183,0.50,,,1,Purine Antagonist,109
112,Valrubicin,11,0.332,0.111,0.402,0.417,0.50,,,1,DNA Topoisomerase II Inhibitor,110
113,Sotorasib,4,0.325,0.270,,0.276,0.50,,,0,,115
114,Nitrogen mustard,16,0.323,0.077,,0.558,0.50,,,0,,114
115,Cladribine,3,0.313,0.561,0.065,0.234,0.50,,,1,Adenosine Deaminase Inhibitor,113
116,Pemigatinib,10,0.301,0.300,,0.152,0.50,,,0,,118
117,Idelalisib,9,0.289,0.098,0.290,0.413,0.50,,,1,PI3Kdelta Inhibitor,116
118,umbralisib,5,0.280,0.305,0.150,0.307,0.50,,,1,Casein Kinase 1 Inhibitor,117
119,Bleomycin,16,0.272,0.424,0.075,0.216,0.50,,,1,glycopeptide antibiotic,119
120,Pralsetinib,59,0.235,0.111,,0.223,0.50,,,0,,120
121,Abiraterone,39,0.209,0.040,0.280,0.118,0.50,,,1,Androgen Biosynthesis Inhibitor,121
122,Zoledronate,20,0.202,0.178,0.159,0.090,0.50,,,1,Farnesyl Pyrophosphate Synthase Inhibitor,122
123,Fruquintinib,31,0.199,0.130,0.168,0.130,0.50,,,1,VEGFR-1/2/3 Inhibitor,123
124,Lenvatinib,18,0.185,0.123,0.121,0.116,0.55,class_rationale,positive,1,VEGFR-1/2/3 Inhibitor,124
