drugA,drugB,B_ACC
Carmustine,Crizotinib,0.361422
Lomustine,Tamoxifen,0.361223
Abiraterone,Pralsetinib,0.361181
Paclitaxel,Pemetrexed,0.360707
Daunorubicin,Methotrexate,0.360431
Carmustine,Raloxifene,0.358822
Ceritinib,Palbociclib,0.356211
Docetaxel,Lomustine,0.355404
Imatinib,Oxaliplatin,0.354765
Hydroxyurea,Trifluridine,0.354436
Binimetinib,Vemurafenib,0.352370
Daunorubicin,Nitrogen mustard,0.350595
Everolimus,Selpercatinib,0.350490
Docetaxel,Pemetrexed,0.350431
Fluorouracil,Pemetrexed,0.348824
Hydroxyurea,Pralatrexate,0.348682
Selumetinib,Venetoclax,0.348634
Brigatinib,Dasatinib,0.348434
Avapritinib,Ribociclib,0.347750
Dabrafenib,Ixazomib,0.347705
Abemaciclib,Sirolimus,0.346967
Melphalan,Nitrogen mustard,0.345439
Imatinib,Lomustine,0.344960
Cobimetinib,Venetoclax,0.344706
Mitomycin,Trifluridine,0.344417
Selpercatinib,Zoledronate,0.342691
Cladribine,Thiotepa,0.342099
Cladribine,Triethylenemelamine,0.341611
Carmustine,Imatinib,0.340855
Belinostat,Fedratinib,0.340581
Daunorubicin,Valrubicin,0.337778
Cyclophosphamide,Pemetrexed,0.337543
Methotrexate,Mitomycin,0.337124
Palbociclib,Ribociclib,0.336567
Neratinib,Osimertinib,0.336319
Actinomycin D,Tamoxifen,0.335549
Pemetrexed,Tioguanine,0.335303
Chlorambucil,Ifosfamide,0.334929
Nilotinib,Tamoxifen,0.334239
Etoposide,Uracil mustard,0.333745
Cyclophosphamide,Hydroxyurea,0.333311
Cisplatin,Topotecan,0.332448
Pralsetinib,Zoledronate,0.332051
Mitoxantrone,Topotecan,0.331946
Pralsetinib,Zanubrutinib,0.331501
Cisplatin,Melphalan,0.331332
Chlorambucil,Cisplatin,0.331213
Irinotecan,Methotrexate,0.330931
Chlorambucil,Mitoxantrone,0.330774
Duvelisib,Vandetanib,0.330588
Dabrafenib,Venetoclax,0.330138
Estramustine,Talazoparib,0.328665
Tucatinib,Vandetanib,0.328069
Duvelisib,Tucatinib,0.327675
Crizotinib,tepotinib,0.327587
Abiraterone,Lenvatinib,0.326389
Selumetinib,Vemurafenib,0.326009
Topotecan,Trifluridine,0.325940
Cytarabine,Pralatrexate,0.325195
Lomustine,Paclitaxel,0.324715
Nitrogen mustard,Oxaliplatin,0.324647
Avapritinib,Ixabepilone,0.324331
Erdafitinib,Fruquintinib,0.324193
Teniposide,Uracil mustard,0.323473
Dexrazoxane,Palbociclib,0.322615
Avapritinib,Fluorouracil,0.320661
Cytarabine,Irinotecan,0.320477
Allopurinol,Fludarabine,0.319803
Mercaptopurine,Pemetrexed,0.319506
Paclitaxel,Pralatrexate,0.319475
Irinotecan,Oxaliplatin,0.319064
Gemcitabine,Methotrexate,0.316532
Oxaliplatin,Pemetrexed,0.316218
Etoposide,Topotecan,0.316129
Irinotecan,Pralatrexate,0.315727
Cobimetinib,Vemurafenib,0.315497
Pemigatinib,Selpercatinib,0.315111
Brigatinib,Selpercatinib,0.314351
Arsenic trioxide,Cisplatin,0.314031
Carboplatin,Cyclophosphamide,0.312597
Hydroxyurea,Talazoparib,0.312128
Etoposide,Talazoparib,0.311826
Dacomitinib,Osimertinib,0.311633
Teniposide,Topotecan,0.311045
Afatinib,Tucatinib,0.309665
Fedratinib,Ribociclib,0.309224
Docetaxel,Pralatrexate,0.309199
Clofarabine,Cytarabine,0.308702
Daunorubicin,Pralatrexate,0.308362
Idelalisib,Sirolimus,0.308357
Dabrafenib,Vemurafenib,0.308308
Avapritinib,Duvelisib,0.308180
Fluorouracil,Pralatrexate,0.307592
Avapritinib,Vorinostat,0.307448
Pipobroman,Thiotepa,0.307367
Pipobroman,Triethylenemelamine,0.306905
Celecoxib,Hydroxyurea,0.306701
Talazoparib,Teniposide,0.306692
Carmustine,Tamoxifen,0.306589
Celecoxib,Etoposide,0.306398
Erdafitinib,Lenvatinib,0.304985
Melphalan,Methotrexate,0.303917
Cytarabine,Methotrexate,0.303628
Hydroxyurea,Pipobroman,0.303054
Pemigatinib,Sirolimus,0.302930
Cytarabine,Mitomycin,0.302471
Avapritinib,Trilaciclib,0.302225
Dacarbazine,Mercaptopurine,0.302020
Abiraterone,Zoledronate,0.301852
Cyclophosphamide,Valrubicin,0.301427
Celecoxib,Teniposide,0.301265
Cytarabine,Topotecan,0.300094
Tucatinib,Zanubrutinib,0.299794
Osimertinib,Zanubrutinib,0.299507
Erlotinib,Osimertinib,0.299414
Chlorambucil,Etoposide,0.298822
Etoposide,Mitoxantrone,0.298469
Nitrogen mustard,Palbociclib,0.298326
Everolimus,Sirolimus,0.298303
Allopurinol,Pralatrexate,0.297062
Irinotecan,Nitrogen mustard,0.297039
Avapritinib,Palbociclib,0.296935
Cyclophosphamide,Pralatrexate,0.296311
Avapritinib,Methotrexate,0.295594
Lomustine,Vinblastine,0.295419
Topotecan,Valrubicin,0.295057
Erdafitinib,Sirolimus,0.294790
Carfilzomib,Lomustine,0.293745
Irinotecan,Topotecan,0.293509
Idarubicin,Topotecan,0.293236
Avapritinib,Oxaliplatin,0.292896
Ibrutinib,Osimertinib,0.292630
Melphalan,Teniposide,0.292036
Allopurinol,Mercaptopurine,0.291768
Daunorubicin,Oxaliplatin,0.291599
Mercaptopurine,Paclitaxel,0.291237
Erdafitinib,Ibrutinib,0.290908
Talazoparib,Valrubicin,0.290552
Ceritinib,Imatinib,0.289812
Hydroxyurea,Mercaptopurine,0.288694
Chlorambucil,Teniposide,0.288550
Daunorubicin,Topotecan,0.288388
Mitomycin,Topotecan,0.288259
Mitoxantrone,Teniposide,0.288197
Ceritinib,Fedratinib,0.288108
Idarubicin,Uracil mustard,0.287674
Gemcitabine,Triethylenemelamine,0.287427
Mercaptopurine,Methotrexate,0.287188
Etoposide,Ifosfamide,0.286860
Methotrexate,Tioguanine,0.286837
Fluorouracil,Ixabepilone,0.286274
Oxaliplatin,Paclitaxel,0.286174
Cladribine,Gemcitabine,0.285585
Ibrutinib,Pralsetinib,0.285344
Fruquintinib,Zoledronate,0.285314
Celecoxib,Valrubicin,0.285124
Irinotecan,Uracil mustard,0.284880
Actinomycin D,Vinblastine,0.284494
Allopurinol,Tioguanine,0.283852
Nitrogen mustard,Topotecan,0.280936
Cyclophosphamide,Darolutamide,0.280619
Fedratinib,Nitrogen mustard,0.280190
Ceritinib,Dexrazoxane,0.280086
Tamoxifen,Vorinostat,0.279614
Avapritinib,Idelalisib,0.279469
Ifosfamide,Topotecan,0.279183
Bleomycin,Sirolimus,0.278506
Ceritinib,Crizotinib,0.278078
Idelalisib,Vandetanib,0.277665
Crizotinib,Fedratinib,0.277383
Bleomycin,Lorlatinib,0.277185
Dexrazoxane,Topotecan,0.277069
Celecoxib,Oxaliplatin,0.276644
Dexrazoxane,Fedratinib,0.276324
Dasatinib,Erlotinib,0.275966
Actinomycin D,Ifosfamide,0.275787
Fluorouracil,Nitrogen mustard,0.275387
Cyclophosphamide,Talazoparib,0.275357
Afatinib,Ibrutinib,0.274982
