drugA,drugB,B_ACC
Hydroxyurea,Pralatrexate,0.473674
Etoposide,Idarubicin,0.473500
Erlotinib,Zanubrutinib,0.473350
Daunorubicin,Trifluridine,0.470146
Encorafenib,Selumetinib,0.469765
Cyclophosphamide,Hydroxyurea,0.469584
Oxaliplatin,Pemetrexed,0.468499
Fludarabine,umbralisib,0.467444
Cyclophosphamide,Pipobroman,0.465519
Carfilzomib,Vinblastine,0.464025
Methotrexate,Tioguanine,0.463226
Idarubicin,Mitomycin,0.461589
Fluorouracil,Pipobroman,0.460766
Dabrafenib,Selumetinib,0.458120
Daunorubicin,Mitomycin,0.456816
Thiotepa,Trifluridine,0.455586
Uracil mustard,Valrubicin,0.454954
Cobimetinib,Encorafenib,0.454109
Brigatinib,Dasatinib,0.453947
Binimetinib,Encorafenib,0.451465
Methotrexate,Trifluridine,0.450326
Abiraterone,Fruquintinib,0.450004
Fruquintinib,Selpercatinib,0.448483
Mitoxantrone,Triethylenemelamine,0.448061
Triethylenemelamine,Trifluridine,0.447687
Hydroxyurea,Irinotecan,0.447135
Chlorambucil,Melphalan,0.446563
Palbociclib,Sunitinib,0.445345
Avapritinib,Ixabepilone,0.443684
Cobimetinib,Dabrafenib,0.443517
Avapritinib,Vorinostat,0.443312
Avapritinib,Fluorouracil,0.441525
Melphalan,Thiotepa,0.440896
Chlorambucil,Thiotepa,0.439955
Gemcitabine,Irinotecan,0.439151
Ifosfamide,Lomustine,0.438851
Idarubicin,Nitrogen mustard,0.438258
Nilotinib,Tamoxifen,0.436752
Cytarabine,Epirubicin,0.435011
Pipobroman,Tioguanine,0.433947
Ribociclib,Sunitinib,0.433555
Gemcitabine,Methotrexate,0.433226
Encorafenib,Trametinib,0.431434
Mercaptopurine,Methotrexate,0.430571
Carboplatin,Cisplatin,0.430064
Imatinib,Vorinostat,0.429862
Erdafitinib,Ibrutinib,0.428802
Oxaliplatin,Tioguanine,0.428675
Avapritinib,Trilaciclib,0.426455
Irinotecan,Pralatrexate,0.422233
Imatinib,Tamoxifen,0.422012
Etoposide,Mitomycin,0.420128
Bleomycin,Selpercatinib,0.419317
Dabrafenib,Trametinib,0.419250
Gemcitabine,Paclitaxel,0.418242
Avapritinib,Palbociclib,0.417233
Cytarabine,Irinotecan,0.415854
Erlotinib,Pralsetinib,0.415551
Cytarabine,Thiotepa,0.415260
Epirubicin,Mitomycin,0.411310
Mercaptopurine,Pipobroman,0.410325
Avapritinib,Methotrexate,0.410013
Daunorubicin,Hydroxyurea,0.406837
Tioguanine,Trifluridine,0.406486
Avapritinib,Oxaliplatin,0.405839
Bleomycin,Pralsetinib,0.405007
Docetaxel,Gemcitabine,0.404247
Cladribine,Thiotepa,0.402628
Lenvatinib,Selpercatinib,0.402288
Paclitaxel,Pralatrexate,0.401324
Cytarabine,Pralatrexate,0.399031
Abiraterone,Selpercatinib,0.398187
Cladribine,Triethylenemelamine,0.397811
Fruquintinib,Lenvatinib,0.396870
Irinotecan,Methotrexate,0.395592
Mercaptopurine,Oxaliplatin,0.395520
Dabrafenib,Ixazomib,0.395418
Fluorouracil,Hydroxyurea,0.395137
Palbociclib,Ribociclib,0.395131
Imatinib,Oxaliplatin,0.394091
Daunorubicin,Gemcitabine,0.393346
Celecoxib,Talazoparib,0.393035
Dacomitinib,Zanubrutinib,0.391833
Fluorouracil,Ixabepilone,0.391288
Oxaliplatin,Paclitaxel,0.390728
Actinomycin D,Etoposide,0.390544
Dexrazoxane,Nitrogen mustard,0.390470
Cyclophosphamide,Gemcitabine,0.389344
Crizotinib,Raloxifene,0.389210
Carmustine,Ifosfamide,0.387419
Docetaxel,Pralatrexate,0.387328
Thiotepa,Topotecan,0.387230
Arsenic trioxide,Carmustine,0.386648
Fluorouracil,Gemcitabine,0.384591
Irinotecan,Oxaliplatin,0.384305
Topotecan,Triethylenemelamine,0.384149
Hydroxyurea,Mercaptopurine,0.383746
Arsenic trioxide,Carboplatin,0.383684
Nitrogen mustard,Uracil mustard,0.383195
Triethylenemelamine,Valrubicin,0.382282
Pralsetinib,Zanubrutinib,0.381970
Etoposide,Teniposide,0.381420
Cytarabine,Uracil mustard,0.380855
Estramustine,Talazoparib,0.380457
Ifosfamide,Uracil mustard,0.378089
Daunorubicin,Pralatrexate,0.376428
Clofarabine,Gemcitabine,0.375913
Actinomycin D,Lomustine,0.375407
Mercaptopurine,Paclitaxel,0.375044
Mercaptopurine,Trifluridine,0.374971
Brigatinib,Selpercatinib,0.374947
Erlotinib,Ibrutinib,0.372802
Paclitaxel,Vinblastine,0.372767
Cyclophosphamide,Pralatrexate,0.372426
Encorafenib,tepotinib,0.372156
Erlotinib,Vandetanib,0.371212
Brigatinib,Erlotinib,0.368069
Fluorouracil,Pralatrexate,0.367673
Allopurinol,Belinostat,0.366705
Paclitaxel,Trifluridine,0.365144
Ixabepilone,Tamoxifen,0.364590
Carfilzomib,Paclitaxel,0.364582
Ixabepilone,Sunitinib,0.362362
Sunitinib,Vorinostat,0.361990
Neratinib,Osimertinib,0.361760
Dasatinib,Erlotinib,0.360587
Fluorouracil,Sunitinib,0.360203
Docetaxel,Vinblastine,0.359303
Belinostat,Oxaliplatin,0.358585
Melphalan,Nitrogen mustard,0.358314
Idarubicin,Triethylenemelamine,0.357926
Dacomitinib,Osimertinib,0.357830
Gemcitabine,Tioguanine,0.357772
Daunorubicin,Methotrexate,0.357557
Dacomitinib,Neratinib,0.357210
Hydroxyurea,Paclitaxel,0.356464
Docetaxel,Irinotecan,0.355580
Irinotecan,Tioguanine,0.355442
Allopurinol,Pralatrexate,0.355180
Crizotinib,Nilotinib,0.355088
Abiraterone,Pralsetinib,0.354978
Binimetinib,Dabrafenib,0.353580
Crizotinib,Tamoxifen,0.353008
Nitrogen mustard,Triethylenemelamine,0.352744
Everolimus,Pralsetinib,0.352151
Fedratinib,Sunitinib,0.351545
Docetaxel,Trifluridine,0.351148
Carfilzomib,Docetaxel,0.351118
Hydroxyurea,Tioguanine,0.350712
Idarubicin,Thiotepa,0.350584
Cytarabine,Mitomycin,0.350083
Actinomycin D,Daunorubicin,0.348955
Crizotinib,Etoposide,0.346108
Sunitinib,Trilaciclib,0.345133
Erdafitinib,Erlotinib,0.344545
Carboplatin,Cyclophosphamide,0.344174
Fluorouracil,Methotrexate,0.344077
Daunorubicin,Melphalan,0.343284
Etoposide,Valrubicin,0.342508
Docetaxel,Hydroxyurea,0.342468
Afatinib,Tucatinib,0.340448
Abemaciclib,Sirolimus,0.339076
Encorafenib,Venetoclax,0.338963
Abiraterone,Lenvatinib,0.338449
Dasatinib,Zanubrutinib,0.337971
Cytarabine,Methotrexate,0.337601
Celecoxib,Oxaliplatin,0.337567
Cyclophosphamide,Trifluridine,0.336246
Carmustine,Sunitinib,0.336145
Idarubicin,Melphalan,0.335870
Clofarabine,Cytarabine,0.334567
Gemcitabine,Mercaptopurine,0.334150
Mitomycin,Thiotepa,0.334096
Methotrexate,Paclitaxel,0.333735
Epirubicin,Valrubicin,0.333430
Cyclophosphamide,Docetaxel,0.333131
Melphalan,Mitomycin,0.332826
Actinomycin D,Idarubicin,0.332149
Actinomycin D,Carfilzomib,0.332069
Tucatinib,Zanubrutinib,0.331864
Daunorubicin,Teniposide,0.331657
Fluorouracil,Trifluridine,0.331493
Hydroxyurea,Methotrexate,0.331330
Dexrazoxane,Idarubicin,0.331146
Osimertinib,Zanubrutinib,0.330778
Erlotinib,Osimertinib,0.330193
Ceritinib,Imatinib,0.329353
Docetaxel,Lomustine,0.329271
Methotrexate,Sunitinib,0.328691
Binimetinib,Vemurafenib,0.328523
Everolimus,Selpercatinib,0.328207
Allopurinol,Mercaptopurine,0.328138
Belinostat,Tioguanine,0.328013
Melphalan,Uracil mustard,0.328011
Abemaciclib,Trilaciclib,0.327885
Idelalisib,Sirolimus,0.327001
Gemcitabine,Oxaliplatin,0.325558
Afatinib,Zanubrutinib,0.325077
Cisplatin,Topotecan,0.325069
Ibrutinib,Osimertinib,0.324569
Oxaliplatin,Sunitinib,0.324517
Carmustine,Ribociclib,0.323962
Oxaliplatin,Trifluridine,0.323905
Dacarbazine,Tioguanine,0.323341
Hydroxyurea,Oxaliplatin,0.322878
Pemigatinib,Sirolimus,0.322505
Mitoxantrone,Topotecan,0.321876
Irinotecan,Mercaptopurine,0.321109
Docetaxel,Oxaliplatin,0.320849
Actinomycin D,Imatinib,0.320666
Ceritinib,Ixabepilone,0.318770
Actinomycin D,Carmustine,0.318164
Pipobroman,Topotecan,0.318140
Fluorouracil,Oxaliplatin,0.317674
Everolimus,Sirolimus,0.317312
Cisplatin,Melphalan,0.315918
Chlorambucil,Cisplatin,0.314983
Selpercatinib,Zoledronate,0.314872
Ixazomib,tepotinib,0.314392
Abemaciclib,Palbociclib,0.313497
Teniposide,Uracil mustard,0.313392
Pralsetinib,Zoledronate,0.312030
Chlorambucil,Mitoxantrone,0.311608
Allopurinol,Tioguanine,0.310772
Ibrutinib,Pralsetinib,0.310156
Chlorambucil,Ifosfamide,0.309775
Ceritinib,Palbociclib,0.309287
Duvelisib,Vandetanib,0.308883
Erdafitinib,Zanubrutinib,0.307290
Belinostat,Mercaptopurine,0.306080
Cytarabine,Daunorubicin,0.305436
Irinotecan,Paclitaxel,0.305023
Daunorubicin,Oxaliplatin,0.304515
Belinostat,Methotrexate,0.304514
Cyclophosphamide,Paclitaxel,0.303487
Lomustine,Tamoxifen,0.303182
Carboplatin,Carmustine,0.302904
Imatinib,Selumetinib,0.302854
Selumetinib,Venetoclax,0.301906
Teniposide,Topotecan,0.301180
Brigatinib,Zanubrutinib,0.299733
Lomustine,Raloxifene,0.299289
Selumetinib,Vemurafenib,0.298778
Melphalan,Methotrexate,0.298677
Erdafitinib,Fruquintinib,0.298546
Pemigatinib,Selpercatinib,0.298545
Cobimetinib,Imatinib,0.298103
Ceritinib,Dexrazoxane,0.297955
Dasatinib,Ibrutinib,0.297727
Cobimetinib,Venetoclax,0.297549
Abiraterone,Zoledronate,0.296530
Belinostat,Fedratinib,0.295635
Melphalan,Teniposide,0.295211
Dasatinib,Lorlatinib,0.294604
Topotecan,Trifluridine,0.293731
Crizotinib,Lomustine,0.292928
Ixabepilone,Raloxifene,0.292896
Topotecan,Valrubicin,0.292102
Tamoxifen,Vorinostat,0.291786
Etoposide,Uracil mustard,0.291066
Etoposide,Topotecan,0.291019
Dabrafenib,tepotinib,0.290881
Methotrexate,Vorinostat,0.290790
Imatinib,Methotrexate,0.290304
Carmustine,Crizotinib,0.290182
Epirubicin,Mitoxantrone,0.290099
Daunorubicin,Valrubicin,0.289662
Tucatinib,Vandetanib,0.289392
Lomustine,Vinblastine,0.289192
Gemcitabine,Triethylenemelamine,0.288696
Neratinib,Zanubrutinib,0.288608
Fedratinib,Ribociclib,0.287736
Crizotinib,Idarubicin,0.287713
Nitrogen mustard,Oxaliplatin,0.287563
Arsenic trioxide,Cisplatin,0.287477
Brigatinib,Erdafitinib,0.286833
Cobimetinib,Vemurafenib,0.286770
Actinomycin D,Mitomycin,0.286542
Carmustine,Raloxifene,0.286253
Duvelisib,Tucatinib,0.286106
Daunorubicin,Nitrogen mustard,0.285498
Actinomycin D,Raloxifene,0.283859
Dexrazoxane,Palbociclib,0.282638
Cyclophosphamide,Daunorubicin,0.282605
Irinotecan,Topotecan,0.282379
Erlotinib,Selpercatinib,0.282181
Dabrafenib,Venetoclax,0.282015
Cytarabine,Paclitaxel,0.281821
Erdafitinib,Lenvatinib,0.281316
Idarubicin,Topotecan,0.281078
Brigatinib,Ibrutinib,0.279973
Idelalisib,Vandetanib,0.279497
Imatinib,Lomustine,0.279381
Allopurinol,Asciminib,0.279012
Nitrogen mustard,Topotecan,0.278732
Cyclophosphamide,Darolutamide,0.278634
Cytarabine,Topotecan,0.277998
Ifosfamide,Topotecan,0.277583
Cyclophosphamide,Irinotecan,0.276125
Carfilzomib,Lomustine,0.275741
Allopurinol,Fludarabine,0.275547
Hydroxyurea,Thiotepa,0.275279
Carmustine,Imatinib,0.273764
Daunorubicin,Topotecan,0.273731
Mitomycin,Topotecan,0.273314
Melphalan,Valrubicin,0.273167
Dexrazoxane,Topotecan,0.272688
Cladribine,Gemcitabine,0.272147
Fedratinib,Nitrogen mustard,0.271516
Fluorouracil,Irinotecan,0.271372
Idarubicin,Uracil mustard,0.270709
Nitrogen mustard,Palbociclib,0.270605
Hydroxyurea,Triethylenemelamine,0.270463
Ibrutinib,Selpercatinib,0.269046
Ceritinib,Fedratinib,0.268152
Ceritinib,Fluorouracil,0.267973
Cytarabine,Docetaxel,0.267825
Cyclophosphamide,Valrubicin,0.267572
Crizotinib,tepotinib,0.267161
Actinomycin D,Tamoxifen,0.267100
Ceritinib,Dabrafenib,0.267049
Talazoparib,Teniposide,0.266775
Dasatinib,Everolimus,0.266394
Nilotinib,Vorinostat,0.266227
Chlorambucil,Teniposide,0.266135
Fruquintinib,Zoledronate,0.266063
Paclitaxel,Tioguanine,0.265944
Dexrazoxane,Fedratinib,0.265485
Allopurinol,Neratinib,0.265433
Erdafitinib,Sirolimus,0.265217
Encorafenib,Ixazomib,0.264729
Dasatinib,Fruquintinib,0.264625
Crizotinib,Fedratinib,0.263918
Mitoxantrone,Teniposide,0.263307
Cytarabine,Tioguanine,0.262270
Trametinib,Vemurafenib,0.262263
Methotrexate,Topotecan,0.262235
Selpercatinib,Zanubrutinib,0.261326
Oxaliplatin,Topotecan,0.260931
Bleomycin,Sirolimus,0.260234
Fedratinib,Trilaciclib,0.260180
Crizotinib,Darolutamide,0.259787
Bleomycin,Dasatinib,0.259781
Daunorubicin,Paclitaxel,0.259218
Ceritinib,Tamoxifen,0.258357
Talazoparib,Valrubicin,0.256844
Hydroxyurea,Talazoparib,0.256834
Nilotinib,Vinblastine,0.256773
Cladribine,Trifluridine,0.256475
Etoposide,Talazoparib,0.255659
Cladribine,Hydroxyurea,0.253913
Fedratinib,Oxaliplatin,0.253755
Dabrafenib,Vemurafenib,0.253301
Cyclophosphamide,Cytarabine,0.252923
Carmustine,Tamoxifen,0.252863
Docetaxel,Mercaptopurine,0.252703
Dasatinib,Lenvatinib,0.252102
Fluorouracil,Paclitaxel,0.250464
Dacarbazine,Mercaptopurine,0.249399
Cytarabine,Fluorouracil,0.248170
Bleomycin,Lorlatinib,0.246610
Chlorambucil,Valrubicin,0.246190
Nitrogen mustard,Valrubicin,0.245967
Ceritinib,Crizotinib,0.245948
Daunorubicin,Docetaxel,0.245222
Irinotecan,Uracil mustard,0.245073
Palbociclib,Vorinostat,0.244636
Crizotinib,Daunorubicin,0.244551
Selpercatinib,Sirolimus,0.244414
Chlorambucil,Etoposide,0.243810
Palbociclib,Raloxifene,0.243067
Oxaliplatin,Vorinostat,0.242418
Crizotinib,Mitomycin,0.242106
Etoposide,Mitoxantrone,0.240981
Ixabepilone,Vorinostat,0.240718
Ixabepilone,Nilotinib,0.240654
Actinomycin D,Vinblastine,0.240546
Arsenic trioxide,Darolutamide,0.240406
Pralsetinib,Sirolimus,0.240325
Cisplatin,Thiotepa,0.239650
Lomustine,Paclitaxel,0.237783
Bleomycin,Erdafitinib,0.236807
Crizotinib,Vorinostat,0.236774
Docetaxel,Fluorouracil,0.236468
Cyclophosphamide,Talazoparib,0.235921
Irinotecan,Nitrogen mustard,0.235890
Paclitaxel,Raloxifene,0.235854
Celecoxib,Teniposide,0.234712
Lenvatinib,Zoledronate,0.234398
Cytarabine,Mercaptopurine,0.234282
Abiraterone,Lorlatinib,0.234256
Carmustine,Dacarbazine,0.233708
Afatinib,Ibrutinib,0.233696
Cyclophosphamide,Teniposide,0.233281
Carmustine,Darolutamide,0.233045
Cisplatin,Selinexor,0.232792
Cladribine,Cytarabine,0.231882
Imatinib,Paclitaxel,0.231824
Dacarbazine,Nilotinib,0.231625
Cyclophosphamide,Tioguanine,0.231580
Fluorouracil,Vorinostat,0.231502
Arsenic trioxide,Ifosfamide,0.229906
Talazoparib,Trilaciclib,0.229790
Arsenic trioxide,Vinblastine,0.229071
Thiotepa,Uracil mustard,0.228684
Bleomycin,Fruquintinib,0.226838
Crizotinib,Vinblastine,0.226652
Ixabepilone,Oxaliplatin,0.226456
Docetaxel,Methotrexate,0.226376
Daunorubicin,Fluorouracil,0.225567
Actinomycin D,Ifosfamide,0.225247
Cytarabine,Oxaliplatin,0.224849
Celecoxib,Valrubicin,0.224782
Celecoxib,Hydroxyurea,0.224771
Imatinib,Selinexor,0.224750
Carfilzomib,Ifosfamide,0.224736
Bleomycin,Zoledronate,0.224410
Methotrexate,Mitomycin,0.224135
Celecoxib,Etoposide,0.223597
Crizotinib,Ribociclib,0.223057
Carmustine,Ixabepilone,0.222884
Cyclophosphamide,Fluorouracil,0.221565
Oxaliplatin,Ribociclib,0.221314
Oxaliplatin,umbralisib,0.221215
Imatinib,umbralisib,0.221082
Trametinib,Venetoclax,0.220691
Idarubicin,Mitoxantrone,0.220348
Fluorouracil,Palbociclib,0.219446
Carmustine,Vinblastine,0.218917
Arsenic trioxide,Carfilzomib,0.217204
Asciminib,Imatinib,0.215592
Methotrexate,Nitrogen mustard,0.215565
Daunorubicin,Mercaptopurine,0.215433
Mitoxantrone,Nitrogen mustard,0.215166
Lenvatinib,Pemigatinib,0.214840
Raloxifene,Vorinostat,0.214737
Chlorambucil,Idarubicin,0.214533
Ifosfamide,Raloxifene,0.214150
Bleomycin,Everolimus,0.213837
Paclitaxel,Tamoxifen,0.213661
Cytarabine,Mitoxantrone,0.213544
Oxaliplatin,Palbociclib,0.212986
Dacarbazine,tepotinib,0.212801
Carboplatin,Lomustine,0.212720
Carboplatin,Selinexor,0.211901
Carmustine,Docetaxel,0.211683
Ifosfamide,Mitoxantrone,0.211461
Abiraterone,Dasatinib,0.210537
Docetaxel,Tioguanine,0.209649
Dexrazoxane,Oxaliplatin,0.209545
Etoposide,Ifosfamide,0.208990
Abiraterone,Everolimus,0.208260
Raloxifene,Venetoclax,0.208122
Afatinib,Allopurinol,0.207682
Carfilzomib,Carmustine,0.207319
Mitomycin,Trifluridine,0.206869
Hydroxyurea,Teniposide,0.206782
Ixabepilone,Ribociclib,0.206575
Ribociclib,Vorinostat,0.206203
Mitoxantrone,Thiotepa,0.205889
Crizotinib,Oxaliplatin,0.205526
Dasatinib,Zoledronate,0.205149
Melphalan,Triethylenemelamine,0.204538
Fluorouracil,Ribociclib,0.204416
Chlorambucil,Triethylenemelamine,0.204095
Pemigatinib,Pralsetinib,0.204077
Celecoxib,Cyclophosphamide,0.203859
Everolimus,Pemigatinib,0.203664
Fluorouracil,Mercaptopurine,0.203646
Cyclophosphamide,Mercaptopurine,0.203490
Allopurinol,Methotrexate,0.202675
Chlorambucil,Irinotecan,0.202508
Irinotecan,Mitoxantrone,0.202334
Pipobroman,Thiotepa,0.202153
Avapritinib,Duvelisib,0.201736
Fluorouracil,Nitrogen mustard,0.200883
Arsenic trioxide,Ixazomib,0.200812
Melphalan,Mercaptopurine,0.199521
Pipobroman,Triethylenemelamine,0.199072
Daunorubicin,Tioguanine,0.198748
Imatinib,Palbociclib,0.198255
Chlorambucil,Mitomycin,0.198046
Celecoxib,Trilaciclib,0.197728
Ixabepilone,Paclitaxel,0.197028
Bleomycin,Lenvatinib,0.197001
Mitomycin,Pipobroman,0.195807
Oxaliplatin,Tamoxifen,0.195490
Chlorambucil,Nitrogen mustard,0.195290
Belinostat,Vorinostat,0.194959
Erlotinib,Neratinib,0.194841
Oxaliplatin,Raloxifene,0.194793
Ifosfamide,Tamoxifen,0.194461
Carmustine,Oxaliplatin,0.194364
Crizotinib,Selumetinib,0.194321
Dabrafenib,Vorinostat,0.194155
Chlorambucil,Cytarabine,0.193837
Fruquintinib,Vandetanib,0.193531
Daunorubicin,Dexrazoxane,0.192943
Abiraterone,Bleomycin,0.191682
Ifosfamide,Oxaliplatin,0.190522
Fluorouracil,Tioguanine,0.189994
Erdafitinib,Everolimus,0.188985
Vemurafenib,Venetoclax,0.188935
Carmustine,Vorinostat,0.188410
Imatinib,Mercaptopurine,0.188372
Erdafitinib,Idelalisib,0.188218
Mercaptopurine,Nitrogen mustard,0.188143
Dacomitinib,Erlotinib,0.188077
Dabrafenib,Imatinib,0.186756
Cobimetinib,Crizotinib,0.186742
Binimetinib,Venetoclax,0.186590
Idarubicin,Irinotecan,0.186469
Methotrexate,Tamoxifen,0.186420
Carmustine,Paclitaxel,0.186323
Nitrogen mustard,Teniposide,0.186242
Hydroxyurea,Valrubicin,0.185938
Methotrexate,Palbociclib,0.185810
Dabrafenib,Nilotinib,0.185809
Arsenic trioxide,Imatinib,0.185557
Teniposide,Thiotepa,0.185193
Ibrutinib,Neratinib,0.185162
Palbociclib,Venetoclax,0.184828
Crizotinib,Ifosfamide,0.184060
Ixabepilone,Methotrexate,0.183954
Ibrutinib,Idelalisib,0.183888
Actinomycin D,Selinexor,0.183256
Carmustine,Mitoxantrone,0.183065
Epirubicin,Uracil mustard,0.182744
Bleomycin,Brigatinib,0.182555
Erlotinib,Everolimus,0.182488
Ifosfamide,Selinexor,0.182180
Teniposide,Triethylenemelamine,0.182112
Nilotinib,Selinexor,0.180880
Raloxifene,Selinexor,0.180416
Fruquintinib,Pemigatinib,0.179980
Pralsetinib,Vandetanib,0.179686
Carboplatin,Nilotinib,0.179448
Crizotinib,Dacarbazine,0.178798
Melphalan,Oxaliplatin,0.177811
