rank,drug,n_assoc,ADRS_final,ADRS_v2,C_ACC_pct,ACCrelative_resid_pct,S_Bneighbor_pct,S_external,ext_dir,Primary_MOA,rank_induced_v3
79,Dasatinib,25,0.453,0.445,0.368,0.523,0.424,0.50,,Bcr-Abl Inhibitor,59
80,Tioguanine,16,0.441,0.430,0.894,0.047,0.405,0.50,,Purine Antagonist,81
81,Pemetrexed,2,0.429,0.417,0.742,0.140,0.414,0.50,,Thymidylate synthase Inhibitor,88
82,Azacitidine,1,0.429,0.416,0.553,0.346,0.333,0.50,,DNA Methyltransferase (DNMT) Inhibitor,84
83,Triethylenemelamine,3,0.426,0.404,0.405,,0.402,0.50,,,91
84,Temsirolimus,1,0.426,0.413,0.528,0.234,0.552,0.50,neutral,mTOR Inhibitor,92
85,Lorlatinib,2,0.425,0.412,0.457,0.327,0.492,0.50,,ROS1/ALK Inhibitor,93
86,Carboplatin,7,0.421,0.390,0.288,0.439,0.455,0.60,positive,DNA Alkylating Agent,89
87,Uracil mustard,5,0.420,0.396,0.300,,0.541,0.50,,,103
88,Vorinostat,18,0.420,0.405,0.145,0.570,0.507,0.50,,HDAC Inhibitor,64
89,Dexrazoxane,18,0.419,0.405,0.130,0.430,0.773,0.50,,DNA Topoisomerase II Inhibitor,72
90,Oxaliplatin,31,0.419,0.405,0.817,0.019,0.462,0.50,,DNA Alkylating Agent,94
91,Gilteritinib,1,0.418,0.404,0.507,0.299,0.432,0.50,,,96
92,Trifluridine,6,0.411,0.395,0.814,0.056,0.359,0.50,,thymidylate synthase Inhibitor,95
93,Dacarbazine,15,0.408,0.392,0.145,0.542,0.500,0.50,,DNA Alkylating Agent,77
94,Erdafitinib,10,0.408,0.392,0.693,0.178,0.316,0.50,,FGFR 1/2/3/4 Inhibitor,86
95,Venetoclax,5,0.404,0.387,0.375,0.243,0.658,0.50,,Bcl-2 Inhibitor,80
96,Methotrexate,27,0.403,0.386,0.837,0.000,0.386,0.50,,Dihydrofolate Reductase (DHFR) Inhibitor,97
97,Thiotepa,3,0.390,0.370,0.410,0.271,0.485,0.50,,Cytochrome P450 Oxidase Inhibitor,98
98,Vemurafenib,22,0.387,0.367,0.310,0.206,0.733,0.50,,Raf kinase B Inhibitor,106
99,Everolimus,11,0.381,0.360,0.208,0.589,0.188,0.50,neutral,mTOR inhibitor,90
100,Selpercatinib,37,0.379,0.342,0.465,,0.158,0.50,,,108
101,Pralatrexate,2,0.379,0.357,0.750,0.028,0.344,0.50,,Dihydrofolate Reductase (DHFR) Inhibitors,101
102,Sonidegib,4,0.377,0.356,0.373,0.084,0.806,0.50,,Smo Receptor Antagonist,105
103,Cisplatin,6,0.375,0.317,0.253,0.103,0.789,0.70,positive,DNA Alkylating Agent,109
104,Fludarabine,4,0.372,0.350,0.346,0.449,0.183,0.50,,Purine Antagonist,111
105,Vinblastine,9,0.365,0.341,0.184,0.196,0.829,0.50,,Tubulin polymerization inhibitor,100
106,Mitoxantrone,6,0.365,0.341,0.302,0.262,0.537,0.50,,DNA Topoisomerase II Inhibitor,107
107,Sotorasib,4,0.362,0.321,0.351,,0.276,0.50,,,113
108,Ifosfamide,17,0.362,0.321,0.074,,0.691,0.50,,,99
109,Vinorelbine,1,0.348,0.321,0.531,0.131,0.339,0.50,,,110
110,Clofarabine,2,0.341,0.313,0.490,0.187,0.270,0.50,,DNA Polymerase Inhibitor,104
111,Neratinib,6,0.341,0.313,0.308,0.009,0.850,0.50,,EGFR Inhibitor,79
112,Valrubicin,11,0.337,0.308,0.125,0.402,0.417,0.50,,DNA Topoisomerase II Inhibitor,112
113,Nitrogen mustard,16,0.335,0.286,0.099,,0.566,0.50,,,114
114,Teniposide,8,0.308,0.274,0.250,0.037,0.723,0.50,,DNA Topoisomerase II Inhibitor,102
115,Idelalisib,9,0.305,0.270,0.157,0.290,0.406,0.50,,PI3Kdelta Inhibitor,117
116,umbralisib,5,0.287,0.250,0.329,0.150,0.307,0.50,,Casein Kinase 1 Inhibitor,118
117,Cladribine,3,0.281,0.242,0.454,0.065,0.234,0.50,,Adenosine Deaminase Inhibitor,115
118,Fruquintinib,31,0.263,0.221,0.343,0.168,0.130,0.50,,VEGFR-1/2/3 Inhibitor,123
119,Pemigatinib,10,0.257,0.184,0.205,,0.152,0.50,,,116
120,Pralsetinib,59,0.220,0.137,0.079,,0.223,0.50,,,120
121,Abiraterone,39,0.204,0.152,0.024,0.280,0.118,0.50,,Androgen Biosynthesis Inhibitor,121
122,Bleomycin,16,0.194,0.139,0.164,0.075,0.216,0.50,,glycopeptide antibiotic,119
123,Zoledronate,20,0.173,0.116,0.082,0.159,0.090,0.50,,Farnesyl Pyrophosphate Synthase Inhibitor,122
124,Lenvatinib,18,0.172,0.105,0.079,0.121,0.116,0.55,positive,VEGFR-1/2/3 Inhibitor,124
