rank,drug,n_targets,ADRS,ADRS_equalw,C_ACC,P_C,S_activity,P_A,S_Bneighbor,P_B,activity_known,Primary_MOA
78,Encorafenib,15,0.4462,0.4912,0.0982,0.455,0.2939,0.215,0.6258,0.803,1,Raf Kinase Inhibitor B (V600E Mutant)
79,Hydroxyurea,7,0.4435,0.4359,0.1656,0.829,0.2963,0.224,0.4757,0.254,1,Ribonucleoside-Diphosphate Reductase Inhibitor
80,Lomustine,27,0.4287,0.4651,0.0847,0.252,0.4336,0.364,0.6154,0.779,1,DNA Alkylating Agent
81,Fulvestrant,2,0.4243,0.3824,0.1184,0.618,0.5608,0.505,0.2188,0.025,1,Estrogen Receptor Antagonist
82,Raloxifene,14,0.4213,0.4640,0.1155,0.593,0.1506,0.093,0.5973,0.705,1,
83,Erdafitinib,10,0.4203,0.4172,0.1646,0.821,0.2487,0.168,0.4765,0.262,1,FGFR 1/2/3/4 Inhibitor
84,Oxaliplatin,31,0.4170,0.4439,0.1645,0.813,0.0525,0.019,0.5522,0.500,1,DNA Alkylating Agent
85,Cabozantinib,1,0.4157,0.4560,0.0904,0.317,0.3609,0.280,0.6145,0.770,1,VEGFR-2 Inhibitor
86,Imatinib,5,0.4117,0.4198,0.0930,0.366,0.4832,0.402,0.5496,0.492,1,Bcr-Abl Inhibitor
87,Vandetanib,6,0.4109,0.3834,0.0554,0.000,0.8438,0.822,0.4985,0.328,1,EGFR Inhibitor
88,Mitoxantrone,6,0.4101,0.4233,0.0785,0.211,0.5390,0.477,0.5612,0.582,1,DNA Topoisomerase II Inhibitor
89,Trifluridine,6,0.4085,0.4214,0.2027,0.911,0.0444,0.009,0.4995,0.344,1,thymidylate synthase Inhibitor
90,Dexrazoxane,18,0.3993,0.4440,0.0865,0.285,0.3432,0.252,0.6235,0.795,1,
91,Lorlatinib,2,0.3942,0.4325,0.0914,0.333,0.3133,0.243,0.5986,0.721,1,ROS1/ALK Inhibitor
92,Teniposide,8,0.3839,0.4202,0.0985,0.463,0.2095,0.150,0.5816,0.648,1,DNA Topoisomerase II Inhibitor
93,Allopurinol,13,0.3813,0.3642,0.1545,0.772,0.2628,0.206,0.4242,0.115,1,Xanthine Oxidase Inhibitor
