gene,rACC_raw_RWR,rACC_minmax,rACC_percentile,is_seed,seed_weight,in_STRING_graph
TNFRSF14,0,0.000000,0.010050,0,,0
TNFRSF17,1.0771037e-05,0.000630,0.095477,0,,1
TOP1,0.0010270649,0.060044,0.678392,0,,1
TPM3,0.0016942158,0.099047,0.776382,0,,1
TPM4,0.00023717302,0.013866,0.384422,0,,1
TRAF7,6.0421694e-05,0.003532,0.180905,0,,1
TRIM24,0.00041081221,0.024017,0.497487,0,,1
TRIM27,0.00034621218,0.020240,0.464824,0,,1
TRRAP,0.0014940626,0.087346,0.746231,0,,1
TSC1,0.00054894921,0.032093,0.542714,0,,1
U2AF1,0.00037226669,0.021763,0.482412,0,,1
USP8,0.00017967984,0.010504,0.321608,0,,1
VAV1,0.00095934435,0.056085,0.670854,0,,1
WAS,0.00040130474,0.023461,0.492462,0,,1
WIF1,0.00014414662,0.008427,0.273869,0,,1
WRN,0.0059318859,0.346789,0.942211,0,,1
WT1,0.0024826248,0.145139,0.849246,0,,1
WWTR1,0.00042709679,0.024969,0.507538,0,,1
XPA,0.0029511926,0.172532,0.879397,0,,1
XPO1,0.00041729608,0.024396,0.502513,0,,1
YWHAE,0.00056744676,0.033174,0.545226,0,,1
ZCCHC8,0,0.000000,0.052764,0,,0
ZEB1,0.00076217144,0.044558,0.615578,0,,1
ZMYM2,0.00015797234,0.009235,0.293970,0,,1
ZMYM3,5.0915072e-05,0.002977,0.160804,0,,1
ZNF384,0,0.000000,0.007538,0,,0
ZNF521,1.7576673e-05,0.001028,0.105528,0,,1
ZRSR2,0.00018325041,0.010713,0.334171,0,,1
