drugA,drugB,B_ACC
Palbociclib,Ribociclib,0.326923
Teniposide,Uracil mustard,0.325000
Abiraterone,Lenvatinib,0.324786
Pralsetinib,Zanubrutinib,0.323575
Celecoxib,Etoposide,0.321429
Celecoxib,Hydroxyurea,0.321429
Estramustine,Talazoparib,0.321429
Etoposide,Talazoparib,0.321429
Etoposide,Topotecan,0.321429
Hydroxyurea,Pemetrexed,0.321429
Hydroxyurea,Pralatrexate,0.321429
Hydroxyurea,Talazoparib,0.321429
Irinotecan,Methotrexate,0.319865
Cobimetinib,Vemurafenib,0.319749
Arsenic trioxide,Cisplatin,0.318182
Pemigatinib,Selpercatinib,0.317568
Nilotinib,Tamoxifen,0.317460
Dabrafenib,Vemurafenib,0.317045
Carmustine,Tamoxifen,0.315134
Avapritinib,Ribociclib,0.312500
Celecoxib,Teniposide,0.312500
Fedratinib,Ribociclib,0.312500
Talazoparib,Teniposide,0.312500
Teniposide,Topotecan,0.312500
Dacarbazine,Mercaptopurine,0.311111
Erdafitinib,Lenvatinib,0.311111
Chlorambucil,Etoposide,0.309524
Etoposide,Mitoxantrone,0.309524
Hydroxyurea,Trifluridine,0.309524
Carboplatin,Cyclophosphamide,0.308036
Cyclophosphamide,Hydroxyurea,0.308036
Irinotecan,Oxaliplatin,0.307918
Cyclophosphamide,Valrubicin,0.306818
Irinotecan,Nitrogen mustard,0.306818
Afatinib,Tucatinib,0.305556
Avapritinib,Idelalisib,0.305556
Clofarabine,Cytarabine,0.305556
Cytarabine,Pemetrexed,0.305556
Cytarabine,Pralatrexate,0.305556
Cytarabine,Topotecan,0.305556
Dacomitinib,Osimertinib,0.305556
Idelalisib,Sirolimus,0.305556
Melphalan,Methotrexate,0.305556
Brigatinib,Selpercatinib,0.304054
Cytarabine,Irinotecan,0.303030
Nitrogen mustard,Palbociclib,0.302885
Abiraterone,Zoledronate,0.302564
Etoposide,Ifosfamide,0.302521
Erdafitinib,Sirolimus,0.300000
Paclitaxel,Pemetrexed,0.300000
Paclitaxel,Pralatrexate,0.300000
Pemigatinib,Sirolimus,0.300000
Carfilzomib,Lomustine,0.296296
Cytarabine,Methotrexate,0.296296
Lomustine,Vinblastine,0.296296
Avapritinib,Ixabepilone,0.295455
Celecoxib,Valrubicin,0.295455
Erlotinib,Osimertinib,0.295455
Everolimus,Sirolimus,0.295455
Idarubicin,Pemetrexed,0.295455
Idarubicin,Topotecan,0.295455
Irinotecan,Pralatrexate,0.295455
Irinotecan,Topotecan,0.295455
Osimertinib,Zanubrutinib,0.295455
Talazoparib,Valrubicin,0.295455
Topotecan,Valrubicin,0.295455
Tucatinib,Zanubrutinib,0.295455
Avapritinib,Fluorouracil,0.291667
Ceritinib,Fedratinib,0.291667
Daunorubicin,Pralatrexate,0.291667
Daunorubicin,Topotecan,0.291667
Docetaxel,Pemetrexed,0.291667
Docetaxel,Pralatrexate,0.291667
Fluorouracil,Pemetrexed,0.291667
Fluorouracil,Pralatrexate,0.291667
Mitomycin,Pemetrexed,0.291667
Mitomycin,Topotecan,0.291667
Actinomycin D,Vinblastine,0.291667
Chlorambucil,Teniposide,0.291667
Cladribine,Gemcitabine,0.291667
Cytarabine,Mitomycin,0.291667
Fluorouracil,Nitrogen mustard,0.291667
Gemcitabine,Pipobroman,0.291667
Gemcitabine,Triethylenemelamine,0.291667
Melphalan,Teniposide,0.291667
Mitoxantrone,Teniposide,0.291667
Idarubicin,Uracil mustard,0.290909
Irinotecan,Uracil mustard,0.290909
Daunorubicin,Oxaliplatin,0.288978
Allopurinol,Pralatrexate,0.288462
Ibrutinib,Osimertinib,0.288462
Fruquintinib,Zoledronate,0.287903
Gemcitabine,Methotrexate,0.287037
Ixabepilone,Paclitaxel,0.286364
Allopurinol,Mercaptopurine,0.284900
Carmustine,Epirubicin,0.284483
Actinomycin D,Ifosfamide,0.284314
Ceritinib,Crizotinib,0.284314
Ceritinib,Imatinib,0.283333
Afatinib,Ibrutinib,0.282051
Ibrutinib,Pralsetinib,0.281617
Bleomycin,Lorlatinib,0.281250
Bleomycin,Sirolimus,0.281250
Celecoxib,Cyclophosphamide,0.281250
Cyclophosphamide,Darolutamide,0.281250
Cyclophosphamide,Fulvestrant,0.281250
Cyclophosphamide,Pemetrexed,0.281250
Cyclophosphamide,Pralatrexate,0.281250
Cyclophosphamide,Talazoparib,0.281250
Cyclophosphamide,Teniposide,0.281250
Fedratinib,Nitrogen mustard,0.281250
Nitrogen mustard,Pemetrexed,0.281250
Nitrogen mustard,Topotecan,0.281250
Pemetrexed,Tioguanine,0.281250
Crizotinib,Fedratinib,0.279412
Ifosfamide,Topotecan,0.279412
Allopurinol,Tioguanine,0.278846
Avapritinib,Vorinostat,0.277778
Ceritinib,Dexrazoxane,0.277778
Ceritinib,Tamoxifen,0.277778
Chlorambucil,Cytarabine,0.277778
Cytarabine,Mitoxantrone,0.277778
Daunorubicin,Dexrazoxane,0.277778
Dexrazoxane,Fedratinib,0.277778
Dexrazoxane,Topotecan,0.277778
Idelalisib,Vandetanib,0.277778
Tamoxifen,Vorinostat,0.277778
Dacarbazine,Nilotinib,0.276190
Crizotinib,Darolutamide,0.275735
Crizotinib,Ribociclib,0.275735
Actinomycin D,Paclitaxel,0.275000
Avapritinib,Zoledronate,0.275000
Mercaptopurine,Paclitaxel,0.274074
Avapritinib,Trilaciclib,0.273810
Celecoxib,Trilaciclib,0.273810
Fedratinib,Trilaciclib,0.273810
Talazoparib,Trilaciclib,0.273810
Nilotinib,Vinblastine,0.273810
Arsenic trioxide,Avapritinib,0.272727
Idarubicin,Irinotecan,0.272727
Trametinib,Vemurafenib,0.272727
Dasatinib,Lorlatinib,0.270000
Hydroxyurea,Mercaptopurine,0.269841
Avapritinib,Palbociclib,0.269231
Palbociclib,Pemetrexed,0.269231
Carmustine,Paclitaxel,0.268966
Avapritinib,Methotrexate,0.268519
Mercaptopurine,Pemetrexed,0.268519
Methotrexate,Topotecan,0.268519
Hydroxyurea,Teniposide,0.267857
Asciminib,Imatinib,0.266667
Encorafenib,Ixazomib,0.266667
Imatinib,Selinexor,0.266667
Pipobroman,Uracil mustard,0.266667
Thiotepa,Uracil mustard,0.266667
Avapritinib,Oxaliplatin,0.266129
Celecoxib,Oxaliplatin,0.266129
Fedratinib,Oxaliplatin,0.266129
Oxaliplatin,Pemetrexed,0.266129
Oxaliplatin,Topotecan,0.266129
