drugA,drugB,B_ACC
Hydroxyurea,Pemetrexed,0.441351
Bleomycin,Selpercatinib,0.440457
Uracil mustard,Valrubicin,0.440378
Gemcitabine,Pralatrexate,0.437647
Crizotinib,Raloxifene,0.437490
Cytarabine,Uracil mustard,0.437106
Cytarabine,Thiotepa,0.432659
Irinotecan,Trifluridine,0.430242
Daunorubicin,Mitomycin,0.429780
Etoposide,Valrubicin,0.428748
Cytarabine,Hydroxyurea,0.427006
Arsenic trioxide,Carmustine,0.425156
Fruquintinib,Selpercatinib,0.422892
Gemcitabine,Pipobroman,0.421512
Methotrexate,Trifluridine,0.421351
Binimetinib,Dabrafenib,0.420916
Abiraterone,Selpercatinib,0.415593
Triethylenemelamine,Valrubicin,0.414073
Carmustine,Ifosfamide,0.411828
Cytarabine,Pemetrexed,0.410510
Lenvatinib,Selpercatinib,0.410250
Dexrazoxane,Idarubicin,0.409687
Thiotepa,Topotecan,0.409577
Topotecan,Triethylenemelamine,0.408698
Dexrazoxane,Nitrogen mustard,0.407449
Idarubicin,Triethylenemelamine,0.407105
Oxaliplatin,Pipobroman,0.407070
Daunorubicin,Trifluridine,0.406532
Idarubicin,Thiotepa,0.405411
Paclitaxel,Pemetrexed,0.405201
Paclitaxel,Vinblastine,0.405050
Carfilzomib,Paclitaxel,0.403168
Methotrexate,Oxaliplatin,0.401413
Dacomitinib,Zanubrutinib,0.399435
Dacomitinib,Neratinib,0.399208
Bleomycin,Pralsetinib,0.399025
Actinomycin D,Imatinib,0.396487
Imatinib,Vorinostat,0.395567
Fruquintinib,Lenvatinib,0.395556
Fedratinib,Sunitinib,0.395469
Belinostat,Pralatrexate,0.395357
Palbociclib,Sunitinib,0.394399
Erlotinib,Zanubrutinib,0.394105
Imatinib,Tamoxifen,0.393723
Mitomycin,Thiotepa,0.393590
Docetaxel,Pemetrexed,0.393579
Hydroxyurea,Trifluridine,0.392437
Nitrogen mustard,Uracil mustard,0.391390
Daunorubicin,Teniposide,0.390739
Fluorouracil,Pemetrexed,0.390006
Crizotinib,Tamoxifen,0.387359
Erlotinib,Pralsetinib,0.387215
Actinomycin D,Carmustine,0.386287
Ifosfamide,Uracil mustard,0.385999
Daunorubicin,Etoposide,0.385558
Pralatrexate,Trifluridine,0.385483
Nitrogen mustard,Triethylenemelamine,0.385401
Encorafenib,Venetoclax,0.384717
Afatinib,Zanubrutinib,0.382064
Idarubicin,Mitomycin,0.381794
Erlotinib,Vandetanib,0.381072
Crizotinib,Nilotinib,0.380969
Cyclophosphamide,Pemetrexed,0.379036
Docetaxel,Vinblastine,0.378860
Arsenic trioxide,Carboplatin,0.378007
Pipobroman,Topotecan,0.377927
Avapritinib,Ribociclib,0.377412
Carfilzomib,Docetaxel,0.376978
Pemetrexed,Tioguanine,0.373940
Epirubicin,Mitoxantrone,0.373643
Actinomycin D,Carfilzomib,0.373494
Idarubicin,Melphalan,0.372732
Everolimus,Pralsetinib,0.371115
Hydroxyurea,Pralatrexate,0.371082
Clofarabine,Gemcitabine,0.370280
Dacarbazine,Tioguanine,0.365163
Brigatinib,Dasatinib,0.364959
Daunorubicin,Melphalan,0.363483
Ixabepilone,Tamoxifen,0.362541
Imatinib,Oxaliplatin,0.360607
Melphalan,Mitomycin,0.360550
Abiraterone,Pralsetinib,0.360379
Daunorubicin,Methotrexate,0.359874
Crizotinib,Lomustine,0.359047
Neratinib,Zanubrutinib,0.358712
Actinomycin D,Raloxifene,0.358200
Lomustine,Raloxifene,0.358122
Melphalan,Uracil mustard,0.358041
Dabrafenib,Ixazomib,0.356105
Mercaptopurine,Pemetrexed,0.355933
Cyclophosphamide,Hydroxyurea,0.355564
Hydroxyurea,Pipobroman,0.354947
Lomustine,Tamoxifen,0.352786
Oxaliplatin,Pemetrexed,0.351829
Carmustine,Crizotinib,0.350681
Docetaxel,Lomustine,0.350577
Cladribine,Thiotepa,0.350360
Nilotinib,Tamoxifen,0.349567
Cladribine,Triethylenemelamine,0.349380
Binimetinib,Vemurafenib,0.349179
Ceritinib,Palbociclib,0.348251
Carmustine,Raloxifene,0.347983
Avapritinib,Ixabepilone,0.347704
Everolimus,Selpercatinib,0.347382
Melphalan,Nitrogen mustard,0.347069
Palbociclib,Ribociclib,0.345363
Abemaciclib,Sirolimus,0.344717
Avapritinib,Fluorouracil,0.344197
Selumetinib,Venetoclax,0.342144
Irinotecan,Methotrexate,0.340911
Cytarabine,Pralatrexate,0.340241
Gemcitabine,Methotrexate,0.339939
Neratinib,Osimertinib,0.339303
Selpercatinib,Zoledronate,0.338964
Pralsetinib,Zanubrutinib,0.338806
Daunorubicin,Nitrogen mustard,0.338803
Cobimetinib,Venetoclax,0.338135
Cytarabine,Irinotecan,0.335849
Estramustine,Talazoparib,0.335542
Imatinib,Lomustine,0.335249
Paclitaxel,Pralatrexate,0.334932
Irinotecan,Pralatrexate,0.332885
Mitomycin,Pipobroman,0.332656
Belinostat,Fedratinib,0.332629
Avapritinib,Vorinostat,0.332120
Chlorambucil,Ifosfamide,0.331740
Cisplatin,Topotecan,0.331576
Carmustine,Imatinib,0.330899
Mitoxantrone,Topotecan,0.330622
Pralsetinib,Zoledronate,0.329466
Cisplatin,Melphalan,0.329396
Chlorambucil,Cisplatin,0.329166
Irinotecan,Oxaliplatin,0.329123
Daunorubicin,Valrubicin,0.328820
Chlorambucil,Mitoxantrone,0.328314
Abiraterone,Lenvatinib,0.327932
Duvelisib,Vandetanib,0.327916
Etoposide,Uracil mustard,0.326019
Avapritinib,Trilaciclib,0.325597
Actinomycin D,Tamoxifen,0.325007
Brigatinib,Selpercatinib,0.323642
Docetaxel,Pralatrexate,0.323310
Dabrafenib,Venetoclax,0.323298
Tucatinib,Vandetanib,0.323033
Selumetinib,Vemurafenib,0.322283
Duvelisib,Tucatinib,0.322261
Teniposide,Uracil mustard,0.322047
Daunorubicin,Pralatrexate,0.321429
Topotecan,Trifluridine,0.319828
Fluorouracil,Pralatrexate,0.319738
Avapritinib,Palbociclib,0.319674
Mitomycin,Trifluridine,0.318937
Erdafitinib,Fruquintinib,0.318917
Paclitaxel,Pipobroman,0.318797
Methotrexate,Tioguanine,0.318787
Nitrogen mustard,Oxaliplatin,0.318518
Crizotinib,tepotinib,0.318056
Avapritinib,Methotrexate,0.317661
Dacomitinib,Osimertinib,0.317495
Carboplatin,Cyclophosphamide,0.316899
Methotrexate,Mitomycin,0.316840
Dexrazoxane,Palbociclib,0.316708
Avapritinib,Oxaliplatin,0.314701
Afatinib,Tucatinib,0.313622
Erdafitinib,Ibrutinib,0.313383
Allopurinol,Fludarabine,0.313314
Pemigatinib,Selpercatinib,0.312809
Clofarabine,Cytarabine,0.311900
Etoposide,Topotecan,0.311624
Cobimetinib,Vemurafenib,0.311512
Mercaptopurine,Methotrexate,0.311460
Cytarabine,Mitomycin,0.311408
Idelalisib,Sirolimus,0.310974
Arsenic trioxide,Cisplatin,0.310209
Cytarabine,Methotrexate,0.309786
Teniposide,Topotecan,0.309677
Lomustine,Paclitaxel,0.309468
Cyclophosphamide,Pralatrexate,0.308767
Docetaxel,Pipobroman,0.307175
Fluorouracil,Ixabepilone,0.306573
Fedratinib,Ribociclib,0.306185
Mercaptopurine,Paclitaxel,0.305916
Etoposide,Idarubicin,0.305837
Allopurinol,Pralatrexate,0.305766
Pemigatinib,Sirolimus,0.305669
Hydroxyurea,Mercaptopurine,0.304988
Oxaliplatin,Paclitaxel,0.304635
Tucatinib,Zanubrutinib,0.303955
Hydroxyurea,Talazoparib,0.303736
Fluorouracil,Pipobroman,0.303602
Osimertinib,Zanubrutinib,0.303435
Erlotinib,Osimertinib,0.303260
Etoposide,Talazoparib,0.303208
Melphalan,Methotrexate,0.302618
Talazoparib,Teniposide,0.301223
Abiraterone,Zoledronate,0.301168
Everolimus,Sirolimus,0.300965
Dabrafenib,Vemurafenib,0.300281
Erdafitinib,Lenvatinib,0.300002
Carmustine,Tamoxifen,0.298724
Allopurinol,Mercaptopurine,0.297793
Ibrutinib,Osimertinib,0.296662
Cyclophosphamide,Valrubicin,0.296474
Hydroxyurea,Irinotecan,0.296287
Ceritinib,Imatinib,0.295728
Cytarabine,Topotecan,0.295684
Topotecan,Valrubicin,0.294675
Lomustine,Vinblastine,0.294586
Nitrogen mustard,Palbociclib,0.294171
Dacarbazine,Mercaptopurine,0.293870
Daunorubicin,Oxaliplatin,0.293847
Celecoxib,Hydroxyurea,0.293606
Celecoxib,Etoposide,0.293077
Cyclophosphamide,Pipobroman,0.292632
Melphalan,Teniposide,0.292404
Irinotecan,Topotecan,0.291758
Carfilzomib,Lomustine,0.291327
Idarubicin,Topotecan,0.291263
Celecoxib,Teniposide,0.291093
Ribociclib,Sunitinib,0.290183
Erdafitinib,Sirolimus,0.290151
Chlorambucil,Etoposide,0.289557
Tioguanine,Trifluridine,0.288939
Etoposide,Mitoxantrone,0.288869
Ibrutinib,Pralsetinib,0.288818
Dasatinib,Erlotinib,0.288813
Etoposide,Mitomycin,0.288376
Allopurinol,Tioguanine,0.288266
Irinotecan,Nitrogen mustard,0.288066
Avapritinib,Duvelisib,0.287708
Pipobroman,Tioguanine,0.287536
Pipobroman,Thiotepa,0.286853
Celecoxib,Oxaliplatin,0.286111
Pipobroman,Triethylenemelamine,0.285974
Talazoparib,Valrubicin,0.285935
Daunorubicin,Topotecan,0.285645
Chlorambucil,Teniposide,0.285584
Mitomycin,Topotecan,0.285426
Erlotinib,Ibrutinib,0.285328
Gemcitabine,Triethylenemelamine,0.285004
Ceritinib,Fedratinib,0.284962
Mitoxantrone,Teniposide,0.284896
Idarubicin,Uracil mustard,0.284824
Daunorubicin,Hydroxyurea,0.283155
Fruquintinib,Zoledronate,0.282829
Dasatinib,Zanubrutinib,0.282495
Ceritinib,Dexrazoxane,0.282351
Cladribine,Gemcitabine,0.281356
Tamoxifen,Vorinostat,0.281328
Nitrogen mustard,Topotecan,0.280638
Fluorouracil,Hydroxyurea,0.280216
Cyclophosphamide,Darolutamide,0.280108
Ceritinib,Ixabepilone,0.279743
Irinotecan,Uracil mustard,0.279282
Fedratinib,Nitrogen mustard,0.279152
Ifosfamide,Topotecan,0.278966
Actinomycin D,Vinblastine,0.277953
Idelalisib,Vandetanib,0.277639
Dexrazoxane,Topotecan,0.276417
Bleomycin,Sirolimus,0.275943
Celecoxib,Valrubicin,0.275804
Crizotinib,Fedratinib,0.275500
Dasatinib,Lorlatinib,0.275397
Carboplatin,Carmustine,0.275078
Dexrazoxane,Fedratinib,0.274933
Fluorouracil,Methotrexate,0.274601
Belinostat,Oxaliplatin,0.273649
Etoposide,Ifosfamide,0.273409
Bleomycin,Lorlatinib,0.273277
Ceritinib,Crizotinib,0.272656
Ceritinib,Tamoxifen,0.271565
Encorafenib,tepotinib,0.271220
Crizotinib,Darolutamide,0.271203
Fedratinib,Trilaciclib,0.270413
Trametinib,Vemurafenib,0.270224
Cyclophosphamide,Talazoparib,0.269846
Mercaptopurine,Pipobroman,0.269529
Cytarabine,Epirubicin,0.269379
Nilotinib,Vinblastine,0.269174
Cyclophosphamide,Teniposide,0.268901
Afatinib,Ibrutinib,0.268603
Actinomycin D,Ifosfamide,0.268075
Oxaliplatin,Tioguanine,0.267745
Methotrexate,Topotecan,0.266414
Irinotecan,Tioguanine,0.266112
Mercaptopurine,Oxaliplatin,0.264896
Dacarbazine,Nilotinib,0.264514
Oxaliplatin,Topotecan,0.264369
Dasatinib,Everolimus,0.262946
Fedratinib,Oxaliplatin,0.262891
Talazoparib,Trilaciclib,0.262720
Gemcitabine,Paclitaxel,0.262090
Fluorouracil,Nitrogen mustard,0.261823
Carmustine,Ribociclib,0.261666
Crizotinib,Ribociclib,0.261396
Melphalan,Valrubicin,0.261093
Ixabepilone,Sunitinib,0.260475
Gemcitabine,Irinotecan,0.260042
Mercaptopurine,Trifluridine,0.259818
Celecoxib,Cyclophosphamide,0.259716
Fluorouracil,Oxaliplatin,0.259522
Brigatinib,Erlotinib,0.259430
Selpercatinib,Sirolimus,0.258699
Docetaxel,Oxaliplatin,0.258602
Avapritinib,Idelalisib,0.258154
Thiotepa,Uracil mustard,0.257758
Nilotinib,Vorinostat,0.257075
Lenvatinib,Zoledronate,0.257063
Ixabepilone,Raloxifene,0.257059
Fluorouracil,Sunitinib,0.256969
Cytarabine,Mitoxantrone,0.256659
Abiraterone,Lorlatinib,0.256441
Imatinib,Selinexor,0.255982
Ixabepilone,Paclitaxel,0.255973
Dasatinib,Fruquintinib,0.255510
Encorafenib,Ixazomib,0.255277
Chlorambucil,Valrubicin,0.254978
Imatinib,Selumetinib,0.254484
Pralsetinib,Sirolimus,0.253893
Asciminib,Imatinib,0.253238
Celecoxib,Trilaciclib,0.252589
Arsenic trioxide,Ifosfamide,0.252196
Hydroxyurea,Tioguanine,0.251551
Daunorubicin,Dexrazoxane,0.251465
Chlorambucil,Cytarabine,0.251447
Arsenic trioxide,Darolutamide,0.251445
Cobimetinib,Imatinib,0.251436
Imatinib,Methotrexate,0.251414
Dasatinib,Ibrutinib,0.251123
Epirubicin,Mitomycin,0.250650
Docetaxel,Gemcitabine,0.250468
Cladribine,Trifluridine,0.250330
Paclitaxel,Raloxifene,0.250051
Hydroxyurea,Teniposide,0.249637
Idarubicin,Irinotecan,0.248710
Daunorubicin,Gemcitabine,0.248586
Ifosfamide,Raloxifene,0.248141
Carmustine,Dacarbazine,0.248115
Dexrazoxane,Oxaliplatin,0.248094
Carfilzomib,Ifosfamide,0.247733
Idarubicin,Mitoxantrone,0.247629
Cisplatin,Thiotepa,0.247434
Crizotinib,Vinblastine,0.247362
Fluorouracil,Gemcitabine,0.246895
Methotrexate,Vorinostat,0.246722
Hydroxyurea,Thiotepa,0.246392
Cisplatin,Selinexor,0.246350
Methotrexate,Paclitaxel,0.246323
Chlorambucil,Idarubicin,0.246198
Cyclophosphamide,Fulvestrant,0.245517
Hydroxyurea,Triethylenemelamine,0.245412
Sunitinib,Vorinostat,0.244891
Actinomycin D,Paclitaxel,0.244575
Carmustine,Epirubicin,0.243766
Chlorambucil,Irinotecan,0.243612
Irinotecan,Mitoxantrone,0.243521
Carmustine,Paclitaxel,0.242884
Dasatinib,Lenvatinib,0.241786
Cladribine,Hydroxyurea,0.241764
Bleomycin,Erdafitinib,0.240589
Oxaliplatin,Trifluridine,0.240099
Erlotinib,Neratinib,0.239777
Mitoxantrone,Thiotepa,0.239548
Carmustine,Ixabepilone,0.239313
Trametinib,Venetoclax,0.239298
Melphalan,Triethylenemelamine,0.239119
Ixabepilone,Oxaliplatin,0.239060
Chlorambucil,Triethylenemelamine,0.239006
Methotrexate,Nitrogen mustard,0.238704
Sunitinib,Trilaciclib,0.238368
Carmustine,Darolutamide,0.237665
Erdafitinib,Erlotinib,0.236290
Cyclophosphamide,Gemcitabine,0.235925
Belinostat,Vorinostat,0.235326
Fluorouracil,Palbociclib,0.234815
Chlorambucil,Mitomycin,0.234378
Bleomycin,Fruquintinib,0.234276
Nitrogen mustard,Valrubicin,0.233668
Arsenic trioxide,Vinblastine,0.232961
Irinotecan,Mitomycin,0.232503
Carboplatin,Selinexor,0.232032
Cytarabine,Daunorubicin,0.231858
Vemurafenib,Venetoclax,0.231437
Idarubicin,Methotrexate,0.231374
Gemcitabine,Tioguanine,0.230829
Crizotinib,Vorinostat,0.230685
Carmustine,Sunitinib,0.230528
Methotrexate,Sunitinib,0.230432
Arsenic trioxide,Carfilzomib,0.230088
Avapritinib,Zoledronate,0.230014
Cytarabine,Nitrogen mustard,0.229911
Binimetinib,Venetoclax,0.229337
Arsenic trioxide,Imatinib,0.229232
Oxaliplatin,umbralisib,0.228982
Lenvatinib,Pemigatinib,0.228725
Irinotecan,Mercaptopurine,0.228101
Carmustine,Docetaxel,0.228061
Oxaliplatin,Sunitinib,0.227472
Dacarbazine,tepotinib,0.227291
Ibrutinib,Neratinib,0.227055
Abiraterone,Everolimus,0.226871
Hydroxyurea,Methotrexate,0.226846
Paclitaxel,Tamoxifen,0.226647
Pemigatinib,Pralsetinib,0.226460
Arsenic trioxide,Avapritinib,0.226449
Docetaxel,Irinotecan,0.226225
Palbociclib,Raloxifene,0.226175
Pipobroman,Uracil mustard,0.226108
Bleomycin,Everolimus,0.225996
Mitoxantrone,Nitrogen mustard,0.225926
Actinomycin D,Docetaxel,0.225632
Erdafitinib,Zanubrutinib,0.224960
Idarubicin,Oxaliplatin,0.224837
Bleomycin,Zoledronate,0.224697
Allopurinol,Asciminib,0.224466
Ibrutinib,Selpercatinib,0.224118
Belinostat,Trilaciclib,0.223693
Imatinib,Mercaptopurine,0.223580
Cladribine,Cytarabine,0.223421
Ixabepilone,Vorinostat,0.223398
Ixazomib,tepotinib,0.223357
Belinostat,Crizotinib,0.222925
Ifosfamide,Mitoxantrone,0.222244
Crizotinib,Ifosfamide,0.221726
Chlorambucil,Nitrogen mustard,0.221418
Idarubicin,Trifluridine,0.221372
Actinomycin D,Daunorubicin,0.221231
Crizotinib,Oxaliplatin,0.221136
Hydroxyurea,Oxaliplatin,0.220892
Etoposide,Thiotepa,0.220550
Dabrafenib,tepotinib,0.219971
Dasatinib,Zoledronate,0.219855
Ifosfamide,Tamoxifen,0.219841
Etoposide,Triethylenemelamine,0.219671
Bleomycin,Dasatinib,0.219112
Hydroxyurea,Valrubicin,0.218729
Teniposide,Thiotepa,0.218603
Carmustine,Vinblastine,0.218439
Abiraterone,Avapritinib,0.218185
Teniposide,Triethylenemelamine,0.217724
Ifosfamide,Paclitaxel,0.217365
Ifosfamide,Oxaliplatin,0.216874
Arsenic trioxide,Raloxifene,0.216514
Carfilzomib,Carmustine,0.215658
Idarubicin,Pemetrexed,0.215607
Actinomycin D,Nilotinib,0.215426
Belinostat,Palbociclib,0.215009
Fluorouracil,Vorinostat,0.213207
Abiraterone,Bleomycin,0.213117
Gemcitabine,Mercaptopurine,0.212822
Oxaliplatin,Tamoxifen,0.212432
Oxaliplatin,Palbociclib,0.212164
Ifosfamide,Irinotecan,0.211619
Allopurinol,Belinostat,0.211613
Paclitaxel,Trifluridine,0.209926
Mitomycin,Pemetrexed,0.209744
Epirubicin,Uracil mustard,0.208736
Gemcitabine,Oxaliplatin,0.208718
Melphalan,Pipobroman,0.208349
Chlorambucil,Pipobroman,0.208235
Mitoxantrone,Pipobroman,0.207898
Lomustine,Nilotinib,0.205476
Etoposide,Irinotecan,0.205367
Carboplatin,Nilotinib,0.205336
Erlotinib,Selpercatinib,0.205310
Dexrazoxane,Irinotecan,0.205216
Imatinib,umbralisib,0.205111
Nitrogen mustard,Pemetrexed,0.204934
Tamoxifen,tepotinib,0.204700
Cyclophosphamide,Paclitaxel,0.204322
Cytarabine,Tioguanine,0.204322
Thiotepa,Valrubicin,0.203601
Oxaliplatin,Raloxifene,0.203593
Mitomycin,Nitrogen mustard,0.202229
Mercaptopurine,Nilotinib,0.202172
Actinomycin D,Selinexor,0.201974
Melphalan,Mercaptopurine,0.201962
Brigatinib,Everolimus,0.201497
Irinotecan,Teniposide,0.201475
Irinotecan,Thiotepa,0.200684
Nitrogen mustard,Trifluridine,0.200073
Abiraterone,Dasatinib,0.199996
Cyclophosphamide,Docetaxel,0.199909
Irinotecan,Triethylenemelamine,0.199805
Carmustine,Nilotinib,0.199678
Selpercatinib,Zanubrutinib,0.199508
Ceritinib,Fluorouracil,0.199336
Dabrafenib,Vorinostat,0.199307
Docetaxel,Ifosfamide,0.198422
Docetaxel,Trifluridine,0.198304
Carmustine,Oxaliplatin,0.197922
Dacomitinib,Erlotinib,0.197732
Fruquintinib,Vandetanib,0.197702
Actinomycin D,Asciminib,0.197612
Nilotinib,Selinexor,0.197170
Mitomycin,Teniposide,0.197134
Belinostat,Tioguanine,0.197039
Raloxifene,Selinexor,0.196998
Asciminib,Ixabepilone,0.196883
Actinomycin D,Etoposide,0.196854
Carmustine,Mitoxantrone,0.196819
Raloxifene,Vorinostat,0.196763
Paclitaxel,Tioguanine,0.196507
Asciminib,Ceritinib,0.196151
Hydroxyurea,Paclitaxel,0.195525
Mercaptopurine,Nitrogen mustard,0.195103
Fluorouracil,Trifluridine,0.194731
Daunorubicin,Thiotepa,0.194571
Carmustine,tepotinib,0.194133
Everolimus,Pemigatinib,0.194111
Ceritinib,Dabrafenib,0.194026
Fruquintinib,Pemigatinib,0.193797
Daunorubicin,Triethylenemelamine,0.193691
Mitomycin,Triethylenemelamine,0.193473
Melphalan,Oxaliplatin,0.193179
Ifosfamide,Selinexor,0.193103
Lomustine,Oxaliplatin,0.193024
Oxaliplatin,Vorinostat,0.193013
Vemurafenib,tepotinib,0.192898
Asciminib,Nilotinib,0.192664
Arsenic trioxide,Crizotinib,0.192498
Asciminib,Raloxifene,0.192488
Crizotinib,Selumetinib,0.192246
Palbociclib,Pemetrexed,0.192043
Crizotinib,Selinexor,0.191130
Dabrafenib,Nilotinib,0.190904
Chlorambucil,Epirubicin,0.190146
Abemaciclib,Trilaciclib,0.189599
Nitrogen mustard,Thiotepa,0.189564
Erdafitinib,Everolimus,0.189344
Afatinib,Erlotinib,0.189118
Etoposide,Pipobroman,0.188900
Ixabepilone,Methotrexate,0.188819
Darolutamide,Raloxifene,0.188814
Arsenic trioxide,Docetaxel,0.188469
Selumetinib,tepotinib,0.188418
Carboplatin,Lomustine,0.187919
Ifosfamide,Thiotepa,0.187892
Erdafitinib,Pemigatinib,0.187622
