rank,drug,n_targets,ADRS_v2,C_ACC_pct,S_ACCselective_pct,S_Bneighbor_pct,ACC_potency_pct,NCI60_potency_pct,selectivity_resid,activity_known,Primary_MOA
80,Dabrafenib,40,0.435,0.713,0.093,0.594,0.075,0.393,0.093,1,Raf kinase B Inhibitor
81,Tioguanine,16,0.434,0.901,0.047,0.398,0.121,0.636,0.047,1,Purine Antagonist
82,Encorafenib,15,0.432,0.461,0.215,0.739,0.215,0.411,0.215,1,Raf Kinase Inhibitor B (V600E Mutant)
83,Topotecan,2,0.432,0.331,0.421,0.590,0.598,0.860,0.421,1,DNA Topoisomerase I Inhibitor
84,Azacitidine,1,0.426,0.583,0.346,0.333,0.458,0.673,0.346,1,DNA Methyltransferase (DNMT) Inhibitor
85,Raloxifene,14,0.425,0.582,0.112,0.708,0.093,0.346,0.112,1,Selective Estrogen Receptor Modulators (SERM)
86,Erdafitinib,10,0.419,0.768,0.178,0.316,0.168,0.439,0.178,1,FGFR 1/2/3/4 Inhibitor
87,Pemetrexed,2,0.418,0.738,0.140,0.414,0.112,0.374,0.140,1,Thymidylate synthase Inhibitor
88,Temsirolimus,1,0.406,0.501,0.234,0.549,0.411,0.822,0.234,1,mTOR Inhibitor
89,Everolimus,11,0.406,0.352,0.589,0.188,0.729,0.850,0.589,1,mTOR inhibitor
90,Cabozantinib,1,0.405,0.439,0.224,0.648,0.280,0.523,0.224,1,VEGFR-2 Inhibitor
91,Oxaliplatin,31,0.401,0.794,0.019,0.462,0.019,0.486,0.019,1,DNA Alkylating Agent
92,Triethylenemelamine,3,0.400,0.410,,0.387,,,,0,
93,Lorlatinib,2,0.400,0.417,0.327,0.492,0.243,0.196,0.327,1,ROS1/ALK Inhibitor
94,Carboplatin,7,0.395,0.301,0.439,0.455,0.271,0.037,0.439,1,DNA Alkylating Agent
95,Trifluridine,6,0.393,0.808,0.056,0.352,0.009,0.364,0.056,1,thymidylate synthase Inhibitor
96,Gilteritinib,1,0.391,0.466,0.299,0.432,0.374,0.589,0.299,1,
97,Methotrexate,27,0.389,0.837,0.000,0.386,0.103,0.776,0.000,1,Dihydrofolate Reductase (DHFR) Inhibitor
98,Thiotepa,3,0.375,0.424,0.271,0.470,0.140,0.075,0.271,1,Cytochrome P450 Oxidase Inhibitor
99,Vinblastine,9,0.366,0.231,0.196,0.829,0.430,0.991,0.196,1,Tubulin polymerization inhibitor
100,Teniposide,8,0.360,0.471,0.037,0.723,0.150,0.710,0.037,1,DNA Topoisomerase II Inhibitor
101,Pralatrexate,2,0.360,0.750,0.028,0.344,0.196,0.888,0.028,1,Dihydrofolate Reductase (DHFR) Inhibitors
102,Ifosfamide,17,0.357,0.118,,0.691,,,,0,
103,Sonidegib,4,0.348,0.324,0.084,0.806,0.037,0.327,0.084,1,Smo Receptor Antagonist
104,Vemurafenib,22,0.343,0.221,0.206,0.733,0.262,0.561,0.206,1,Raf kinase B Inhibitor
105,Clofarabine,2,0.342,0.571,0.187,0.270,0.299,0.701,0.187,1,DNA Polymerase Inhibitor
106,Mitoxantrone,6,0.337,0.284,0.262,0.531,0.477,0.879,0.262,1,DNA Topoisomerase II Inhibitor
107,Uracil mustard,5,0.336,0.189,,0.541,,,,0,
108,Vinorelbine,1,0.312,0.499,0.131,0.339,0.346,0.935,0.131,1,
109,Fludarabine,4,0.304,0.226,0.449,0.183,0.327,0.150,0.449,1,Purine Antagonist
110,Valrubicin,11,0.304,0.111,0.402,0.417,0.542,0.738,0.402,1,DNA Topoisomerase II Inhibitor
111,Selpercatinib,37,0.297,0.396,,0.158,,,,0,
112,Cisplatin,6,0.292,0.149,0.103,0.795,0.178,0.570,0.103,1,DNA Alkylating Agent
113,Cladribine,3,0.281,0.561,0.065,0.234,0.056,0.430,0.065,1,Adenosine Deaminase Inhibitor
114,Nitrogen mustard,16,0.278,0.077,,0.558,,,,0,
115,Sotorasib,4,0.272,0.270,,0.276,,,,0,
116,Idelalisib,9,0.253,0.098,0.290,0.413,0.234,0.262,0.290,1,PI3Kdelta Inhibitor
117,umbralisib,5,0.243,0.305,0.150,0.307,0.065,0.206,0.150,1,Casein Kinase 1 Inhibitor
118,Pemigatinib,10,0.238,0.300,,0.152,,,,0,
119,Bleomycin,16,0.232,0.424,0.075,0.216,0.131,0.598,0.075,1,glycopeptide antibiotic
120,Pralsetinib,59,0.157,0.111,,0.223,,,,0,
121,Abiraterone,39,0.156,0.040,0.280,0.118,0.187,0.178,0.280,1,Androgen Biosynthesis Inhibitor
122,Zoledronate,20,0.149,0.178,0.159,0.090,0.000,0.047,0.159,1,Farnesyl Pyrophosphate Synthase Inhibitor
123,Fruquintinib,31,0.145,0.130,0.168,0.130,0.028,0.112,0.168,1,VEGFR-1/2/3 Inhibitor
124,Lenvatinib,18,0.121,0.123,0.121,0.116,0.047,0.224,0.121,1,VEGFR-1/2/3 Inhibitor
