rank,drug,n_assoc,ADRS_primary,C_ACC_pct,ACCrelative_resid_pct,S_external,ext_only_note,Primary_MOA,rank_exploratory_withBnb
101,Uracil mustard,5,0.367,0.300,,0.50,,,87
102,Vinorelbine,1,0.365,0.531,0.131,0.50,,,109
103,Venetoclax,5,0.347,0.375,0.243,0.50,,Bcl-2 Inhibitor,95
104,Mitoxantrone,6,0.326,0.302,0.262,0.50,,DNA Topoisomerase II Inhibitor,105
105,Dexrazoxane,18,0.324,0.130,0.430,0.50,,DNA Topoisomerase II Inhibitor,90
106,Valrubicin,11,0.311,0.125,0.402,0.50,,DNA Topoisomerase II Inhibitor,112
107,Cladribine,3,0.308,0.454,0.065,0.50,,Adenosine Deaminase Inhibitor,117
108,Vemurafenib,22,0.306,0.310,0.206,0.50,,Raf kinase B Inhibitor,98
109,Fruquintinib,31,0.304,0.343,0.168,0.50,,VEGFR-1/2/3 Inhibitor,118
110,Pemigatinib,10,0.303,0.205,,0.50,,,119
111,umbralisib,5,0.292,0.329,0.150,0.50,,Casein Kinase 1 Inhibitor,116
112,Sonidegib,4,0.283,0.373,0.084,0.50,,Smo Receptor Antagonist,102
113,Cisplatin,6,0.282,0.253,0.103,0.70,,DNA Alkylating Agent,103
114,Idelalisib,9,0.279,0.157,0.290,0.50,,PI3Kdelta Inhibitor,115
115,Vinblastine,9,0.252,0.184,0.196,0.50,,Tubulin polymerization inhibitor,106
116,Nitrogen mustard,16,0.233,0.099,,0.50,,,113
117,Neratinib,6,0.227,0.308,0.009,0.50,,EGFR Inhibitor,111
118,Abiraterone,39,0.222,0.024,0.280,0.50,,Androgen Biosynthesis Inhibitor,121
119,Pralsetinib,59,0.219,0.079,,0.50,,,120
120,Ifosfamide,17,0.216,0.074,,0.50,,,108
121,Teniposide,8,0.215,0.250,0.037,0.50,,DNA Topoisomerase II Inhibitor,114
122,Zoledronate,20,0.196,0.082,0.159,0.50,,Farnesyl Pyrophosphate Synthase Inhibitor,123
123,Bleomycin,16,0.196,0.164,0.075,0.50,,glycopeptide antibiotic,122
124,Lenvatinib,18,0.190,0.079,0.121,0.55,,VEGFR-1/2/3 Inhibitor,124
