rank_comp,drug,n_assoc,C_ACC,C_ACC_pct,MIPE_potency_pct,NCI60_potency_pct,residual,residual_pct,ADRS_comp
53,Vandetanib,6,0.0197031263633,0.121495327103,0.822429906542,0.551401869159,0.300831885838,0.906542056075,0.514018691589
54,Azacitidine,1,0.0471635343175,0.663551401869,0.457943925234,0.672897196262,-0.114703962589,0.345794392523,0.504672897196
55,Tioguanine,16,0.162321796698,0.943925233645,0.121495327103,0.635514018692,-0.435444909299,0.0467289719626,0.495327102804
56,Binimetinib,23,0.0136530822027,0.00934579439252,1,0.514018691589,0.494109630717,0.971962616822,0.490654205607
57,Trifluridine,6,0.135168459697,0.915887850467,0.00934579439252,0.364485981308,-0.433713969206,0.0560747663551,0.485981308411
58,Selinexor,3,0.0275278562117,0.289719626168,0.794392523364,0.831775700935,0.154987117001,0.663551401869,0.476635514019
59,Sirolimus,2,0.036774627454,0.439252336449,0.719626168224,0.96261682243,0.025243981887,0.514018691589,0.476635514019
60,Lomustine,27,0.036844837909,0.448598130841,0.364485981308,0.168224299065,0.00389138767155,0.467289719626,0.457943925234
61,Selumetinib,27,0.0336001045757,0.383177570093,0.514018691589,0.448598130841,0.0356167122929,0.532710280374,0.457943925234
62,Carfilzomib,9,0.0199468447725,0.130841121495,0.92523364486,0.92523364486,0.246559109944,0.775700934579,0.453271028037
63,Erdafitinib,10,0.0586587028669,0.728971962617,0.168224299065,0.439252336449,-0.306250767375,0.177570093458,0.453271028037
64,Dabrafenib,40,0.0739463055179,0.775700934579,0.0747663551402,0.392523364486,-0.380074147024,0.0934579439252,0.434579439252
65,Dasatinib,25,0.0319503620454,0.345794392523,0.635514018692,0.757009345794,0.0275239151708,0.523364485981,0.434579439252
66,Encorafenib,15,0.0451104520706,0.644859813084,0.214953271028,0.411214953271,-0.247741056847,0.214953271028,0.429906542056
67,Trametinib,22,0.0138840854908,0.018691588785,0.88785046729,0.785046728972,0.268079625203,0.841121495327,0.429906542056
68,Methotrexate,27,0.107126971242,0.85046728972,0.102803738318,0.775700934579,-0.513040190914,0,0.42523364486
69,Sunitinib,3,0.0402278562117,0.514018691589,0.392523364486,0.532710280374,-0.121220830508,0.336448598131,0.42523364486
70,Oxaliplatin,31,0.0959249158021,0.822429906542,0.018691588785,0.485981308411,-0.475418041932,0.018691588785,0.420560747664
71,Darolutamide,8,0.0211321033882,0.14953271028,0.523364485981,0.158878504673,0.1666968052,0.682242990654,0.415887850467
72,Temsirolimus,1,0.0417157843175,0.579439252336,0.411214953271,0.822429906542,-0.224263540237,0.233644859813,0.406542056075
73,Estramustine,7,0.022822613727,0.18691588785,0.448598130841,0.140186915888,0.0997842757702,0.616822429907,0.401869158879
74,Raloxifene,14,0.05105959631,0.691588785047,0.0934579439252,0.345794392523,-0.341747993962,0.11214953271,0.401869158879
75,Gilteritinib,1,0.0400650343175,0.504672897196,0.373831775701,0.588785046729,-0.163473896424,0.299065420561,0.401869158879
76,Asciminib,3,0.035087189545,0.420560747664,0.317757009346,0.289719626168,-0.09388745141,0.364485981308,0.392523364486
77,Imatinib,5,0.0279645171587,0.308411214953,0.401869158879,0.252336448598,0.00593234954395,0.476635514019,0.392523364486
78,Topotecan,2,0.032245427454,0.355140186916,0.598130841121,0.859813084112,-0.0530553038075,0.420560747664,0.38785046729
79,Everolimus,11,0.0208270812336,0.140186915888,0.728971962617,0.85046728972,0.0817127305431,0.588785046729,0.364485981308
80,Lorlatinib,2,0.034260227454,0.401869158879,0.242990654206,0.196261682243,-0.129384677997,0.327102803738,0.364485981308
81,Vinorelbine,1,0.0417590343175,0.588785046729,0.345794392523,0.934579439252,-0.336807055248,0.130841121495,0.359813084112
