variant,drug,z_A1,z_A2,z_B1,z_B2,z_B2_lo,z_B2_hi,delta_z_acc_A1_minus_A2,delta_z_breast_B2_minus_B1,delta_z_breast_B2_lo_minus_B1,delta_z_breast_B2_hi_minus_B1
column_minmax,Fluorouracil,1.65230443909,1.68789315415,-0.698045062072,-0.674600281661,-0.675487445846,-0.673446434143,-0.03558871506,0.023444780411,0.022557616226,0.024598627929
column_minmax,Fruquintinib,0.0852505032098,0.151345106039,-0.937185135126,-0.936926636531,-0.939468106045,-0.934787827067,-0.0660946028292,0.000258498595,-0.002282970919,0.002397308059
column_minmax,Fulvestrant,0.252059060457,0.499823715355,0.852794659208,0.817846786219,0.817383324334,0.817294833855,-0.247764654898,-0.034947872989,-0.035411334874,-0.035499825353
column_minmax,Gemcitabine,2.56328805992,2.53845334631,-0.195952230954,-0.211386890236,-0.265611769,-0.214143662417,0.02483471361,-0.015434659282,-0.069659538046,-0.018191431463
column_minmax,Gilteritinib,-0.439074082932,-0.298714193193,1.11776273794,1.06201085743,1.06335528063,1.05889053773,-0.140359889739,-0.05575188051,-0.05440745731,-0.05887220021
column_minmax,Homoharringtonine,-0.267617261621,-0.0619031321807,0.850142369738,0.835268501874,0.837396797022,0.879549180102,-0.20571412944,-0.014873867864,-0.012745572716,0.029406810364
column_minmax,Hydroxyurea,2.29183698298,2.3050479036,0.0203020446006,-0.00413362403891,-0.00464812200293,-0.00397971886647,-0.01321092062,-0.0244356686395,-0.0249501666035,-0.0242817634671
column_minmax,Ibrutinib,1.41594067809,1.57340788605,-0.610923601634,-0.611884990466,-0.613065909594,-0.645016070899,-0.15746720796,-0.000961388832,-0.00214230796,-0.034092469265
column_minmax,Idarubicin,2.12425451216,2.19268993424,-0.330177958905,-0.321313113328,-0.323558594681,-0.281301125734,-0.06843542208,0.008864845577,0.006619364224,0.048876833171
column_minmax,Idelalisib,-0.14393770785,-0.146500292361,-0.401387536865,-0.396248012944,-0.399260566596,-0.393932106306,0.002562584511,0.005139523921,0.002126970269,0.007455430559
column_minmax,Imatinib,-3.34257922036,-3.18496727878,-1.6529179258,-1.67054171029,-1.66214803571,-1.67881845029,-0.15761194158,-0.01762378449,-0.00923010991,-0.02590052449
column_minmax,Irinotecan,2.87193214038,2.99033292589,-0.447213211941,-0.438767483202,-0.440905306688,-0.436575357237,-0.11840078551,0.008445728739,0.006307905253,0.010637854704
column_minmax,Ixabepilone,0.247003794593,0.310770621236,-1.45399687491,-1.51873386061,-1.51499758961,-1.52322152533,-0.063766826643,-0.0647369857,-0.0610007147,-0.06922465042
