draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
607,0.989006068574,1,0.99042556232,0.904761904762,2.42592592593,27,14,51,47
608,0.9763258929,0.666666666667,0.990301713872,0.739130434783,4.42592592593,29,7,34,51
609,0.985195347109,0.818181818182,0.993150228167,0.904761904762,2.96296296296,32,10,44,49
610,0.977726333038,0.818181818182,0.988929854145,0.818181818182,4.05555555556,25,10,41,50
611,0.983718692541,0.818181818182,0.989739632456,0.818181818182,3.40740740741,24,9,30,50
612,0.982918441034,0.818181818182,0.98938714072,0.904761904762,3.09259259259,29,13,55,49
613,0.987329351129,0.818181818182,0.994083854926,0.818181818182,2.87037037037,31,11,33,49
614,0.985652633685,0.739130434783,0.991054331361,0.739130434783,3.24074074074,25,8,31,50
615,0.986395724371,0.818181818182,0.993035906523,0.904761904762,2.7037037037,28,7,26,50
616,0.978602798975,0.904761904762,0.993121647756,1,3.61111111111,32,8,30,50
617,0.993216915793,0.818181818182,0.992349976659,0.904761904762,2.22222222222,19,13,38,50
618,0.985843169758,1,0.992607200358,0.904761904762,2.92592592593,28,12,51,47
619,0.986033705831,0.818181818182,0.992083226157,0.904761904762,3.01851851852,31,6,25,50
620,0.984585631675,0.818181818182,0.993655148761,0.818181818182,3.42592592593,31,11,38,49
621,0.986853010946,0.904761904762,0.991692627207,0.818181818182,2.85185185185,24,9,44,47
622,0.971838768375,0.666666666667,0.988129602637,0.739130434783,4.90740740741,30,7,30,51
623,0.995141330132,0.904761904762,0.991921270495,0.904761904762,1.87037037037,15,8,27,48
624,0.977659645412,0.739130434783,0.988767898482,0.818181818182,4.16666666667,31,7,33,50
625,0.977993083541,0.818181818182,0.990330294283,0.739130434783,3.57407407407,33,16,59,48
626,0.9872531367,0.904761904762,0.987224556289,0.818181818182,2.75925925926,29,12,46,49
627,0.976211571256,0.818181818182,0.992140386979,0.818181818182,4.07407407407,27,12,51,48
628,0.984252193547,0.904761904762,0.992502405518,0.904761904762,2.77777777778,33,15,59,49
629,0.970828927187,0.904761904762,0.98337572761,0.904761904762,3.85185185185,33,14,55,49
630,0.991473510722,1,0.991006697343,0.904761904762,2.24074074074,28,8,26,48
631,0.989720578849,0.904761904762,0.990454142731,0.818181818182,2.22222222222,30,12,41,50
632,0.985624053274,0.904761904762,0.991997484924,0.818181818182,2.35185185185,35,17,61,48
633,0.977383368106,0.666666666667,0.985967018206,0.739130434783,4.18518518519,32,11,53,47
634,0.979822229844,0.739130434783,0.990997170539,0.739130434783,3.77777777778,28,12,54,50
635,0.988663103642,0.818181818182,0.991130545791,0.818181818182,2.98148148148,20,8,29,48
636,0.982756485372,0.739130434783,0.986519572818,0.818181818182,3.62962962963,25,8,29,51
637,0.980289043223,0.818181818182,0.992940638486,0.904761904762,3.38888888889,32,16,58,47
638,0.990558937571,0.904761904762,0.997027637257,0.818181818182,2.85185185185,21,10,35,49
639,0.990882848895,0.904761904762,0.991197233416,0.818181818182,2.46296296296,25,9,28,47
640,0.981927653453,0.739130434783,0.988767898482,0.818181818182,3.7037037037,32,8,26,52
641,0.981889546238,0.739130434783,0.989777739671,0.818181818182,3.62962962963,32,9,25,48
642,0.977993083541,0.739130434783,0.990692312822,0.818181818182,4.22222222222,31,14,57,47
643,0.973658387874,0.739130434783,0.98899654177,0.818181818182,4.05555555556,34,8,34,50
644,0.982270618385,0.904761904762,0.986243295512,0.904761904762,3.09259259259,33,10,53,50
645,0.977269046462,0.818181818182,0.992578619947,0.818181818182,4.22222222222,30,8,29,50
646,0.992654834377,1,0.990549410767,0.904761904762,2.05555555556,24,14,50,47
