variant,drug,observed_C_ACC_pct,null_mean_C_ACC_pct,null_sd_C_ACC_pct,z_degree_matched,empirical_p_upper,q_bh_108,null_draws
column_minmax,Idelalisib,0.0654205607477,0.0918420560748,0.183562009089,-0.143937710522,0.355064493551,0.871521938715,10000
column_minmax,Sonidegib,0.299065420561,0.269061682243,0.176155322884,0.170325470878,0.368763123688,0.879877229668,10000
column_minmax,Etoposide,0.794392523364,0.722722429907,0.143471461813,0.499542505195,0.374762523748,0.879877229668,10000
column_minmax,Actinomycin D,0.719626168224,0.644029906542,0.205320866448,0.36818596663,0.427857214279,0.983161258342,10000
column_minmax,Fulvestrant,0.476635514019,0.433587850467,0.170784039295,0.252059054986,0.437656234377,0.984726527347,10000
column_minmax,Tivozanib,0.467289719626,0.422085046729,0.178055606806,0.253879525099,0.474252574743,1,10000
column_minmax,Axitinib,0.490654205607,0.457805607477,0.176754830451,0.185842718114,0.502849715028,1,10000
column_minmax,Cabozantinib,0.490654205607,0.457805607477,0.176754830451,0.185842718114,0.502849715028,1,10000
column_minmax,Cisplatin,0.158878504673,0.207855140187,0.183914164939,-0.266301595259,0.537246275372,1,10000
column_minmax,Ixabepilone,0.859813084112,0.82538317757,0.139390193626,0.247003793068,0.549945005499,1,10000
column_minmax,Panobinostat,0.598130841121,0.577699065421,0.163096720322,0.125273982583,0.560343965603,1,10000
column_minmax,Bosutinib,0.528037383178,0.528669158879,0.173269818958,-0.00364619588533,0.570642935706,1,10000
column_minmax,Lapatinib,0.528037383178,0.528669158879,0.173269818958,-0.00364619588533,0.570642935706,1,10000
column_minmax,Tucatinib,0.429906542056,0.45984953271,0.165769837245,-0.180629909227,0.596540345965,1,10000
column_minmax,Chlorambucil,0.242990654206,0.320382242991,0.204783567585,-0.37791893997,0.600239976002,1,10000
column_minmax,Osimertinib,0.392523364486,0.436619626168,0.167978597967,-0.26251119021,0.615938406159,1,10000
column_minmax,Vinorelbine,0.588785046729,0.612097196262,0.156322134853,-0.149128909701,0.636836316368,1,10000
column_minmax,Carmustine,0.373831775701,0.526124299065,0.262332084935,-0.580533347274,0.642835716428,1,10000
column_minmax,Homoharringtonine,0.560747663551,0.602954205607,0.1577123276,-0.26761726682,0.663333666633,1,10000
column_minmax,Afatinib,0.196261682243,0.313240186916,0.214515402419,-0.545315177156,0.684131586841,1,10000
column_minmax,Gilteritinib,0.504672897196,0.574865420561,0.159864873172,-0.439074087831,0.689731026897,1,10000
column_minmax,Erlotinib,0.682242990654,0.749776635514,0.18068240405,-0.373769904241,0.69103089691,1,10000
column_minmax,Topotecan,0.355140186916,0.436313084112,0.160010072309,-0.507298672044,0.699830016998,1,10000
column_minmax,Ceritinib,0.747663551402,0.824326168224,0.139514467027,-0.549495822591,0.787621237876,1,10000
column_minmax,Brigatinib,0.757009345794,0.862671962617,0.114604120783,-0.921979210698,0.860813918608,1,10000
column_minmax,Temsirolimus,0.579439252336,0.723536448598,0.123284292398,-1.16882040249,0.864813518648,1,10000
column_minmax,Acalabrutinib,0.626168224299,0.753089719626,0.111871162407,-1.1345327303,0.869513048695,1,10000
column_minmax,Lorlatinib,0.401869158879,0.581554205607,0.147027803861,-1.22211610328,0.886511348865,1,10000
column_minmax,Mitotane,0.570093457944,0.73524953271,0.12717048597,-1.29869814923,0.89101089891,1,10000
column_minmax,Dasatinib,0.345794392523,0.688701869159,0.228995787103,-1.49744011003,0.899610038996,1,10000
column_minmax,Erdafitinib,0.728971962617,0.871485981308,0.1128712699,-1.26262439342,0.901409859014,1,10000
column_minmax,Carfilzomib,0.130841121495,0.307892523364,0.207772804642,-0.852139442284,0.90600939906,1,10000
column_minmax,Trametinib,0.018691588785,0.184044859813,0.305023871743,-0.542099443178,0.907609239076,1,10000
column_minmax,Celecoxib,0.542056074766,0.728528037383,0.134026319746,-1.39130853529,0.911908809119,1,10000
column_minmax,Asciminib,0.420560747664,0.616886915888,0.152485012483,-1.28751124473,0.9200079992,1,10000
column_minmax,Clofarabine,0.457943925234,0.67375046729,0.130270113706,-1.65660822668,0.943105689431,1,10000
column_minmax,Dexrazoxane,0.0747663551402,0.29568317757,0.264096437424,-0.836500577535,0.9500049995,1,10000
column_minmax,Decitabine,0.635514018692,0.802878504673,0.0793131148502,-2.11017416599,0.959104089591,1,10000
