draw,weight_G,weight_R,weight_P,weight_L,weight_S,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,CDK46_mean_rank,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
114,0.308670080268,0.520222059097,0.0363892865588,0.073850861428,0.0608677126477,0.999056846437,0.904761904762,28.6666666667,9,26,51
115,0.194424257452,0.22621635355,0.19526825194,0.133526083105,0.250565053952,0.999256909314,1,28.6666666667,8,27,51
116,0.202820706657,0.0351111685043,0.0821936213446,0.556236578332,0.123637925163,0.997885049587,0.904761904762,29.3333333333,10,29,49
117,0.183569158345,0.00559200359259,0.501664216814,0.153165584085,0.156009037163,0.998894890775,1,28,8,27,49
118,0.574068327141,0.336048828347,0.0627382336252,0.00857660054082,0.0185680103457,0.997989844427,0.904761904762,27.6666666667,8,25,50
119,0.259909049067,0.433443139698,0.0470514405841,0.0326611235716,0.22693524708,0.999171168081,1,28.3333333333,8,26,51
120,0.11725158351,0.392352585005,0.172822737489,0.060763926724,0.256809167271,0.999390284566,1,28,8,26,50
121,0.0434548270261,0.0215778378196,0.388960411696,0.106465805813,0.439541117645,0.998494765021,1,28,8,27,49
122,0.0796227092847,0.00116748781806,0.175730238743,0.179377088023,0.564102476131,0.998580506254,1,28,8,27,49
123,0.172376690051,0.0159939490703,0.377662989027,0.424343259435,0.00962311241684,0.997742147532,0.904761904762,29.3333333333,9,30,49
124,0.160783830055,0.529094357281,0.160774547969,0.0999016013511,0.0494456633434,0.999437918584,1,28.3333333333,8,26,51
125,0.274763330672,0.0882286083737,0.130048275866,0.418814288818,0.0881454962698,0.998666247487,1,28.3333333333,8,28,49
126,0.16627103474,0.0218826995897,0.121761542863,0.63605984784,0.054024874968,0.997199119723,0.904761904762,29.3333333333,10,30,48
127,0.258076741371,0.201049674088,0.115441689697,0.320460675825,0.104971219018,0.998904417579,1,28.3333333333,8,27,50
128,0.729425981355,0.106440107665,0.145057340895,0.0176913243132,0.00138524577096,0.997818361961,0.904761904762,27.3333333333,8,25,49
129,0.0671774138871,0.103275628646,0.285050748263,0.351109339546,0.193386869658,0.99778978155,1,28.3333333333,8,29,48
130,0.230492336325,0.0313441859689,0.0527521499283,0.192549562308,0.492861765469,0.998980632008,1,28,7,26,51
131,0.115091749893,0.361707362082,0.0987428837448,0.227068199876,0.197389804405,0.999104480456,1,28,8,27,49
132,0.273992379257,0.0433986984517,0.271649045495,0.224333684934,0.186626191862,0.998952051597,1,28,8,27,49
133,0.235039336931,0.0511539561526,0.274157358027,0.403692614038,0.0359567348517,0.998532872236,1,28.3333333333,8,28,49
134,0.300339417488,0.00860884965996,0.291361724695,0.0915469854278,0.308143022728,0.999533186621,1,27.6666666667,8,26,49
135,0.180644854266,0.602147112521,0.0130093967371,0.0894535286332,0.114745107842,0.999056846437,1,28.3333333333,8,26,51
136,0.211123009036,0.0212545999382,0.603734243875,0.13319185509,0.0306962920596,0.998818676346,1,28,8,27,49
137,0.270340211072,0.321480804006,0.290276639542,0.0146699438762,0.103232401505,0.999771356712,1,28.3333333333,8,26,51
138,0.270626848481,0.442759792566,0.182497132395,0.0773046161457,0.0268116104121,0.999666561872,1,28.3333333333,8,26,51
139,0.188292394739,0.117648990273,0.191497910554,0.206956254911,0.295604449523,0.999056846437,1,28,8,27,49
140,0.065613884467,0.196774226331,0.581740076461,0.0903127974082,0.0655590153326,0.998618613469,1,28,8,27,49
141,0.27746143737,0.253793425558,0.258992051399,0.0808396749849,0.128913410688,0.999647508265,1,28.3333333333,8,26,51
142,0.115256238353,0.0328051402978,0.337678853028,0.287653222747,0.226606545574,0.998637667076,1,28,8,27,49
143,0.062215063197,0.0783685060561,0.0652484605851,0.629241757935,0.164926212227,0.996570350682,0.904761904762,29.3333333333,10,30,48
144,0.395622630282,0.0940068223516,0.279698698031,0.146886872986,0.0837849763502,0.999809463927,1,28.3333333333,8,26,51
145,0.343595012012,0.18574008319,0.0893882700612,0.125691550141,0.255585084596,0.99950460621,1,28.3333333333,8,26,51
146,0.101026533587,0.0800192919331,0.548667922681,0.221894007549,0.0483922442502,0.998609086665,1,28.6666666667,8,29,49
147,0.311520893411,0.0557796300495,0.088887642978,0.521386310157,0.0224255234042,0.998570979451,0.904761904762,29,10,28,49
148,0.240767897148,0.0396658049182,0.597065384359,0.0121954428128,0.110305470761,0.998980632008,1,28,8,27,49
149,0.0135727858746,0.179887677995,0.123702470584,0.304237027062,0.378600038485,0.998018424838,1,28,8,27,49
150,0.30244436028,0.108258846813,0.182654420455,0.128934388866,0.277707983586,0.999533186621,1,28.3333333333,8,26,51
151,0.0716453548361,0.316875065189,0.231912102173,0.117051541486,0.262515936316,0.998894890775,1,28,8,27,49
152,0.0332257547982,0.0747444557116,0.202080235871,0.491239375681,0.198710177939,0.997141958901,1,28.6666666667,9,29,48
153,0.227407513729,0.0704736312375,0.0159236940413,0.617161476898,0.0690336840946,0.997913629998,0.904761904762,29.3333333333,10,29,49
154,0.313974402626,0.11632393082,0.256302391941,0.288322258554,0.0250770160596,0.998980632008,1,28.3333333333,8,28,49
155,0.325786938104,0.334331421824,0.0944329565055,0.158956703829,0.0864919797368,0.99942839178,1,27.6666666667,7,26,50
156,0.286114293,0.516721523192,0.132671324042,0.0334011840007,0.0310916757656,0.99950460621,1,28,8,26,50
157,0.112754846356,0.444946380651,0.166215846178,0.0383236837781,0.237759243037,0.999342650547,1,28,8,26,50
158,0.212149040188,0.361430062217,0.28475354298,0.118206642474,0.0234607121409,0.999542713424,1,28.3333333333,8,27,50
159,0.0295755417772,0.50838857458,0.257799197124,0.00924435783324,0.194992328685,0.999152114474,1,28,8,26,50
160,0.442765312132,0.101427979794,0.0444023894542,0.355583092564,0.0558212260553,0.999485552602,1,29,10,27,50
161,0.104661527516,0.0889457698513,0.381213278412,0.193759165273,0.231420258947,0.998761515524,1,28,8,27,49
162,0.53962196365,0.00892187860136,0.0427108205256,0.365692074504,0.0430532627188,0.999256909314,1,28.6666666667,9,27,50
163,0.0746384525513,0.0630551908602,0.739078656324,0.0155530231792,0.107674677085,0.998428077396,1,28,8,27,49
164,0.0740043385673,0.0467348372259,0.318343459662,0.375603676289,0.185313688255,0.997523031048,1,28.6666666667,8,29,49
165,0.282728010192,0.0406639532459,0.373981031589,0.0790899627424,0.223537042231,0.999275962922,1,27.6666666667,8,26,49
166,0.111077992839,0.175381637174,0.181545811609,0.412071486851,0.119923071527,0.998123219679,1,28.6666666667,8,29,49
167,0.156730341311,0.0453554685085,0.0472232668125,0.453029342163,0.297661581205,0.998132746482,1,27.6666666667,8,27,48
168,0.00692033241106,0.254369445808,0.130265626436,0.130111601257,0.478332994089,0.998656720684,1,28,8,27,49
169,0.373481507989,0.255250572095,0.0594117273035,0.140568346955,0.171287845657,0.999514133013,1,27.6666666667,7,26,50
170,0.0949903855519,0.175728802349,0.166201760881,0.124026561715,0.439052489503,0.999104480456,1,28,8,26,50
171,0.497046377412,0.161570632398,0.0988692479819,0.119622209932,0.122891532277,0.999209275296,0.904761904762,27.6666666667,7,26,50
172,0.198366333855,0.0111223598003,0.372898830607,0.271055221609,0.146557254129,0.998904417579,1,28,8,27,49
173,0.192047582037,0.299446885328,0.271349441881,0.0876202483611,0.149535842392,0.999295016529,1,28.3333333333,8,27,50
174,0.438455022334,0.193910145776,0.107481239362,0.00700126454312,0.253152327985,0.999266436118,1,28,8,26,50
