drug,MIPE_available,n_assoc,C_ACC_k1,rank_all124_k1,rank_primary108_k1,C_ACC_k3,rank_all124_k3,rank_primary108_k3,C_ACC_k5,rank_all124_k5,rank_primary108_k5,C_ACC_k10,rank_all124_k10,rank_primary108_k10
Palbociclib,True,26,0.0525368041638,36,32,0.0525344530093,36,32,0.0525324052296,36,32,0.0525282812287,36,32
Panobinostat,True,1,0.0339858562117,53,46,0.0432442843175,50,44,0.0463304270194,47,41,0.0491360112939,46,40
Pemetrexed,True,2,0.345699570808,3,3,0.228420827454,3,3,0.178158508874,3,3,0.125801927019,4,4
Pemigatinib,False,10,0.014335337493,107,,0.0202072413285,106,,0.0245133041411,108,,0.0315106562117,108,
Pipobroman,False,3,0.263821428106,5,,0.193381856212,4,,0.158162070265,4,,0.11752385571,6,
Pralatrexate,True,2,0.666628237474,1,1,0.420978027454,1,1,0.315699366017,1,1,0.206034093686,1,1
Pralsetinib,False,59,0.0159493118737,92,,0.0171284538269,116,,0.0182338994081,118,,0.020717146728,123,
Raloxifene,True,14,0.0508671808282,38,34,0.05105959631,38,34,0.0512115032693,38,34,0.0514805051764,40,36
Ribociclib,True,8,0.0209487458248,81,73,0.0266858306609,89,79,0.0306576586244,89,78,0.0367257291241,88,76
Romidepsin,True,1,0.0292473562117,65,58,0.0408750343175,55,49,0.0447509270194,54,48,0.0482744658394,51,45
Selinexor,True,3,0.0150404281058,101,89,0.0275278562117,87,77,0.0337715702646,81,71,0.0409758557102,77,68
Selpercatinib,False,37,0.0366584924322,49,,0.0374507034317,67,,0.0381674657647,74,,0.039692492005,80,
Selumetinib,True,27,0.0322499183008,55,48,0.0336001045757,75,67,0.0347815175661,79,69,0.0371762736279,86,75
Sirolimus,True,2,0.0262892374744,75,67,0.036774627454,69,61,0.0412683660167,67,60,0.0459493436861,67,60
Sonidegib,True,4,0.0178777424847,88,78,0.0277705910386,86,76,0.033266618013,84,74,0.0401366517309,78,69
Sotorasib,False,4,0.0157359424847,93,,0.0262407338957,90,,0.0320767291241,87,,0.0393717231595,83,
Sunitinib,True,3,0.0340904281058,52,45,0.0402278562117,59,53,0.0432965702646,63,57,0.0468373941718,63,57
Talazoparib,False,2,0.0276842374744,68,,0.037611627454,66,,0.0418662231595,66,,0.0462980936861,64,
Tamoxifen,True,18,0.0431444585486,45,39,0.0440357208224,48,42,0.0447719809616,53,47,0.0461524687226,66,59
Temsirolimus,True,1,0.0309288562117,59,52,0.0417157843175,52,46,0.0453114270194,50,44,0.0485801931121,48,42
Teniposide,True,8,0.0161970791581,91,81,0.0227981033882,101,89,0.0273680432397,101,89,0.0343498957907,100,88
Thiotepa,True,3,0.0207754281058,82,74,0.031351189545,81,72,0.0366390702646,77,68,0.0427404710949,75,67
Tioguanine,True,16,0.175241688966,10,9,0.162321796698,8,7,0.151862836291,5,4,0.132755120163,3,3
Tivozanib,True,1,0.0263358562117,74,66,0.0394192843175,64,58,0.0437804270194,62,56,0.047745102203,58,52
Topotecan,True,2,0.0187405708078,87,77,0.032245427454,79,70,0.0380332231595,75,66,0.0440621770194,74,66
Trametinib,True,22,0.0105259440184,119,104,0.0138840854908,122,106,0.0167447245228,122,106,0.0223319101323,121,106
Triethylenemelamine,False,3,0.0202556781058,84,,0.031004689545,82,,0.0363791952646,78,,0.0425805480179,76,
Trifluridine,True,6,0.158787244632,12,11,0.135168459697,11,10,0.120138323829,11,10,0.0990021952646,13,12
Trilaciclib,False,21,0.0610007596556,33,,0.0602925890529,32,,0.0596933677737,32,,0.0585335846527,31,
Tucatinib,True,2,0.0249239041411,77,69,0.035955427454,70,62,0.0406832231595,68,61,0.0456080103528,68,61
Uracil mustard,False,5,0.0133587854039,110,,0.0231447671587,97,,0.0290163562117,93,,0.0368451416155,87,
Valrubicin,True,11,0.0102829760353,122,107,0.0163143669479,117,103,0.0208379101323,116,103,0.028377148773,113,100
Vandetanib,True,6,0.0103318160605,121,106,0.0197031263633,108,95,0.0256666874651,105,93,0.0340529452646,101,89
Vemurafenib,True,22,0.0248741179314,78,70,0.0270844054908,88,78,0.0289672430414,95,83,0.0326446601323,104,92
Venetoclax,True,5,0.0202562854039,83,75,0.0283178921587,84,74,0.0331548562117,85,75,0.0396041416155,81,71
Vinblastine,True,9,0.0128652712423,112,98,0.0194715114392,110,97,0.0241902544369,109,96,0.0316409012754,107,95
Vinorelbine,True,1,0.0310153562117,57,50,0.0417590343175,51,45,0.0453402603528,49,43,0.0485959203848,47,41
Vorinostat,True,18,0.0156517217065,96,84,0.01916133987,111,98,0.0220605896572,114,101,0.0274966830083,115,102
Zanubrutinib,False,11,0.0499883093686,40,,0.050347509805,40,,0.0506169101323,41,,0.0510659106778,41,
Zoledronate,True,20,0.0114711767821,114,100,0.015039136403,119,104,0.0180362224847,119,104,0.0237806374744,120,105
tepotinib,False,6,0.094542387489,22,,0.0852002374744,24,,0.0792552329197,24,,0.0708950702646,26,
umbralisib,True,5,0.0148711187372,103,91,0.0242790171587,92,81,0.0299237562117,90,79,0.0374500749489,85,74
